"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","day","verbatimLongitude","verbatimLatitude","relatedCatalogItem","eventTime","minimumElevationInMeters","fieldNumber","maximumElevationInMeters","individualCount","county","yearIdentified","previousCatalogNumber","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","355435","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","embirensis","Nectandra embirensis","Coe-Teix.","isotype","B. A. Krukoff","4652","1933","06","South America","Brazil","Amazonas","Basin of Rio Jurua. Near mouth of Rio Embira (tributary of Rio Tarauaca).","-70.25","-7.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=214351' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355435","NY00355435_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","355434","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","embirensis","Nectandra embirensis","Coe-Teix.","holotype","B. A. Krukoff","4652","1933","06","South America","Brazil","Amazonas","Basin of Rio Jurua. Near mouth of Rio Embira (tributary of Rio Tarauaca).","-70.25","-7.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=214350' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355434","NY00355434_01 NY00355434_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:35:48-03","NBC","NL-BOTANY","U 0002900","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Nectandra","embirensis","Nectandra embirensis","Coe-Teix.","isotype","Krukoff BA",NA,"1933","06","Southern America","Brazil","Amazonas","Basin of Rio JuruaState of Amazonas: near mouth of Rio Embira (tributary of Rio Tarauaca)","-70.25","-7.5",NA,"On varzea land.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200002900 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0002900","NL-U0002900","Magnoliopsidae","Rohwer JG","01","-70.25","-7.5","36753 A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:35:48-03","NBC","NL-BOTANY","L.1066719","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Nectandra","embirensis","Nectandra embirensis","Coe-Teix.",NA,"Unknown",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1066719 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1066719","NL-L1066719","Magnoliopsidae",NA,NA,NA,NA,"U 0053041 | Uw19555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:35:48-03","NBC","NL-BOTANY","U 0002901","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Nectandra","embirensis","Nectandra embirensis","Coe-Teix.",NA,"Krukoff BA",NA,"1933","06","Southern America","Brazil","Amazonas","Basin of Rio JuruaState of Amazonas: near mouth of Rio Embira (tributary of Rio Tarauaca)","-70.25","-7.5",NA,"On varzea land.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200002901 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0002901",NA,"Magnoliopsidae","Rohwer JG","01","-70.25","-7.5","19555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2014-10-14 15:56:43-03","BS","M","M-0147284","S","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","embirensis","Nectandra embirensis","Coe-Teix.","ISOTYPE","Krukoff, B.A.",NA,"1933","06",NA,"Brasil",NA,"Basin of Rio Jurua. State of Amazonas; near mouth of Rio Embira (tributary of Rio Tarauaca), Lat. 7° 30' S., Long. 70° 15' W.",NA,NA,NA,NA,"M0147284",NA,"Magnoliopsida",NA,"30",NA,NA,NA,"21:00",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","1805919","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Nectandra","embirensis","Nectandra embirensis","Coe-Teix.","Isotype","Boris A. Krukoff","Krukoff 4652","1933","6","South America","Brazil","Amazonas","On varzea land. Near mouth of rio Embira (tributary of Rio Tarauaca). Basin of Rio Jurua.","-70.25","-7.5",NA,NA,NA,NA,NA,"J.G. Rohwer (HBG)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2008-05-27 22:02:00-03","MO","MOBOT","1805910","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Nectandra","embirensis","Nectandra embirensis","Coe-Teix.",NA,"Guillermo Klug","Klug 2355","1931","10","South America","Peru","Loreto","Florída, Río Putumayo, at mouth of Río Zubineta; forest.","-74.2333333","-1.0166667",NA,NA,NA,NA,NA,"J.G. Rohwer (HBG)",NA,NA,NA,NA,NA,"180.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"9","2008-05-27 22:02:00-03","MO","MOBOT","1805915","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Nectandra","embirensis","Nectandra embirensis","Coe-Teix.",NA,"Guillermo Klug","Klug 2028","1931","3","South America","Peru","Loreto","Florída, Río Putumayo, at mouth of Río Zubineta; forest.","-74.2333333","-1.0166667",NA,NA,NA,NA,NA,"J.G. Rohwer (HBG)",NA,NA,NA,NA,NA,"200.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"10","2018-09-26 11:39:00-03","MO","MOBOT","190169","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Nectandra","embirensis","Nectandra embirensis","Coe-Teix.",NA,"David A. Neill|Walter A. Palacios","Neill 7656","1987","2","South America","Ecuador","Sucumbíos","Canton Gonzalo Pizarro. Río Tigre, afluente del Río Dashiño. De la carretera Lumbaqui-Reventador, KM 73, 10 km al S.","-77.4","-0.0833333",NA,NA,NA,NA,NA,"J.G. Rohwer","19",NA,NA,NA,NA,"900.00000000","87-5","1100.00000000","4",NA,NA,NA,NA,NA
