"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","dayIdentified","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","01874441","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","coriacea","Leandra coriacea","Cogn.","M. Reginato","M. Reginato","1404","2013","02","01","South America","Brazil","Minas Gerais","Santana do Riacho","Lapinha. Trilha para a cachoeira.","-43.655292","-19.127086","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085215' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874441","NY01874441_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00908954","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","coriacea","Leandra coriacea","Cogn.","R. Romero","J. N. Nakajima","464","1994","10","15","South America","Brazil","Minas Gerais","São Roque de Minas","Morro próximo a sede administrativa, PARNA Serra da Canastra.","-46.3656","-20.2456","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983842' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908954","NY00908954_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00908955","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","coriacea","Leandra coriacea","Cogn.","R. Romero","R. Romero","2711","1995","09","24","South America","Brazil","Minas Gerais","São Roque de Minas","Guarita de Sacramento.","-46.3656","-20.2456","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983847' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908955","NY00908955_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4218333","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","coriacea","Leandra coriacea","Cogn.",NA,"F. Almeda","9452","2009","02","20","South America","Brazil","Goiás","Terezina","Off of Highway G0-118, about 13 km north of Alto Paraíso de Goiás en route to Terezina de Goiás.","-47.50822","-14.05408","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451458' target='other'> <mi>dwc_moreinfo</mi></a>","NY04218333",NA,"1480","1480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00908953","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","coriacea","Leandra coriacea","Cogn.",NA,"L. O. Williams","7549","1945","09","11","South America","Brazil","Minas Gerais","Belo Horizonte","Morro das Pedras.","-43.9378","-19.9208","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983835' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908953","NY00908953_01","1000","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00908956","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","coriacea","Leandra coriacea","Cogn.","R. Romero","R. Romero","4676","1997","10","16","South America","Brazil","Minas Gerais","São Roque de Minas","Garagem de Pedras, descida para o vale dos Cândidos, Parque Nacional da Serra da Canastra.","-46.3656","-20.2456","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983853' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908956","NY00908956_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:13:28-03","ESALQ","ESA","102828","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Leandra","coriacea","Leandra coriacea",NA,"Romero, R.","Volpi, R.L.","395.0","2002","12","05",NA,"Brasil","Minas Gerais","Delfinópolis",NA,"-46.8539009094238","-20.343900680542",NA,NA,"ESA102828","ESA102828",NA,NA,"41380","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:13:28-03","ESALQ","ESA","102813","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Leandra","coriacea","Leandra coriacea",NA,"Romero, R.","Hattori, E.K.O.","409.0","2004","09","14",NA,"Brasil","Minas Gerais","Delfinópolis",NA,"-46.8539009094238","-20.343900680542",NA,NA,"ESA102813","ESA102813",NA,NA,"41380","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:13:28-03","ESALQ","ESA","102812","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Leandra","coriacea","Leandra coriacea",NA,"Romero, R.","Romero, R.","6374.0","2002","10","07",NA,"Brasil","Minas Gerais","Delfinópolis",NA,"-46.8539009094238","-20.343900680542",NA,NA,"ESA102812","ESA102812",NA,NA,"41380","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:13:28-03","ESALQ","ESA","102814","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Leandra","coriacea","Leandra coriacea",NA,"Romero, R.","Romero, R.","7300.0","2005","11","09",NA,"Brasil","Minas Gerais","Delfinópolis",NA,"-46.8539009094238","-20.343900680542",NA,NA,"ESA102814","ESA102814",NA,NA,"41380","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
