"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","order","individualCount"
"1","2021-03-30 12:54:34-03","EAO","IAN","69981","PreservedSpecimen","Plantae","Monocotiledônea","Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B.Sm.","Smith, LB","holotipo","Black, GA; Pires, JM","12157","1951","04","04","Southern America","Brasil","Minas Gerais","Serra do Cipó, Km. 132.","Flor violácea.","IAN069981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:47:00-03","UFJF","CESJ","14999","PreservedSpecimen","Plantae","Angiosperma","Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B.Sm.","R. Mello-Silva",NA,"J.A. Silva","s.n.","1977","03","14","América do Sul","Brasil","Minas Gerais","Serra do Cipó, 2700 msm.","Planta lenhosa, folhas grandiformes, flores roxo-claro, pedreira. Desenvolvem em plena rocha formando um círculo fechado, onde apenas elas subexistem.","CESJ014999","1986","08","12","Belo Horizonte","-43.937801361084","-19.9207992553711","17082","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-20 10:01:53-03","UNICAMP","UEC","17566","S","Plantae","Liliopsida","Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B.Sm.",NA,NA,"Sazima, M","8525","1973","10","28",NA,"Brazil","Minas Gerais","Estrada de Vespasiano da Conceição do Ma","flor","UEC000702",NA,NA,NA,"Jaboticatubas","-43.7449989318848","-19.513599395752","31264","auto","UEC000702",NA,NA,NA,NA,NA,NA,NA
"4","2019-08-20 10:01:53-03","UNICAMP","UEC","17564","S","Plantae","Liliopsida","Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B.Sm.",NA,NA,"Sazima, M","8524","1973","10","29",NA,"Brazil","Minas Gerais","Estrada de Vespasiano da Conceição do Ma","flor","UEC000697",NA,NA,NA,"Jaboticatubas","-43.7449989318848","-19.513599395752","31264","auto","UEC000697",NA,NA,NA,NA,NA,NA,NA
"5","2019-08-20 10:01:53-03","UNICAMP","UEC","17565","S","Plantae","Liliopsida","Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B.Sm.",NA,NA,"Sazima, M","8526","1974","04","08",NA,"Brazil","Minas Gerais","Km 125.",NA,"UEC000701",NA,NA,NA,"Jaboticatubas","-43.7449989318848","-19.513599395752","31264","auto","UEC000701",NA,NA,NA,NA,NA,NA,NA
"6","2019-08-20 10:01:53-03","UNICAMP","UEC","17567","S","Plantae","Liliopsida","Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B.Sm.",NA,NA,"Semir, J; Sazima, M","4680","1973","10","28",NA,"Brazil","Minas Gerais","km 127 ao longo da rodovia Lagoa Santa -","flor, Arbusto até 2 m flores roxas púrpura","UEC000699",NA,NA,NA,"Jaboticatubas","-43.7449989318848","-19.513599395752","31264","auto","UEC000699",NA,NA,NA,NA,NA,NA,NA
"7","2019-08-20 10:01:53-03","UNICAMP","UEC",NA,"S","Plantae","Liliopsida","Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B.Sm.",NA,NA,"Semir, J; Sazima, M","4680","1973","10","28",NA,"Brazil","Minas Gerais","km 127 ao longo da rodovia Lagoa Santa -","flor, Arbusto até 2 m flores roxas púrpura","UEC000700",NA,NA,NA,"Jaboticatubas","-43.7449989318848","-19.513599395752","31264","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-06 09:57:51-03","UFOP","OUPR","14262","PreservedSpecimen","Plantae",NA,"Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B.Sm.","Menezes, N.L.",NA,"Silva, J.","318",NA,NA,NA,NA,"Brasil","Minas Gerais","Serra do Cipó, Fazenda Palácio","Arbusto com 1.50m. Muito frequente em afloramentos de quartzito micáceo.",NA,"1983","04","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-11 11:45:31-03","UFMG","BHCB","36761","PreservedSpecimen","Plantae","Monocotyledon","Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B.Sm.",NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:45:31-03","UFMG","BHCB","43713","PreservedSpecimen","Plantae","Monocotyledon","Velloziaceae","Vellozia","piresiana","Vellozia piresiana","L.B.Sm.",NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
