"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","infraspecificEpithet","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","566183","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Sorocea","hilarii","Sorocea hilarii","Gaudich.","C. C. Berg","S. A. Mori","11508","1979","02","08","South America","Brazil","Bahia","Itacaré","Ramal da torre da Embratel com entrada no km 15 da Rod. Ubaitaba/Itacaré (BR 654). Folha SD 24 (14-39c)","-39.2713273","-14.4201153","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675556' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566183","NY00566183_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","95159","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Sorocea","hilarii","Sorocea hilarii","Gaudich.","C. C. Berg","W. W. Thomas","9808","1993","05","06","South America","Brazil","Bahia","Uruçuca","7.3 km north of Serra Grande on road to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Transect study site","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675578' target='other'> <mi>dwc_moreinfo</mi></a>","NY00095159","NY00095159_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","566188","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Sorocea","hilarii","Sorocea hilarii","Gaudich.","C. C. Berg","J. G. Jardim","285","1993","09","15","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Entrada à direita, no km 10.4, Rod. Una/Ilhéus.","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675567' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566188","NY00566188_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","566181","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Sorocea","hilarii","Sorocea hilarii","Gaudich.","C. C. Berg","A. M. V. de Carvalho","2034","1983","11","03","South America","Brazil","Bahia","Itamarajú","Faz. Pau-Brasil. Entrada no km 5 da Rod. Itamarajú/Eunápolis","-39.55","-17.0166","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566181","NY00566181_01","160","160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01806351","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Sorocea","hilarii","Sorocea hilarii","Gaudich.","R. A. S. de Pontes","R. A. S. de Pontes","819","2012","10","25","South America","Brazil","Pernambuco",NA,"Água Preta, Fazenda Camarão: Mata da sede da fazenda.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2194519' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806351","NY01806351_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01198698","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Sorocea","hilarii","Sorocea hilarii","Gaudich.","C. C. Berg","R. A. X. Borges","294","2006","12","09","South America","Brazil","Bahia","Camacan","RPPN Serra Bonita. 9,7 km de Camacã na estrada para Jacarecí. Daí 6 km SW na estrada para a RPPN e Torre da Embratel.","-39.5653","-15.3917","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1449171' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198698","NY01198698_01","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1015290","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Sorocea","hilarii","Sorocea hilarii","Gaudich.","C. C. Berg","J. G. Jardim","2959","2000","04","20","South America","Brazil","Bahia","Uruçuca","Parque Estadual Serra do Condurú, face N. Entrada a 7.6 km de Serra Grande, rod. Ilhéus/Itacaré. Viscina para o talhão 6 do Plano de Manejo Sustentado. Margem do rio Tijuípe ca. 7 km da entrada.","-39.0842","-14.4292","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104105' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015290","NY01015290_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","566194","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Sorocea","hilarii","Sorocea hilarii","Gaudich.","C. C. Berg","J. R. Pirani","2885","1993","05","16","South America","Brazil","Rio de Janeiro","Sao Pedro da Aldeia","Distrito Sepeatiba, Serra de Sepeatiba. Area do loteamento Balneário das Conchas","-42.1028","-22.8394","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675574' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566194","NY00566194_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","585794","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Sorocea","hilarii","Sorocea hilarii","Gaudich.","C. C. Berg","A. M. Amorim","2697","1998","11","21","South America","Brazil","Bahia","Jussari","Rod. Jussari-Palmira. Entrada ca. 7.5 km de Jussari. Faz. Teimoso. RPPN Serra do Teimoso","-39.5286","-15.1581","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585794","NY00585794_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","566185","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Sorocea","hilarii","Sorocea hilarii","Gaudich.","J. G. Wessels Boer","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Nidegale. Octh. Lagoa de Treitos",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675601' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566185","NY00566185_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","566215","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Sorocea","hilarii","Sorocea hilarii","Gaudich.","C. C. Berg","L. Riedel","19","1824",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675599' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566215","NY00566215_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","566196","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Sorocea","hilarii","Sorocea hilarii","Gaudich.","C. C. Berg","W. W. Thomas","8314","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675576' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566196","NY00566196_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01081189","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Sorocea","hilarii","Sorocea hilarii","Gaudich.","C. C. Berg","J. R. Pirani","2325","1988","02","16","South America","Brazil","Bahia","Ibicaraí","a 3 km W da cidade na Rodovia Itabuna - Vitória da Conquista. (BA 265)","-39.63","-14.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221553' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081189","NY01081189_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
