"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","verbatimLongitude","verbatimLatitude","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00428116","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","morii","Couepia morii","Prance","type","S. A. Mori","21398","1990","07","16","South America","Brazil","Amazonas","Distrito Agropecuário. Reserve 1501 (Km 41) of the Smithsonian/INPA Biological Dynamics of Forest Fragments Project; Quadrat 29, 24 of Lecythidaceae study","-59.74583","-2.41625","50","125","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=684387' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428116","NY00428116_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2008-05-27 22:02:00-03","MO","MOBOT","3158709","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","morii","Couepia morii","Prance",NA,"Scott A. Mori","Mori 21411","1990","7","17","South America","Brazil","Amazonas","Distrito Agropecuário, Reserve 1501 (Km 41) of the Smithsonian/INPA Biological Dynamics of Forest Fragments Project. Non-flooded moist forest.","-59.72777","-2.40722","50.00000000","125.00000000",NA,NA,NA,NA,"G.T. Prance",NA,NA,NA,NA,NA,NA,NA
"3","2008-05-27 22:02:00-03","MO","MOBOT","3158576","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","morii","Couepia morii","Prance",NA,"Scott A. Mori","Mori 20517","1989","6","25","South America","Brazil","Amazonas","Distrito Agripecuário, Reserva1501 (Km 41) of the WWF/INPA MCS Project. Non-flooeded moist forest.","-59.72777","-2.40722","50.00000000","125.00000000",NA,NA,NA,NA,"G.T.Prance",NA,NA,NA,NA,NA,NA,NA
"4","2020-08-31 09:00:47-03","INPA","INPA","170492","S","Plantae","Dicotyledon Com-Clade","Malpighiales","Chrysobalanaceae","Couepia","morii","Couepia morii","Prance",NA,"Mori, SA","20517","1989","06","25","Southern America","Brasil","Amazonas","Distrito Agropecuário, ZF3., Distrito Agropecuário, Reserva 1501 (Km 41) of the WWF/INPA MCS Project","-59.75","-2.416667","50","125",NA,NA,"INPA0170492","INPA0170492 INPA0170492_e INPA0170492_e1","Sothers, CA","2007","10","Manaus","-59.75","-2.416667",NA,NA
"5","2020-09-12 05:00:02-03","US","US","3339680","PreservedSpecimen","Plantae",NA,"Rosales","Rosaceae","Couepia","morii","Couepia morii","Prance",NA,"S. S. da Silva","s.n.","1989","7","11","South America - Neotropics","Brazil","Amazonas","90km N de Manaus, Distrito Agropecuário da SUFRAMA, Rodovia BR 174, km 64, depois 7km leste na ZF3, Fazenda Porot Alegre. Projeto DinÂmica Biológica de Fragmentos Florestais, Reserva nº 3304, Arv. nº 2044.","-59.95","-0.37",NA,NA,NA,NA,"US01856109","US01856109_01",NA,NA,NA,"Manaus",NA,NA,"Dicotyledonae","1"
"6","2020-09-12 05:00:02-03","US","US","3251186","PreservedSpecimen","Plantae",NA,"Rosales","Rosaceae","Couepia","morii","Couepia morii","Prance",NA,"S. A. Mori, R. M. Cardoso & J. Facundes","21411","1990","7","17","South America - Neotropics","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501 (km 41) of the Smithsonian / INPA Biological Dynamics of Forest Fragments Project","-59.7278","-2.4072","50","125",NA,NA,"US01856107","US01856107_01",NA,NA,NA,"Manaus",NA,NA,"Dicotyledonae","1"
"7","2020-09-12 05:00:02-03","US","US","3339682","PreservedSpecimen","Plantae",NA,"Rosales","Rosaceae","Couepia","morii","Couepia morii","Prance",NA,"S. S. da Silva","s.n.","1989","9","11","South America - Neotropics","Brazil","Amazonas","Ca. 90 km N de Manaus, Distrito Agropecuário da SUFRAMA, Rodovia BR 174, km 72, depois 6 km oeste da BR, Fazenda Didona. Reserva no. 2303, Arv. no 1072","-60.08","-2.32",NA,NA,NA,NA,"US01856108","US01856108_01",NA,NA,NA,"Manaus",NA,NA,"Dicotyledonae","1"
"8","2020-09-12 05:00:02-03","US","US","3339219","PreservedSpecimen","Plantae",NA,"Rosales","Rosaceae","Couepia","morii","Couepia morii","Prance",NA,"S. A. Mori & E. C. Pereira","20517","1989","6","25","South America - Neotropics","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501 (km 41) of the WWF/INPA MCS Project.","-59.7278","-2.4072","50","125",NA,NA,"US01856106","US01856106_01",NA,NA,NA,"Manaus",NA,NA,"Dicotyledonae","1"
"9","2019-11-13 11:17:48-03","USP","SPF","125484","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","morii","Couepia morii","Prance",NA,"Oliveira, AA","1446","1993","03",NA,NA,"Brasil","Amazonas","Reserva 1501 (km 41) do PDBFF","-59.761111","-2.407222","50","125",NA,NA,"SPF00125484",NA,"Prance, GT","1998","04","Manaus","-59.761111","-2.407222",NA,NA
"10","2015-03-07 08:43:09-03","F","FMNH-SEEDPLANTS","V0184411F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Chrysobalanaceae","Couepia","morii","Couepia morii",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0184411F","V0184411F_01",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
