"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","relationshipType","coordinatePrecision","geoFlag","fieldNumber","infraspecificEpithet","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","561673","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","pileata","Calyptranthes pileata","D.Legrand","C. M. D. E. Legrand","G. G. Hatschbach","19758","1968","07","30","South America","Brazil","Paraná","Morretes","Estr. Graciosa, Alto da Serra","-48.8342","-25.4769","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561673","NY00561673_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","561674","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","pileata","Calyptranthes pileata","D.Legrand","C. M. D. E. Legrand","R. Reitz","9726","1960","08","11","South America","Brazil","Santa Catarina","Rancho Queimado","Serra da Boa Vista, Rancho Queimado","-49.0217","-27.6728","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209518' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561674","NY00561674_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:05:50-03","NBC","NL-BOTANY","L 0009319","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Calyptranthes","pileata","Calyptranthes pileata","Le Grand","Legrand CMDE","Reitz R; Klein RM",NA,"1960","02","06","Southern America","Brazil","Santa Catarina",NA,"Brazil, Santa Catarina, Morro Spitzkopf, Blumenau","-53.733333","-26.533333",NA,NA,NA,"Mata<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200009319 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0009319","NL-L0009319","Magnoliopsidae","isotype","-53.733333","-26.533333","134565",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:05:50-03","NBC","NL-BOTANY","L 0708871","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Calyptranthes","pileata","Calyptranthes pileata","Le Grand",NA,"Unknown",NA,NA,NA,NA,"Southern America","Brazil","Santa Catarina",NA,NA,"-53.733333","-26.533333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200708871 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0708871",NA,"Magnoliopsidae",NA,"-53.733333","-26.533333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:05:50-03","NBC","NL-BOTANY","L.1072952","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Calyptranthes","pileata","Calyptranthes pileata","Le Grand",NA,"Unknown",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1072952 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1072952","NL-L1072952","Magnoliopsidae",NA,NA,NA,"Uw14519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:05:50-03","NBC","NL-BOTANY","L.1072953","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Calyptranthes","pileata","Calyptranthes pileata","Le Grand",NA,"Unknown",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1072953 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1072953","NL-L1072953","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:05:50-03","NBC","NL-BOTANY","L.2511183","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Calyptranthes","pileata","Calyptranthes pileata","Le Grand",NA,"Reitz R; Klein RM",NA,"1960","09","08","Southern America","Brazil",NA,NA,"Santa Catarina, Serra da Boa Vista, Rancho Queimado, Mata, Arvereta.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2511183 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2511183","NL-L2511183","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:05:50-03","NBC","NL-BOTANY","U 0004960","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Calyptranthes","pileata","Calyptranthes pileata","Le Grand","Legrand CMDE","Reitz R; Klein RM",NA,"1960","02","06","Southern America","Brazil","Santa Catarina",NA,"Brazil, Santa Catarina, Morro Spitzkopf, Blumenau","-53.733333","-26.533333",NA,NA,NA,"Mata<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200004960 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0004960","NL-U0004960","Magnoliopsidae","isotype","-53.733333","-26.533333","221534 B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:05:50-03","NBC","NL-BOTANY","U 0004961","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Calyptranthes","pileata","Calyptranthes pileata","Le Grand","Legrand CMDE","Reitz R; Klein RM",NA,"1960","02","06","Southern America","Brazil","Santa Catarina",NA,"Brazil, Santa Catarina, Morro Spitzkopf, Blumenau","-53.733333","-26.533333",NA,NA,NA,"Mata<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200004961 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0004961",NA,"Magnoliopsidae",NA,"-53.733333","-26.533333","14519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-02-02 14:38:41-02","BGBM","B","B 10 0250754","S","Plantae",NA,NA,"Myrtaceae","Calyptranthes","pileata","Calyptranthes pileata","D.Legrand",NA,NA,NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100250754 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100250754","B100250754",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
