"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","decimalLongitude","decimalLatitude","county","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","minimumElevationInMeters","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","273504","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Lucuma","inflexa","Lucuma inflexa","A.C.Sm. ex Gleason","holotype","B. A. Krukoff","1505","1931","12","03","South America","Brazil","Rondônia","Near Tabajara, upper Machado River region.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=273927' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273504","NY00273504_01 NY00273504_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01251861","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Sarcaulus","inflexus","Sarcaulus inflexus","(A.C.Sm.) T.D.Penn.",NA,"W. A. Rodrigues","3652","1961","11","30","South America","Brazil","Amazonas","Estrada Manaus-Itacoatiara Km 56.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1491082' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251861","NY01251861_01","A. Alves-Araújo","-59.7433949","-2.7187284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1113864","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Sarcaulus","inflexus","Sarcaulus inflexus","(A.C.Sm.) T.D.Penn.",NA,"A. C. Cervi","CA7245","1994","11","29","South America","Brazil","Alagoas","Reserva Biológica de Pedra Talhada","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1251508' target='other'> <mi>dwc_moreinfo</mi></a>","NY01113864","NY01113864_01","R. Spichiger","-36.42","-9.25","Quebrangulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00896636","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Sarcaulus","inflexus","Sarcaulus inflexus","(A.C.Sm.) T.D.Penn.",NA,"J. U. M. dos Santos","701","1983","02","27","South America","Brazil","Maranhão","Lugar Palmerinha, a 74 km de Tuntum.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967054' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896636","NY00896636_01","A. Alves-Araújo","-44.6489","-5.2583","Tuntum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01251860","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Sarcaulus","inflexus","Sarcaulus inflexus","(A.C.Sm.) T.D.Penn.",NA,"W. A. Rodrigues","3652","1961","11","30","South America","Brazil","Amazonas","Estrada Manaus-Itacoatiara Km 56.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1491080' target='other'> <mi>dwc_moreinfo</mi></a>","NY01251860","NY01251860_01","T. D. Pennington","-59.7433949","-2.7187284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 17:43:55-03","EAO","IAN","191561","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Lucuma","inflexa","Lucuma inflexa","A.C.Sm. ex Gleason","isotipo","Krukoff, BA","1505","1931","12","03","Southern America","Brasil","Mato Grosso","On terra firma near Tabajara, upper Machado River region.",NA,"The inner bark is said to yield to white latex.","IAN191561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:49:38-03","EAO","IAN","113143","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Sarcaulus","inflexus","Sarcaulus inflexus","(A.C.Sm.) T.D. Penn.",NA,"Rodrigues, WA; Albuquerque, BWP de","2852","1961","11","30","Southern America","Brasil","Amazonas","Km 56 da BR-17. Solo argiloso, mata virgem.",NA,"Árvore de 12m; látex branco. Flores marrons com estames amarelados.","IAN113143",NA,"Pennington, TD","-60.0250015258789","-3.10193991661072","Manaus","1990","138090","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:04:46-03","NBC","NL-BOTANY","U 0006723","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Sarcaulus","inflexus","Sarcaulus inflexus","(A.C.Sm.) T.D.Penn.","isotype","Krukoff BA",NA,"1931","11","01","Southern America","Brazil","Mato Grosso","State of Matto Grosso: near Tabajara, upper Machado River region.",NA,"In terra firma<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006723 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006723","NL-U0006723",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","8311 A",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-09-26 01:17:28-03","MNHN","RECOLNAT_MNHN_P","P00649423","PreservedSpecimen",NA,NA,NA,"Sapotaceae","Sarcaulus","inflexus","Sarcaulus inflexus","(A.C.Sm.) T.D.Penn.",NA,"Krukoff, B.A.",NA,"1931","11",NA,NA,"Brésil",NA,"State of Matto Grosso: near Tabajata, upper Machado, River region","hb","Reçu le 20 Janvier 1933 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649423' target='other'> <mi>dwc_moreinfo</mi></a>","P00649423","P00649423_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1505",NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-11-10 15:04:00-02","MO","MOBOT","100937352","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","inflexus","Sarcaulus inflexus","(A.C. Sm.) T.D. Penn.",NA,"J.U. Santos|Edith L. Taylor|G.E. Schotz|Nelson A. Rosa|Carlos S. Rosário|T. Rebbeck|J.B.F. da Silva|M.R. dos Santos","Santos 701","1983","2","27","South America","Brazil","Maranhão","Lugar Palmerinha, a 74 km de Tuntum.",NA,NA,NA,NA,"A. Alves-Araújo","-44.6488990783691","-5.25805997848511","Tuntum",NA,"96518","auto",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
