"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","class","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","345457","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Astephanus","semirii","Astephanus semirii","Fontella","isotype","J. Semir","609","1971","12","15","South America","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó. Km. 115 ao longo da rodavia Lagoa Santa-Conceiçao do Mato Dentro-Diamantina","-43.7447","-19.5136","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392728' target='other'> <mi>dwc_moreinfo</mi></a>","NY00345457","NY00345457_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-02-15 11:33:32-02","IPA","IPA","2116","S","Plantae","Plantae",NA,"Asclepiadaceae","Minaria","semirii","Minaria semirii","(Fontella) T.U.P. Konno & Rapini",NA,"Andrade-Lima","865","1951","01","16","Southern America","Brasil","Minas Gerais",NA,"Campos alpinos da Serra do Cipó",NA,NA,NA,"Erva. Flores alvas. Látex alvo mais ou menos irritante. Entre rochas","IPA0002116",NA,"Santos, R.G.P.","2016","12","15",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:21:46-03","UNICAMP","UEC","372","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Astephanus","semiri","Astephanus semiri","Fontella","isotypus","Semir, J; Sazima, M","609","1971","12","15",NA,"Brazil","Minas Gerais","Jaboticatubas","Conceição do Mato de Dentro, Km 115 ao longo da rodovia Lagoa Santa","-43.7449989318848","-19.513599395752",NA,"Flor creme esverdeada. Muito latescente. Planta de 40 cm.","UEC055686","UEC055686","Fontella, J","1981","09","15","31264","auto",NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:12:23-03","MBM","MBM","59282","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Astephanus","semiri","Astephanus semiri","Fontella","ISOTYPE","Semir, J.; Sazima, M.; Sazima, M.","609","1971","12","15","Southern America","Brazil","Minas Gerais","Jaboticatubas","Km 115 ao longo da rodovia Lagoa Santa - Conceição do Mato dentro - Diamantina","-43.7449989318848","-19.513599395752",NA,"Flor creme esverdeada. Muito latescente. Planta de 40 cm.; Planta de 40 cm. Flor creme esverdeada. Muito lactescente.","MBM059282","MBM059282","Fontella, J.P.","1988","10","15","31264","auto",NA,NA,NA,NA,NA,NA
"5","2020-12-11 11:31:54-03","UFMG","BHCB","70335","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Minaria","semirii","Minaria semirii","T.U.P.Konno & Rapini",NA,"Fernandes, GW","s.n.","2000","02","04","Southern America","Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó, Estrada Lagoa Santa - Conceição do Mato Dentro, km 107.","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA
"6","2011-02-23 10:16:00-03","MO","MOBOT","1179161","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Astephanus","semirii","Astephanus semirii","Fontella",NA,"João Semir","Semir 609","1971","12","15","South America","Brazil","Minas Gerais",NA,"Serra do Cipó, Mpio. de Jaboticatubas, km 115 ao longo da rodovia Lagoa Santa-Conceiçäo do Mato Dentro-Diamantina.",NA,NA,NA,NA,NA,NA,"J. Fontella P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2011-08-01 11:52:00-03","MO","MOBOT","1179159","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Minaria","semirii","Minaria semirii","(Fontella) T.U.P. Konno & Rapini",NA,"Howard S. Irwin|H. Maxwell|Dieter C. Wasshausen","Irwin 20335","1968","2","17","South America","Brazil","Minas Gerais",NA,"Serra do Cipó, Km 132, ca 153 km N of Belo Horizonte",NA,NA,NA,NA,NA,NA,"T. Konno",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"8","2019-11-13 11:15:13-03","USP","SPF","141909","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Minaria","semirii","Minaria semirii","(Fontella) T.U.P.Konno & Rapini",NA,"Fernandes, GW","s.n.","2000","02","04",NA,"Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó, Estrada Lagopa Santa - Conceição do Mato Dentro, km 107.","-43.7144012451172","-19.1688995361328",NA,NA,"SPF00141909",NA,"Rapini, A","2008",NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA
"9","2019-10-07 09:13:39-03","UEFS","HUEFS","162858","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Minaria","semirii","Minaria semirii","(Fontella) T.U.P.Konno & Rapini",NA,"Ribeiro, P.L.","366","2008","04","30",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 109 da MG 010, Morro com uma antena de transmissão.","-43.588889","-19.298611",NA,"Campo rupestre, solo pedregoso.","HUEFS0162858","HUEFS0162858","A.Rapini","2010","11",NA,NA,NA,NA,"Asteranae","43W35'20''","19S17'55''","1300","1300"
"10","2019-11-01 14:52:38-03","UnB","UB","15139","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Apocynaceae","Astephanus","semirii","Astephanus semirii","Fontella","paratype","Irwin, HS; Maxwell, H; Wasshausen, DC","20335","1968","02","17","Southern America","Brasil","Minas Gerais","Serra do Espinhaço","Serra do Cipó, km 132 (ca. 153km N of Belo Horizonte)",NA,NA,NA,"Subshrub 1,5m. Fruto brown-violet.; Gallery thicket. Topologia: High campo slopes, outcrops, and creek margin.","UB0036687","UB0036687","Fontella, J",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1400","1400"
