"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","class","relatedCatalogItem","fieldNumber","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","231177","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aldina","polyphylla","Aldina polyphylla","Ducke","isotype","W. A. Ducke","35083","1936","11","14","South America","Brazil","Amazonas","Uarurá super Uanauacá, Rio Negro (civit. Amazonas)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76604' target='other'> <mi>dwc_moreinfo</mi></a>","NY00231177","NY00231177_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:15:03-03","UFBA","ALCB","129147","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Aldina","polyphylla","Aldina polyphylla","Ducke",NA,"Martinelli, G; Ramos, J","14601","1991","07","29","Southern America","Brasil","Amazonas","Rio Curicuriari",NA,"11 m de altura. Folhas na face ventral verde, face dorsal verde-acinzentado, botões florais argenteo-alvacento.; Matas de Igapó","ALCB046622","ALCB046622","Mansano, VF","2006","03","São Gabriel da Cachoeira","-67.0892028808594","-0.130278006196022","377621","120","120","auto",NA,NA,NA,NA,NA
"3","2020-02-08 09:11:19-03","NBC","NL-BOTANY","U 0003462","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Aldina","polyphylla","Aldina polyphylla","Ducke","isotype","Ducke A",NA,"1936","11","14","Southern America","Brazil","Amazonas","Uarurà, Rio Negro super Uanauacá, (civ. Amazonas)",NA,"silva non inundabili<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200003462 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0003462","NL-U0003462","Ducke A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","40587 A",NA,NA,NA
"4","2015-09-04 02:45:19-03","MNHN","RECOLNAT_MNHN_P","P02771858","PreservedSpecimen",NA,NA,NA,"Fabaceae","Aldina","polyphylla","Aldina polyphylla","Ducke","isosyntype","Ducke, A.",NA,"1936","11","14",NA,"Brésil",NA,"Uarura, Rio Negro super Uanauaca (civ. Amazonas), silva non inundabili","hb","Reçu le 6 mai 1938 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02771858' target='other'> <mi>dwc_moreinfo</mi></a>","P02771858","P02771858_01 P02771858_02","Ducke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35083",NA,NA
"5","2020-08-31 09:15:28-03","INPA","INPA","74289","S","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Pap","Aldina","polyphylla","Aldina polyphylla","Ducke",NA,"Coêlho, DF","12",NA,NA,NA,"Southern America","Brasil","Amazonas","Perimetral Norte a 27 km de São Gabriel da Cachoeira.",NA,NA,"INPA0074289","INPA0074289 INPA0074289_e INPA0074289_e1","Ramos, G","2017","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA
"6","2021-01-10 20:50:08-03","INPA","INPA","74289","S","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Pap","Aldina","polyphylla","Aldina polyphylla","Ducke",NA,"Coêlho, LF","69-12","1969","10","23","Southern America","Brasil","Amazonas","Ponta Negra.",NA,NA,"INPA0074289","INPA0074289 INPA0074289_e INPA0074289_e1",NA,NA,NA,"Manaus","-60.0250015258789","-3.10193991661072","138090",NA,NA,"auto",NA,NA,NA,NA,NA
"7","2021-01-10 20:50:08-03","INPA","INPA","27697","S","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Pap","Aldina","polyphylla","Aldina polyphylla","Ducke",NA,"Coêlho, LF","69-12","1969","10","23","Southern America","Brasil","Amazonas","Ponta Negra.",NA,NA,"INPA0027697","INPA0027697 INPA0027697_e INPA0027697_e1",NA,NA,NA,"Manaus","-60.0250015258789","-3.10193991661072","138090",NA,NA,"auto",NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","1694206","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Aldina","polyphylla","Aldina polyphylla","Ducke","Isosyntype","A. Ducke","35083","1936","1","14","South America - Neotropics","Brazil","Amazonas","Rio Negro, Uarura [Uaruma? Uarupia?], upper Uanauaca.",NA,NA,"US00002855","US00002855_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"9","2020-09-12 05:00:02-03","US","US","1694205","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Aldina","polyphylla","Aldina polyphylla","Ducke","Isosyntype","A. Ducke","25082","1936","6","10","South America - Neotropics","Brazil","Amazonas","Santa Izabel, Rio Negro.",NA,NA,"US00432644","US00432644_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
"10","2020-09-12 05:00:02-03","US","US","1694207","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Aldina","polyphylla","Aldina polyphylla","Ducke","Isosyntype","A. Ducke","35083","1936","11","14","South America - Neotropics","Brazil","Amazonas","Uaruria [Uaruma? Uarupia?], Rio Negro super Uauauca.",NA,NA,"US00002856","US00002856_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1"
