"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","individualCount","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","247182","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Orthophytum","humile","Orthophytum humile","L.B.Sm.","isotype","B. Maguire","49288","1960","08","18","South America","Brazil","Minas Gerais","Slopes below (north) Grao Mogul.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00247182","NY00247182_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:19:25-03","MBM","MBM","59896","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Orthophytum","humile","Orthophytum humile","L.B.Sm.",NA,"Hatschbach, G.","41642","1978","10","22","Southern America","Brazil","Minas Gerais","10km NO de Grão Mogol",NA,NA,"MBM059896","MBM059896","Ramírez, Ivon M","Grão Mogol","-42.8897018432617","-16.5594005584717","67219","auto",NA,NA,NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","2573972","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Orthophytum","humile","Orthophytum humile","L.B. Sm.","Holotype","B. Maguire","49288","1960","8","18","South America - Neotropics","Brazil","Minas Gerais","Below Grao Mogul.",NA,NA,"US00091420","US00091420_01",NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA,NA,NA,NA,NA
"4","2019-11-21 10:02:41-03","IBt","SP","405315","S","Plantae",NA,NA,"Bromeliaceae","Orthophytum","humile","Orthophytum humile","L.B.Sm.",NA,"Ininteligivel","575","1991","09","14",NA,"Brasil","Minas Gerais","Serra do Batieiro",NA,NA,"SP052329","SP052329","Louzada, RB","Cristália","-42.8622016906738","-16.8003005981445","30029","auto",NA,NA,"2008","03","11","1000","1000"
"5","2019-11-21 10:02:41-03","IBt","SP","399341","S","Plantae",NA,NA,"Bromeliaceae","Orthophytum","humile","Orthophytum humile","L.B.Sm.",NA,"Louzada, RB; Versieux, LM; Calvente, A; Moreira, CAC","41","2006","10","13",NA,"Brasil","Minas Gerais","Córrego das Mortes",NA,NA,"SP052330","SP052330","Louzada, RB","Grão Mogol","-42.8897018432617","-16.5594005584717","67219","auto",NA,NA,NA,NA,NA,NA,NA
