"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","day","stateProvince","county","coordinatePrecision","geoFlag","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","251097","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","anostachyum","Piper anostachyum","Yunck.","isotype","C. Stellfeld","s.n.","1941","08","South America","Brazil","Barra la Tijuca","-43.369099","-22.995332","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365744' target='other'> <mi>dwc_moreinfo</mi></a>","NY00251097","NY00251097_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-07-25 15:01:49-03","UNIOESTE","UNOP","3460","S","Plantae",NA,NA,"Piperaceae","Piper","anostachyum","Piper anostachyum","Yunck.",NA,"Machado-Silva, T.; Boff, L.; Jesus, C.S.; Souza, T.; Boff, L.; Jesus, C.S.; Souza, T.","82","2015","06",NA,"Brasil","Parque Nacional do Iguaçu, Floresta Estacional Semidecidual","-53.8485984802246","-25.1466999053955",NA,"Arbusto, caule verde escuro a verde, folha verde escura na adaxial, verde na abaxial, espiga amarelada.",NA,NA,"Machado-Silva, T.","2016","02","15","24","Paraná","Céu Azul","51148","auto",NA
"3","2016-07-25 15:01:49-03","UNIOESTE","UNOP","3432","S","Plantae",NA,NA,"Piperaceae","Piper","anostachyum","Piper anostachyum","Yunck.",NA,"Machado-Silva, T.; Cavali, A.P.; Jesus, C.S.; Cavali, A.P.; Jesus, C.S.","54","2015","06",NA,"Brasil","Parque Nacional do Iguaçu, Floresta Estacional Semidecidual","-53.8485984802246","-25.1466999053955",NA,"Arbusto, caule verde escuro a verde, folha verde escura na adaxial, verde na abaxial, espiga amarelada.",NA,NA,"Machado-Silva, T.","2016","02","15","15","Paraná","Céu Azul","51148","auto",NA
"4","2020-06-17 15:25:24-03","UNESP-RC","HRCB","17648","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","anostachyum","Piper anostachyum","Yunck.",NA,"Assis, M. A. de",NA,NA,NA,NA,"Brasil","Núcleo Picinguaba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"Elsie Franklin Guimarães",NA,NA,NA,NA,"São Paulo","Ubatuba","34265","auto",NA
"5","2020-07-23 12:18:06-03","CEPLAC","CEPEC","94874","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","anostachyum","Piper anostachyum",NA,NA,"E. F. Guimarães",NA,NA,NA,NA,"Brasil","Sem informação.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"E. F. Guimarães",NA,NA,NA,NA,"Rio de Janeiro","rio de janeiro","57442","auto",NA
"6","2021-02-23 13:22:59-03","MN","R-TIPOS","52065a","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","anostachyum","Piper anostachyum","Yunck.","Isotypus","Mello Filho, L.E.","s.n.","1941","08",NA,"Brasil","Barra da Tijuca","-43.2075004577637","-22.9027996063232",NA,NA,"R000052065a","R000052065a_001","Yuncker, T.G.","1960",NA,NA,NA,"Rio de Janeiro","Rio de Janeiro","57442","auto",NA
"7","2021-02-23 13:22:59-03","MN","R-TIPOS","52065","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","anostachyum","Piper anostachyum","Yunck.","Holotypus","Mello Filho, L.E.","s.n.","1941","08",NA,"Brasil","Barra da Tijuca","-43.2075004577637","-22.9027996063232",NA,NA,"R000052065","R000052065_001","Yuncker, T.G.","1960",NA,NA,NA,"Rio de Janeiro","Rio de Janeiro","57442","auto",NA
"8","2021-03-04 15:45:45-03","IF","SPSF","18489","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","anostachyum","Piper anostachyum","Yuncker",NA,"M.A.Assis & A.Furlan & C.E.Carneiro & M.A.Farinaccio & V.Scudeller & D.C.Cavalcante","399","1994","08","América do Sul","Brasil","mata atlantica, Nucleo Picinguaba","-45.0699996948242","-23.4300003051758",NA,"COLETA: XLS: SPSFAntigo&nf;Arbusto ate 1,5m altura. Inflorescência creme a verde escuro.; GEOGRAFIA: Estrada da Casa da Farinha.;",NA,NA,"E.F.Guimarães",NA,NA,NA,"29","SP","Ubatuba","34265","auto","Magnoliopsida"
"9","2021-03-04 15:45:45-03","IF","SPSF","18490","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","anostachyum","Piper anostachyum","Yuncker",NA,"M.A.Assis & A.Furlan & C.E.Carneiro & M.A.Farinaccio & V.Scudeller & D.C.Cavalcante","402","1994","08","América do Sul","Brasil","mata atlantica, Nucleo Picinguaba","-45.0699996948242","-23.4300003051758",NA,"COLETA: XLS: SPSFAntigo&nf;Arbusto até 1,5m altura. Inflorescência creme a creme escuro.; GEOGRAFIA: Estrada da Casa da Farinha.;",NA,NA,"E.F.Guimarães",NA,NA,NA,"29","SP","Ubatuba","34265","auto","Magnoliopsida"
"10","2019-11-21 10:14:21-03","IBt","SP","292433","S","Plantae",NA,NA,"Piperaceae","Piper","anostachyum","Piper anostachyum","Yunck.",NA,"Assis, MA; Furlan, A; Carneiro, CE; Farinaccio, MA; Scudeller, V; Cavalcante, DC","399","1994","08",NA,"Brasil","Picinguaba. Estrada da Casa do Farinha.","-45.0699996948242","-23.4300003051758",NA,NA,"SP011174","SP011174","Guimarães, EF","2012",NA,NA,"29","São Paulo","Ubatuba","34265","auto",NA
