"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-04-05 14:25:43-03","UNESC","CRI","8967","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","cristatum","Epidendrum cristatum","Ruiz & Pav.","Jorge Luiz Waechter","2011","10","20","Lislaine Cardoso de Oliveira","2011","10","14","Brasil","Santa Catarina","Araranguá","Sanga do Veado.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","Floresta brejosa","CRI005650","CRI005650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01047799","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","alexandrii","Epidendrum alexandrii","Schltr.","E. Hágsater",NA,NA,NA,"P. K. H. Dusén","1914","01","04","Brazil","Paraná",NA,"Fazenda Marumbay",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1183336' target='other'> <mi>dwc_moreinfo</mi></a>","NY01047799","NY01047799_01","Magnoliophyta","Asparagales","14445","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01045337","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","cristatum","Epidendrum cristatum","Ruiz & Pav.","E. Santiago Ayala",NA,NA,NA,"W. E. Broadway","1918","10","06","Trinidad and Tobago",NA,NA,"Trinidad.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1184453' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045337","NY01045337_01 NY01045337_02","Magnoliophyta","Asparagales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","418221","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","cristatum","Epidendrum cristatum","Ruiz & Pav.","E. Foldats",NA,NA,NA,"J. A. Steyermark","1961","01","16","Venezuela","Bolívar",NA,"Summit of west-facing wooded escarpment, E of Miamo, leading to hato de Nuria, Altiplanicie de Nuria",NA,NA,NA,NA,"500","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=766625' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418221","NY00418221_01","Magnoliophyta","Asparagales","88524","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","418219","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","cristatum","Epidendrum cristatum","Ruiz & Pav.","E. A. Christenson",NA,NA,NA,"S. S. Tillett","1960","10","26","Guyana",NA,NA,"Kamarang river",NA,NA,NA,NA,"640","640","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=766626' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418219","NY00418219_01","Magnoliophyta","Asparagales","45812","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","418218","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","cristatum","Epidendrum cristatum","Ruiz & Pav.","E. Hágsater",NA,NA,NA,"P. K. H. Dusén","1911","03","16","Brazil","Paraná","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=766630' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418218","NY00418218_01","Magnoliophyta","Asparagales","11554","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","822497","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","cristatum","Epidendrum cristatum","Ruiz & Pav.","A. L. V. Toscano de Brito",NA,NA,NA,"W. Ganev","1992","10","22","Brazil","Bahia","Piata","Caminho guarda Mor- Frios, subida para Covuão.","-41.87","-13.33",NA,NA,"1680","1680","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=912376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822497","NY00822497_01","Magnoliophyta","Asparagales","1301","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01045335","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","cristatum","Epidendrum cristatum","Ruiz & Pav.","E. Santiago Ayala",NA,NA,NA,"J. A. Steyermark","1961","01","21","Venezuela","Bolívar",NA,"Headwaters and upper part of Quebrada Caballape, W. of Hato de Nuria E. of Miamo. Altiplanicie de Nuria. By top of waterfall site",NA,NA,NA,NA,"230","230","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1184306' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045335","NY01045335_01","Magnoliophyta","Asparagales","88670","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01198543","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","cristatum","Epidendrum cristatum","Ruiz & Pav.","E. Hágsater",NA,NA,NA,"A. M. Amorim",NA,NA,NA,"Brazil","Bahia","Itiruçu","Rod. Itiruçu-Maracás, ca. 10 km de Maracás. Ramal que dá acesso a Formaçoes vochosas de Granito.","-40.1503","-13.5319",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247591' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198543","NY01198543_01","Magnoliophyta","Asparagales","2757","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","418220","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","cristatum","Epidendrum cristatum","Ruiz & Pav.","E. A. Christenson",NA,NA,NA,"S. S. Tillett","1960","10","26","Guyana",NA,NA,"Kamarang river",NA,NA,NA,NA,"640","640","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=766629' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418220","NY00418220_01","Magnoliophyta","Asparagales","45812","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","04077595","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","cristatum","Epidendrum cristatum","Ruiz & Pav.",NA,NA,NA,NA,"W. E. Broadway","1923","01","05","Venezuela",NA,NA,"Vicinity of Cristobal Colon",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4394410' target='other'> <mi>dwc_moreinfo</mi></a>","NY04077595",NA,"Magnoliophyta","Asparagales","351","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01045312","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","cristatum","Epidendrum cristatum","Ruiz & Pav.","E. Santiago Ayala",NA,NA,NA,"F. C. Lehmann",NA,NA,NA,"Colombia",NA,NA,"Las Juntas? on Rio Dagua",NA,NA,NA,NA,"300","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1184450' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045312","NY01045312_01","Magnoliophyta","Asparagales","B. T.277","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","418217","PreservedSpecimen","Plantae","Orchidaceae","Epidendrum","cristatum","Epidendrum cristatum","Ruiz & Pav.","E. Hágsater",NA,NA,NA,"P. K. H. Dusén","1914","02","20","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=766627' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418217","NY00418217_01","Magnoliophyta","Asparagales","14558","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
