"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","locality","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:34:03-03","UNESC","CRI","5285","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","J. A. Jarenkow","J. A. Jarenkow","2472","1994","12","21","Brasil","Rio Grande do Sul","Capão do Leão","-52.484167","-31.763889","52º29'3''W","31º45'50''S","CRI009168","CRI009168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:58-03","UNESC","CRI","3081","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","Daniel de Barcellos Falkenberg","Robson dos Santos; Clair Maria Martinello","35","1994","04","10","Brasil","Santa Catarina","Laguna","-48.766667","-28.466667","48º46'W","28º28'S","CRI009170","CRI009170","Estrada de acesso a Praia da Tereza.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:59-03","UNESC","CRI","9359","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","M. Sobral","M. Verdi; N. L. de Souza e G. Klemz","3646","2010","02","17","Brasil","Santa Catarina","Urussanga","-49.23","-28.440278","49º13'48''W","28º26'25''S","CRI009165","CRI009165","Linha Pacheco.","2010","08","15","165","165","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: liana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:03-03","UNESC","CRI","4802","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","Daniel B. Falkenberg","V. Citadini-Zanette",NA,"1996","03","21","Brasil","Santa Catarina","Imbituba","-48.670556","-28.240556","48º40'14''W","28º14'26''S","CRI009174","CRI009174","Lot. Rosa Norte.",NA,NA,NA,"38","38","Habito: trepadeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:03-03","UNESC","CRI","3753","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","Marcos Sobral","V. Boff",NA,"1995","06","27","Brasil","Santa Catarina","Imbituba","-48.670556","-28.240556","48º40'14''W","28º14'26''S","CRI009181","CRI009181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:03-03","UNESC","CRI","421","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","Jorge Waechter","Vanilde Citadini-Zanette; Marcia buthty",NA,"1989","07",NA,"Brasil","Santa Catarina","Jaguaruna","-49.025833","-28.615556","49º1'33''W","28º36'56''S","CRI009169","CRI009169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:34:03-03","UNESC","CRI","1328","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","Marcos Sobral","Jairo Jose Zocche",NA,"1990","08","15","Brasil","Rio Grande do Sul","Torres","-49.727222","-29.335833","49º43'38''W","29º20'9''S","CRI009167","CRI009167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:34:03-03","UNESC","CRI","200","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","Jorge Waechter","Vanilde Citadini-Zanette; Márcia Butuhy",NA,"1989","07",NA,"Brasil","Santa Catarina","Jaguaruna","-49.025833","-28.615556","49º1'33''W","28º36'56''S","CRI009171","CRI009171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:34:03-03","UNESC","CRI","7740","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","T. B. Guimarães","T. B. Guimarães; Daniel B. Falkenberg",NA,"2004","12","20","Brasil","Santa Catarina","Florianópolis","-48.48","-27.592222","48º28'48''W","27º35'32''S","CRI009175","CRI009175",NA,"2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:34:03-03","UNESC","CRI","3084","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","Daniel de Barcellos Falkenberg","Robson dos Santos; Clair Maria Martinello","48","1994","04","10","Brasil","Santa Catarina","Laguna","-48.766667","-28.466667","48º46'W","28º28'S","CRI009173","CRI009173","Estrada de acesso a Praia da Tereza.",NA,NA,NA,NA,NA,"Habitat: restinga Habito: arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:25:58-03","UNESC","CRI","12368","PreservedSpecimen","Plantae","Rubiaceae","Chiococca","alba","Chiococca alba","(L.) Hitchc.","Aline Votri Guislon & Peterson T. Padilha","Alexandre Medeiros",NA,"2017","04","22","Brasil","Santa Catarina","Balneário Camboriú","-48.6347007751465","-26.9906005859375",NA,NA,"CRI010575",NA,"Estaleiro.","2017","06","08",NA,NA,"Coleta 150.","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
