"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","individualCount","fieldNumber","class","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","484236","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Dyschoriste","amoena","Dyschoriste amoena","(Nees) Kuntze","C. T. Rizzini","R. M. Klein","1116","1955","02","08","South America","Brazil","Santa Catarina","Itajaí","Cunhas, Itajaí.","-48.6617","-26.9081","10","10","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32220' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484236","NY00484236_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:10:48-03","MBM","MBM","36534","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Dyschoriste","amoena","Dyschoriste amoena","(Nees) Kuntze","Silva, M.G.","Hatschbach, G.","13004","1965","10","14","Southern America","Brazil","Paraná","Campo Mourão",NA,"-52.3830986022949","-24.0456008911133",NA,NA,NA,"Flor violeata.; Cerrado.","MBM036534","MBM036534","2011","07","08","28572","auto",NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:10:48-03","MBM","MBM","29046","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Dyschoriste","amoena","Dyschoriste amoena","(Nees) Kuntze","Wasshausen, D.C.","Hatschbach, G.; Koczicki, C.; Koczicki, C.","33101","1973","11","12","Southern America","Brazil","Mato Grosso do Sul","Rio Verde","Sete Quedas",NA,NA,NA,NA,NA,"Flor lilás.; Cerrado.","MBM029046","MBM029046","1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:10:48-03","MBM","MBM","64874","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Dyschoriste","amoena","Dyschoriste amoena","(Nees) Kuntze","Wasshausen, D.C.","Oliveira, P.I.","45","1979","09","11","Southern America","Brazil","Mato Grosso do Sul","Rio Verde","5km S",NA,NA,NA,NA,NA,"Erva 30 cm; flor lilás.; Cerrado recem queimado.","MBM064874","MBM064874","1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2013-02-07 17:29:00-02","MO","MOBOT","100567064","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Dyschoriste","amoena","Dyschoriste amoena","(Nees) Kuntze",NA,"F. Sellow","Sellow 1620","1814",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type","1",NA,NA,NA,NA
"6","2017-10-26 09:16:00-02","MO","MOBOT","100744101","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Dyschoriste","amoena","Dyschoriste amoena","(Nees) Kuntze",NA,"F. Sellow","Sellow s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"7","2015-05-07 07:12:00-03","MO","MOBOT","1410716","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Dyschoriste","lavandulacea","Dyschoriste lavandulacea","(Nees) Kuntze","W.D. Stevens","Elsa M. Zardini|S. Ramírez B.","Zardini 51433","1999","9","24","South America","Paraguay","Canindeyú",NA,"Mbaracayú, Natural Reserve administered by Fundación Moisés Bertoni: Aguará-Ñú-Horqueta Mi. On red sandy soil.","-55.285","-24.1597222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1179",NA,NA,NA
"8","2014-06-24 13:03:00-03","MO","MOBOT","1936682","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Dyschoriste","lavandulacea","Dyschoriste lavandulacea","(Nees) Kuntze","W.D. Stevens","Elsa M. Zardini|Isabelino Chaparro","Zardini 60527","2003","10","31","South America","Paraguay","Canindeyú",NA,"Mbaracayú Biosphere Reserve. Aguará Ñu. Collecting area: around two hectares. Cerrado scrub on sandy soil.","-55.2791667","-24.1861111","200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1287",NA,NA,NA
"9","2014-04-03 17:07:00-03","MO","MOBOT","2491204","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Dyschoriste","lavandulacea","Dyschoriste lavandulacea","(Nees) Kuntze","W.D. Stevens","Émile Hassler","Hassler 8472","1901","2",NA,"South America","Paraguay","Amambay",NA,"Pr. Arroyo Primero, in regione cursus superioris fluminis Apa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"10","2019-07-31 04:35:00-03","MO","MOBOT","3070730","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Dyschoriste","lavandulacea","Dyschoriste lavandulacea","(Nees) Kuntze","W.D. Stevens","Lidia Pérez de Molas|Aníbal Aguayao","Pérez de Molas 2130","1989","11","10","South America","Paraguay","Canindeyú",NA,"Cerrado. Lugar abierto.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"11","2020-09-12 05:00:02-03","US","US","2744745","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Dyschoriste","lavandulacea","Dyschoriste lavandulacea","(Nees)",NA,"G. Hatschbach & C. Koczicki","33101","1973","11","12","South America - Neotropics","Brazil","Mato Grosso",NA,"7 Quedas (mun. Rio Verde) Mato Grosso.",NA,NA,NA,NA,NA,NA,"US02855673","US02855673_01",NA,NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae",NA,NA
"12","2020-09-12 05:00:02-03","US","US","2196582","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Dyschoriste","lavandulacea","Dyschoriste lavandulacea","(Nees)",NA,"A. Macedo","1428","1948","12","7","South America - Neotropics","Brazil","Goiás",NA,"Queixada, Municipio Jatai.",NA,NA,NA,NA,NA,NA,"US02855674","US02855674_01",NA,NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae",NA,NA
"13","2020-09-12 05:00:02-03","US","US","2954823","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Dyschoriste","lavandulacea","Dyschoriste lavandulacea","(Nees)",NA,"A. Schinini & E. Bordas","20550","1980","8","23","South America","Paraguay","Amambay",NA,"Dep. Amambay. Ruta 3, 30 Km SE de Bella Vista.",NA,NA,NA,NA,NA,NA,"US02855665",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae",NA,NA
"14","2020-09-12 05:00:02-03","US","US","3314498","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Dyschoriste","lavandulacea","Dyschoriste lavandulacea","(Nees)",NA,"A. Krapovickas, R. M. Harley, C. L. Cristóbal & A. Schinini","46111","1994","10","27","South America","Paraguay","Amambay",NA,"Depto. Amambay. 27 km S de Bella Vista, ruta 3.","-56.37","-22.28",NA,NA,NA,NA,"US02855667",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae",NA,NA
"15","2020-09-12 05:00:02-03","US","US","3112750","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Dyschoriste","lavandulacea","Dyschoriste lavandulacea","(Nees)",NA,"S. Ferrucci, R. Vanni & L. Ferraro","652","1988","9","14","South America","Paraguay","Amambay",NA,"Dep. Amambay. Parque Nacional Cerro Corá.",NA,NA,NA,NA,NA,NA,"US02855666","US02855666_01",NA,NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae",NA,NA
"16","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Dyschoriste","lavandulacea","Dyschoriste lavandulacea","(Nees)",NA,"E. L. Ekman","905","1907","12","17","South America","Argentina","Misiones",NA,"In civitate argentina Misiones. Posadas in graminosis pr. praedium La Granja. [interpreted]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae",NA,NA
"17","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Dyschoriste","lavandulacea","Dyschoriste lavandulacea","(Nees)",NA,"Riedel, --","501","1826","9",NA,"South America - Neotropics","Brazil","Minas Gerais",NA,"Rio Pardo, tributary of Rio São Franzisco. In campis viccis ad dlumen Rio Pardo. (Nebeufleuss des Rio de Franzisco). [interpreted]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae",NA,NA
"18","2020-09-12 05:00:02-03","US","US","2905649","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Dyschoriste","lavandulacea","Dyschoriste lavandulacea","(Nees)",NA,"P. Oliveira","45","1979","9","11","South America - Neotropics","Brazil","Mato Grosso do Sul",NA,"Rio verde, 5 km S.",NA,NA,NA,NA,NA,NA,"US02855671","US02855671_01",NA,NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae",NA,NA
"19","2020-09-12 05:00:02-03","US","US","2954821","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Dyschoriste","lavandulacea","Dyschoriste lavandulacea","(Nees)",NA,"A. Schinini & E. Bordas","20696","1980","8","26","South America","Paraguay","Amambay",NA,"Dep. Amambay. Ruta 3, 14 Km N del río Aquidabán.",NA,NA,NA,NA,NA,NA,"US02855664",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae",NA,NA
"20","2020-09-12 05:00:02-03","US","US","2025607","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Dyschoriste","lavandulacea","Dyschoriste lavandulacea","(Nees)",NA,"A. Macedo","2674",NA,NA,NA,"South America - Neotropics","Brazil","Goiás",NA,"Queixada, Municipio Jatai.",NA,NA,NA,NA,NA,NA,"US02855670","US02855670_01",NA,NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae",NA,NA
"21","2020-09-12 05:00:02-03","US","US","2282230","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Dyschoriste","lavandulacea","Dyschoriste lavandulacea","(Nees)",NA,"A. Macedo","2674","1950","10","31","South America - Neotropics","Brazil","Goiás",NA,"Queixada, Municipio Jatai.",NA,NA,NA,NA,NA,NA,"US02855672","US02855672_01",NA,NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae",NA,NA
"22","2019-09-04 18:49:42-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Acanthaceae","Dyschoriste","amoena","Dyschoriste amoena",NA,NA,"F. Sellow","1620",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA,"Dicotyledoneae",NA,NA
"23","2021-03-16 09:41:41-03","UnB","UB","189400","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Acanthaceae","Dyschoriste","lavandulacea","Dyschoriste lavandulacea","(Nees) Kuntze","Ezcurra, C","Nienstedt, EF","184","1969",NA,NA,"Southern America","Brasil","Mato Grosso do Sul","Campo Grande",NA,"-54.6464004516602","-20.4428005218506",NA,NA,NA,NA,"UB0111174","UB0111174","1985",NA,NA,"161190","auto",NA,NA,NA,NA,NA,NA
"24","2018-02-26 18:31:21-03","UFMT","UFMT","35701","S","Plantae",NA,NA,"Acanthaceae","Dyschoriste","lavandulacea","Dyschoriste lavandulacea","(Nees) Kuntze","Dubs, B.","Oliveira, P.I.","45","1979","09","11",NA,"Brasil","Mato Grosso do Sul","Rio Verde","Rio Verde, 5 km S, Mato Grosso do Sul.",NA,NA,NA,NA,NA,"Erva 30 cm , flor lilas.; Cerrado recem queimado.",NA,NA,"1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
