"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","infraspecificEpithet","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:26:00-03","UNESC","CRI","14812","PreservedSpecimen","Plantae","Rubiaceae","Posoqueria","latifolia","Posoqueria latifolia","(Rudge) Schult.","Alecsandro Shardosim Klein","2002","08","20","Alecsandro Shardosim Klein; Elisio A. O.","2002","07","20","Brasil","Santa Catarina","Siderópolis","Barragem","-49.425278","-28.598889","49º25'31''W","28º35'56''S","500","500","Habito: Arbóreo","CRI014137","CRI014137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:06-03","UNESC","CRI","1758","PreservedSpecimen","Plantae","Rubiaceae","Posoqueria","latifolia","Posoqueria latifolia","(Rudge) Schult.","Vanilde Citadini-Zanette",NA,NA,NA,"V. C. Zanette; Marcos Sobral, C. M. Martinello e A. J. Aguiar","1993","05","13","Brasil","Santa Catarina","Orleans",NA,"-49.291667","-28.359444","49º17'30''W","28º21'34''S",NA,NA,NA,"CRI009293","CRI009293","1735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:00-03","UNESC","CRI","11955","PreservedSpecimen","Plantae","Rubiaceae","Posoqueria","latifolia","Posoqueria latifolia","(Rudge) Schult.","Peterson Teodoro Padilha","2013","01","11","Aline Votri Guislon; Altamir Rocha Antunes; Robson dos Santos & Peterson Teodoro Padilha","2013","01","14","Brasil","Santa Catarina","Grão Pará",NA,"-49.421389","-28.136944","49º25'17''W","28º8'13''S","450","450",NA,"CRI010101","CRI010101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:06-03","UNESC","CRI","4226","PreservedSpecimen","Plantae","Rubiaceae","Posoqueria","latifolia","Posoqueria latifolia","(Rudge) Schult.","Vanilde Citadini-Zanette",NA,NA,NA,"Valdemar Boff",NA,NA,NA,"Brasil","Santa Catarina","Urussanga",NA,"-49.321111","-28.518333","49º19'16''W","28º31'6''S",NA,NA,NA,"CRI009307","CRI009307","173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:06-03","UNESC","CRI","8373","PreservedSpecimen","Plantae","Rubiaceae","Posoqueria","latifolia","Posoqueria latifolia","(Rudge) Schult.","Vanilde Citadini-Zanette","2007",NA,NA,"Aline Costa Brum Figueiro Leandro; Rosimar Tertuliano da Silva","2006",NA,NA,"Brasil","Santa Catarina","Criciúma",NA,"-49.373333","-28.6725","49º22'24''W","28º40'21''S",NA,NA,NA,"CRI009299","CRI009299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:06-03","UNESC","CRI","11150","PreservedSpecimen","Plantae","Rubiaceae","Posoqueria","latifolia","Posoqueria latifolia","(Rudge) Schult.","San Zatta Custódio","2012","05","25","Karoline Felix; Robson dos Santos & Peterson T. Padilha","2012","09","05","Brasil","Santa Catarina","Criciúma","Morro do Céu.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58",NA,"CRI009300","CRI009300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:34:06-03","UNESC","CRI","4403","PreservedSpecimen","Plantae","Rubiaceae","Posoqueria","latifolia","Posoqueria latifolia","(Rudge) Schult.","Valdemar P. Boff",NA,NA,NA,"Valdemar P. Boff; Pietro Delprete","1995","10","24","Brasil","Santa Catarina","Pedras Grandes",NA,"-49.185278","-28.436389","49º11'7''W","28º26'11''S",NA,NA,NA,"CRI009294","CRI009294","65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:34:06-03","UNESC","CRI","8026","PreservedSpecimen","Plantae","Rubiaceae","Posoqueria","latifolia","Posoqueria latifolia","(Rudge) Schult.",NA,"2007","08","23",NA,"2007","08","22","Brasil","Santa Catarina","Criciúma",NA,"-49.373333","-28.6725","49º22'24''W","28º40'21''S",NA,NA,NA,"CRI009303","CRI009303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:26:00-03","UNESC","CRI","8015","PreservedSpecimen","Plantae","Rubiaceae","Posoqueria","latifolia","Posoqueria latifolia","(Rudge) Schult.","Vanilde C. Zanette","2007","12","14","Beatriz Wessler; Birgit Harter Marques & Bruna Alberton","2007","12","13","Brasil","Santa Catarina","Criciúma","SANTEC Resíduos.","-49.37","-28.678056","49º22'12''W","28º40'41''S","46","46",NA,"CRI009302","CRI009302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:34:06-03","UNESC","CRI","8622","PreservedSpecimen","Plantae","Rubiaceae","Posoqueria","latifolia","Posoqueria latifolia","(Rudge) Schult.","Vanilde C. Zanette","2010","09","02","Clair M. Martinello","2001","04","20","Brasil","Santa Catarina","Garopaba",NA,"-48.613611","-28.023889","48º36'49''W","28º1'26''S","10","10",NA,"CRI009291","CRI009291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
