"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","625386","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Smilacaceae","Smilax","lappacea","Smilax lappacea","Humb. & Bonpl. ex Willd.","R. M. Harley","23015","1980","06","02","South America","Brazil","Bahia","Morro do Chapéu","Below summit of Morro do Chapéu. Ca. 8km. SW of the town of Morro do Chapéu to the west of the road to Utinga.","-41.2","-11.58","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=352489' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625386","NY00625386_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","625491","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Smilacaceae","Smilax","lappacea","Smilax lappacea","Humb. & Bonpl. ex Willd.","J. M. Schunke-Vigo","8326","1975","04","29","South America","Peru","San Martín","Mariscal Cáceres","Tocache Nuevo. Desembocadura del Río Tocache.",NA,NA,"400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=352488' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625491",NA,"R. L. Liesner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 11:34:00-03","NY","NYBG","625490","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Smilacaceae","Smilax","lappacea","Smilax lappacea",NA,"O. Huber","581","1977","04","13","South America","Venezuela","Amazonas",NA,"Terreno situado entre la Carretera hacia Samariapo y la pista de aterrizaje del Aeropuerto de Puerto Ayacucho.","-67.6","5.62","75","75","sheet","Florula de la Estación de Psicicultura de Puerto Ayacucho. Muestras recolectadas en alcohol 70%. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=352487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625490",NA,"D. H. Nicolson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:37:30-03","NBC","NL-BOTANY","U 0229564","PreservedSpecimen","Plantae",NA,"Liliales","Liliaceae","Smilax","lappacea","Smilax lappacea","Humb. & Bonpl. ex Willd.","Lindeman JC; Haas JH de; Hatschbach GG",NA,"1967","06","16","Southern America","Brazil","Paraná",NA,"Roadside near Guaraniaçu, N-slope of Serra.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200229564 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0229564",NA,"Ferrufino L","Magnoliopsidae","2010","06","01",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:37:30-03","NBC","NL-BOTANY","U.1737113","PreservedSpecimen","Plantae",NA,"Liliales","Liliaceae","Smilax","lappacea","Smilax lappacea","Humb. & Bonpl. ex Willd.","Breteler FJ",NA,"1965","11","16","Southern America","Venezuela","Amazonas",NA,"Venezuela. Fed. Terr. of Amazonas. Orinoco R. South part of Isla del Ratón.","-67.766667","5.033333",NA,NA,NA,"Savannah. Sandy soil.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1737113 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1737113","NL-U1737113",NA,"Magnoliopsidae",NA,NA,NA,"-67.766667","5.033333","U 0229565",NA,NA,NA,NA,NA
"6","2020-02-08 09:37:30-03","NBC","NL-BOTANY","U.1738346","PreservedSpecimen","Plantae",NA,"Liliales","Liliaceae","Smilax","lappacea","Smilax lappacea","Humb. & Bonpl. ex Willd.","Hatschbach GG; Lindeman JC; Haas JH de",NA,"1967","06","16","Southern America","Brazil","Paraná",NA,"Roadside near Guaraniaçu, N-slope of Serra.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1738346 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1738346","NL-U1738346","Ferrufino L","Magnoliopsidae","2010","06","01",NA,NA,"U 0229563",NA,NA,NA,NA,NA
"7","2020-02-08 09:37:30-03","NBC","NL-BOTANY","WAG.1057297","PreservedSpecimen","Plantae",NA,"Liliales","Liliaceae","Smilax","lappacea","Smilax lappacea","Humb. & Bonpl. ex Willd.","Breteler FJ",NA,"1965","11","16","Southern America","Venezuela","Amazonas",NA,"Venezuela. Fed. Terr. of Amazonas. Orinoco R. South part of Isla del Ratón.","-67.766667","5.033333",NA,NA,NA,"Savannah. Sandy soil.<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1057297 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1057297","NL-WAG1057297",NA,"Magnoliopsidae",NA,NA,NA,"-67.766667","5.033333",NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:37:30-03","NBC","NL-BOTANY","WAG.1057298","PreservedSpecimen","Plantae",NA,"Liliales","Liliaceae","Smilax","lappacea","Smilax lappacea","Humb. & Bonpl. ex Willd.","Breteler FJ",NA,"1965","11","16","Southern America","Venezuela","Amazonas",NA,"Venezuela. Fed. Terr. of Amazonas. Orinoco R. South part of Isla del Ratón.","-67.766667","5.033333",NA,NA,NA,"Savannah. Sandy soil.<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1057298 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1057298","NL-WAG1057298",NA,"Magnoliopsidae",NA,NA,NA,"-67.766667","5.033333",NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:18:06-03","UFV","VIC","5128","PreservedSpecimen","Plantae",NA,NA,"Liliaceae","Smilax","lappacea","Smilax lappacea","Willd.","Coons, M.P.","77-447","1977","09","27",NA,"Brasil","Minas Gerais","Caparaó","Parque Nacional da Serra do Caparaó, Vale Verde","-41.9043998718262","-20.523099899292",NA,NA,NA,"Cipó. Flores verde-amareladas. Ocorrente na mata secundária.","VIC005128","VIC005128","Andreata, R.H.P.",NA,"1998","02","13",NA,NA,NA,"15056","auto",NA,NA,NA
"10","2019-08-20 10:01:46-03","UNICAMP","UEC","59116","S","Plantae","Liliopsida",NA,"Smilacaceae","Smilax","lappacea","Smilax lappacea","Willd.","Sciamarelli, A; Coffani-Nunes, JV","577","1990","03","17",NA,"Brazil","São Paulo","Cajuru","Fazenda Santa Carlota - Cerrado 2.","-47.2999992370605","-21.2700004577637",NA,NA,NA,"Trepadeira com frutos verdes e negros.","UEC006825","UEC006825",NA,NA,NA,NA,NA,NA,NA,NA,"21243","auto",NA,NA,NA
"11","2015-09-05 08:44:46-03","MNHN","RECOLNAT_MNHN_P","P00152430","PreservedSpecimen",NA,NA,NA,"Smilacaceae","Smilax","lappacea","Smilax lappacea","Humb. & Bonpl. ex Willd.","Bonpland, A.J.A.|von Humboldt, F.W.H.A.",NA,NA,NA,NA,NA,"[Venezuela]",NA,NA,"Rio Anoucho (Caracas) [Nov. gen. sp. : Crescit prope Caracas ad fluvium Anaouco]",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00152430' target='other'> <mi>dwc_moreinfo</mi></a>","P00152430","P00152430_01","Andreata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA
"12","2015-10-04 12:18:46-03","MNHN","RECOLNAT_MNHN_P","P00669550","PreservedSpecimen",NA,NA,NA,"Smilacaceae","Smilax","lappacea","Smilax lappacea","Humb. & Bonpl. ex Willd.","Bonpland, A.J.A.|von Humboldt, F.W.H.A.",NA,NA,NA,NA,NA,"[Venezuela]",NA,NA,"Rio Anoucho (Caracas) [Nov. gen. sp. : Crescit prope Caracas ad fluvium Anaouco]",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00669550' target='other'> <mi>dwc_moreinfo</mi></a>","P00669550","P00669550_01","Kunth",NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA
"13","2015-09-03 20:08:00-03","MNHN","RECOLNAT_MNHN_P","P01779632","PreservedSpecimen",NA,NA,NA,"Smilacaceae","Smilax","lappacea","Smilax lappacea","Humb. & Bonpl. ex Willd.","Cammerson",NA,"1767","6","1",NA,"Brasil","Rio de Janeiro",NA,"Brésil. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01779632' target='other'> <mi>dwc_moreinfo</mi></a>","P01779632","P01779632_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2015-09-03 20:08:00-03","MNHN","RECOLNAT_MNHN_P","P01779631","PreservedSpecimen",NA,NA,NA,"Smilacaceae","Smilax","lappacea","Smilax lappacea","Humb. & Bonpl. ex Willd.","Warming",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Lagoa Santa","Brésil. Lagoa Santa, Minas Gerais, Sudeste, Brasil, América do Sul","-43.8897018432617","-19.6271991729736",NA,NA,"hb",". s.d. donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01779631' target='other'> <mi>dwc_moreinfo</mi></a>","P01779631","P01779631_01",NA,NA,NA,NA,NA,NA,NA,NA,"12338","auto",NA,NA,NA
"15","2020-12-11 11:45:23-03","UFMG","BHCB","37300","PreservedSpecimen","Plantae","Monocotyledon",NA,"Smilacaceae","Smilax","lappacea","Smilax lappacea","Willd.",NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Januária","Distrito de Fabião.","-44.3616981506348","-15.4881000518799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"148972","auto",NA,NA,NA
"16","2009-09-03 16:36:00-03","MO","MOBOT","1127080","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","lappacea","Smilax lappacea","Humb. & Bonpl. ex Willd.","Calaway H. Dodson|P.M. Dodson","Dodson 11386","1981","9","19","South America","Ecuador","Guayas",NA,"Capeira. Km 21 on the Guayaquil to Daule road. Tropical Dry Forest.","-79.96666","-2","20.00000000","200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"135","1"
"17","2011-06-08 11:53:00-03","MO","MOBOT","1801947","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","lappacea","Smilax lappacea","Humb. & Bonpl. ex Willd.","José Schunke V.","Schunke Vigo 8326","1975","4","29","South America","Peru","San Martín","Mariscal Cáceres","Dtto. Tocache Neuvo, desembocadura del río Tocache.",NA,NA,"400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2011-01-07 11:34:00-02","MO","MOBOT","2998524","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","lappacea","Smilax lappacea","Humb. & Bonpl. ex Willd.","F.W.H.A. von Humboldt","Humboldt 635",NA,NA,NA,"South America","Venezuela",NA,NA,"Caracas. Río Anauco",NA,NA,NA,NA,NA,NA,NA,NA,"L. Ferrufino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"19","2011-02-25 11:47:00-03","MO","MOBOT","3030616","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","lappacea","Smilax lappacea","Humb. & Bonpl. ex Willd.","Calaway H. Dodson|Alvin Embree","Dodson 13387","1982","7","19","South America","Ecuador","Cotopaxi",NA,"Tenefuerste. Río Pilalo, km 52-53, Quevedo-Latacunga.","-79.092","-0.868","750.00000000","900.00000000",NA,NA,NA,NA,"R. Liesner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2012-12-26 05:08:00-02","MO","MOBOT","3032318","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","lappacea","Smilax lappacea","Humb. & Bonpl. ex Willd.","Angelina Licata","Licata 237","1995","6","19","South America","Venezuela","Trujillo",NA,"Distrito Boconó. Parque Nacional Guaramacal. Selvas nubladas, en la vertiente Norte. Proyecto Flora de Guramacal, Convenio Smithsonian Institution (US)-UNELLEZ","-70.2119444","9.2497222","2100.00000000",NA,NA,NA,NA,NA,"L. Ferrufino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"21","2010-12-29 16:19:00-02","MO","MOBOT","616407","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","lappacea","Smilax lappacea","Humb. & Bonpl. ex Willd.","Philip J. Barbour","Barbour 4946","1980","4","24","South America","Peru","Madre de Dios","Tambopata","Tambopata Nature Reserve, ca. 30 air km or 70-80 river km. south-southwest of Puerto Maldonado at effluence Rio Torre - Rio Tambopata (southeast bank).","-69.28333","-12.81666","260.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69",NA
"22","2014-11-15 05:40:00-02","MO","MOBOT","881508","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","lappacea","Smilax lappacea","Humb. & Bonpl. ex Willd.","Nigel Pitman|G. Romero","Pitman 351","1994","6","21","South America","Ecuador","Napo","Aguarico","Reserva Etnica Huaorani. Maxus road and pipeline construction project, kms 97-99. Trees felled prior to collections. Tropical Moist Forest. Primary forest. Red soils, undulating hills.","-76.21666","-0.91666","250.00000000",NA,NA,NA,NA,NA,"J. Gaskin (MO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-08-31 09:20:05-03","INPA","INPA","207490","S","Plantae","Monocotyledon","Liliales","Smilacaceae","Smilax","lappacea","Smilax lappacea","Willd.","Roosmalen, MGM van","1434","1999","08","16","Southern America","Brasil","Amazonas","Santa Isabel do Rio Negro",NA,"-65","-0.666667",NA,NA,NA,NA,"INPA0207490",NA,"Ramos, JF",NA,NA,NA,NA,"-65","-0.666667",NA,NA,NA,NA,NA,NA
"24","2020-08-31 09:20:05-03","INPA","INPA","354","S","Plantae","Monocotyledon","Liliales","Smilacaceae","Smilax","lappacea","Smilax lappacea","Willd.","Rodrigues, WA","INPA354","1954","12","09","Southern America","Brasil","Amazonas","Manaus","Parque 10., Margem do igarapé do Parque 10.Terreno e habitat: T. firme.","-60.016667","-3.066667",NA,NA,NA,NA,"INPA0000354","INPA0000354 INPA0000354_e",NA,NA,NA,NA,NA,"-60.016667","-3.066667",NA,NA,NA,NA,NA,NA
"25","2020-09-12 05:00:02-03","US","US","2956960","PreservedSpecimen","Plantae",NA,"Liliales","Liliaceae (Smilacaceae)","Smilax","lappacea","Smilax lappacea","Humb. & Bonpl. ex Willd.","O. Huber","6292","1982","2","27","South America - Neotropics","Venezuela","Amazonas","Atures","Rincones de Chacorro, 30 km N de Puerto Ayacucho, 5 km NE Galipero","-67.33","5.8","80",NA,NA,NA,"US00871429",NA,"Gaskin, J. F.","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"26","2020-09-12 05:00:02-03","US","US","2856765","PreservedSpecimen","Plantae",NA,"Liliales","Liliaceae (Smilacaceae)","Smilax","lappacea","Smilax lappacea","Humb. & Bonpl. ex Willd.","O. Huber","581","1977","4","13","South America - Neotropics","Venezuela","Amazonas","Atures","Puerto Ayacucho, carretera hacia Samariapo y la pista de aterrizaje del Aeropuerto de Puerto Ayacucho","-67.6","5.61","75",NA,NA,NA,"US00871430",NA,"Gaskin, J. F.","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"27","2019-09-05 16:27:21-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Smilacaceae","Smilax","lappacea","Smilax lappacea",NA,"F. W. H. A. von Humboldt","635",NA,NA,NA,"South America","Venezuela",NA,NA,NA,"-65.9119","7.0758",NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA
"28","2019-01-25 15:47:05-02","IAC","IAC","21954","S","Plantae",NA,NA,"Smilacaceae","Smilax","lappacea","Smilax lappacea","Humb. & Bonpl. ex Willd.","C. Aranha","s/nº","1968",NA,NA,NA,"Brasil","São Paulo","São Carlos",NA,"-47.8908","-22.0175",NA,NA,NA,"Coleção de Plantas Invasoras",NA,NA,"R.H.P. Andreata",NA,"1968","06","30","-47.8908","-22.0175",NA,NA,NA,NA,NA,NA
