"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:42:56-03","E","E","198826","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","Pennington, T.D.; Daza, A.","16501","1998","11","26","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:208462","<a href=http://data.rbge.org.uk/herb/E00198826 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00198826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:56-03","E","E","104968","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","Gottsberger, G.",NA,"1986","11","03","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:114674","<a href=http://data.rbge.org.uk/herb/E00104968 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:56-03","E","E","198825","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","Pennington, T.D.; Reynel, C.; Daza, A.","17303","2001","08","30","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:208463","<a href=http://data.rbge.org.uk/herb/E00198825 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00198825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1281486","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","F. C. A. Oliveira","174","1994","10","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1694429' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281486","Magnoliophyta","Rosales","Reissek","M. Islam","Goiás","Pirenópolis","Chapada dos Veadeiros. Fazenda Pai Jose, propriedade do Sr. Roberto Pedrosa.","-48.9592","-15.8525","NY01281486_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","884974","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","J. Mattos","8651","1960","11","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970131' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884974","Magnoliophyta","Rosales","Reissek","J. Mattos","São Paulo","Sao Simao","Fazenda Bocaina","-47.5497","-21.47","NY00884974_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 04:10:00-03","NY","NYBG","00198289","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","M. L. Ortiz","687","1987","11","20","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=307262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00198289","Magnoliophyta","Rosales",NA,"D. C. Daly","Cordillera",NA,"A 3 kms de Nueva Colombia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1281493","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","G. T. Prance","59488","1964","10","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1694537' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281493","Magnoliophyta","Rosales","Reissek","M. Islam","Goiás","Caiapônia","Serra do Caiapó. 20 km south of Caiaponia, road to Jatai.","-51.8103","-16.9569","NY01281493_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","472191","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","D. C. Daly","9687","1997","10","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=376304' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472191","Magnoliophyta","Rosales","Reissek","R. L. Liesner","Acre","Brasiléia","Basin of Rio Acre, tributary of Rio Purus. Colônia Santo Antônio (Sr. Raimundo Teixeira).","-69.2614","-10.9414","NY00472191_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1281488","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","J. A. Ratter","R4019","1976","12","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1694436' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281488","Magnoliophyta","Rosales","Reissek","M. Islam","Goiás","Padre Bernardo","Fazenda Lagoa Santa","-48.58","-15.5","NY01281488_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1281497","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","J. O. de Jesus","90","1963","12","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1694543' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281497","Magnoliophyta","Rosales","Reissek","M. Islam","Minas Gerais","Coração de Jesus","Coração de Jesus","-44.365","-16.6856","NY01281497_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1281495","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","S. L. M. Moore","536","1891",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1694540' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281495","Magnoliophyta","Rosales","Reissek","M. Islam","Mato Grosso",NA,NA,NA,NA,"NY01281495_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1281485","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","J. Jangoux","1741","1981","11","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1694426' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281485","Magnoliophyta","Rosales","Reissek","M. Islam","Tocantins","Tocantinópolis","Fazenda Mucambo, 11km from town.","-47.42","-6.33","NY01281485_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1065538","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","M. H. Nee","39778","1990","11","08","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=307252' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065538","Magnoliophyta","Rosales","Reissek","M. H. Nee","Santa Cruz","Ichilo","1-2 km SSE of Espejitos.","-63.57","-17.67",NA,"400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","403126","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","D. C. Daly","9208","1996","11","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=307263' target='other'> <mi>dwc_moreinfo</mi></a>","NY00403126","Magnoliophyta","Rosales","Reissek","D. C. Daly","Acre","Manoel Urbano","Rio Purus, left bank, Seringal Escondido, Colocaçao Sao Sebastiao [Nauso Pereira da Silva]","-69.5508","-8.9939","NY00403126_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1281491","PreservedSpecimen","Plantae","Rhamnaceae","Rhamnidium","elaeocarpum","Rhamnidium elaeocarpum","H. S. Irwin","34978","1972","01","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1694534' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281491","Magnoliophyta","Rosales","Reissek","M. Islam","Goiás","Niquelândia","ca. 11 km S. of Niquelândia","-48.45","-14.54942","NY01281491_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
