"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","sex","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","00932756","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Leucochloron","foederale","Leucochloron foederale","(Barneby & J.W.Grimes) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","E. P. Heringer","8982","1962","09","20","South America","Brazil","Distrito Federal","Brasília","Fercal.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006927' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932756","NY00932756_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00932755","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Leucochloron","foederale","Leucochloron foederale","(Barneby & J.W.Grimes) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","L. Duarte","77","1962","09","07","South America","Brazil","Distrito Federal","Brasília","Fercal.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006922' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932755","NY00932755_01 NY00932755_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00932780","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Leucochloron","foederale","Leucochloron foederale","(Barneby & J.W.Grimes) Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","E. P. Heringer","9166","1963","07","30","South America","Brazil","Distrito Federal","Brasília","Fercal.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006924' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932780","NY00932780_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","334654","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pithecellobium","foederale","Pithecellobium foederale","Barneby & J.W.Grimes",NA,"H. S. Irwin","15672","1966","05","07","South America","Brazil","Distrito Federal","Brasília","Corrego Landim, ca. 20 km. NE of Brasília","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=225867' target='other'> <mi>dwc_moreinfo</mi></a>","NY00334654","NY00334654_01","isotype","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:30:45-03","UNICAMP","UEC","160111","S","Plantae","Magnoliopsida",NA,"Fabaceae","Leucochloron","foederale","Leucochloron foederale","(Barneby & J.W.Grimes) Barneby & J.W.Grimes","Barneby, RC; Grimes, JW","Duarte, L; Santos, RS","77","1962","09","07",NA,"Brazil","Distrito Federal","Brasília","Fercal, Cerrado.","-47.9296989440918","-15.7797002792358",NA,"Fl. verdes, estames branco-esverdeados mais ou menos 2 m.","UEC017762","UEC017762",NA,NA,NA,"1991","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-01 15:28:16-03","PUC-RIO","FCAB","8079","PreservedSpecimen","Plantae",NA,"Angiospermae","Fabaceae","Leucochloron","foederale","Leucochloron foederale","(Barneby & J.W.Grimes) Barneby & J.W.Grimes",NA,"J.C. Siqueira","s.n.","2019","02",NA,NA,"Brasil","Rio de Janeiro","Petrópolis","Araras. Condomínio privado.","-43.1786003112793","-22.5049991607666",NA,NA,"FCAB008079",NA,NA,NA,NA,NA,"36524","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2014-06-06 16:32:51-03","MNHN","RECOLNAT_MNHN_P","P01818506","PreservedSpecimen",NA,NA,NA,"Fabaceae","Pithecellobium","foederale","Pithecellobium foederale","Barneby & J.W. Grimes","Barneby","Irwin, H.S.|Grear, J.W.|R Souza, .|dos Santos, R.R.",NA,"1966","5","7",NA,"Brésil",NA,NA,"Distrito Federal. Corrego Landim, 20 km NE of Brasilia",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01818506' target='other'> <mi>dwc_moreinfo</mi></a>","P01818506","P01818506_01","isotype","900",NA,NA,NA,NA,"15672",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-11 11:36:06-03","UFMG","BHCB","38766","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Leucochloron","foederale","Leucochloron foederale","(Barneby & J.W.Grimes) Barneby & J.W.Grimes",NA,NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Paracatu",NA,"-46.874698638916","-17.2222003936768",NA,NA,NA,NA,NA,NA,NA,NA,"72344","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-02 16:28:01-03","Cenargen","CEN","81044","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Faboideae","Leucochloron","foederale","Leucochloron foederale","(Barneby & J.W.Grimes) Barneby & J.W.Grimes","Barneby & J.W.Grimes","L. Duarte","77","1962","09","07",NA,"Brasil","DF","BRASILIA","FERCAL.","-47.9296989440918","-15.7797002792358","Exsicatas","Estames branco esverdeados. Doação Herbarim Bradeanum - Rio de Jjaneiro - Brasil nº 26.913.","CEN00081044","CEN00081044",NA,NA,NA,"1991","70570","auto",NA,"1",NA,NA,NA,NA,NA,NA,NA
"10","2020-05-08 11:10:32-03","UEFS","HUEFS","184235","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Leucochloron","foederale","Leucochloron foederale","(Barneby & J.W.Grimes) Barneby & J.W.Grimes",NA,"Duarte, L.","77","1962","09","07",NA,"Brasil","Distrito Federal","Brasília","Fercal.","-47.9296989440918","-15.7797002792358",NA,NA,"HUEFS0184235","HUEFS0184235",NA,NA,NA,NA,"70570","auto",NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"11","2020-05-08 11:10:32-03","UEFS","HUEFS","35816","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Leucochloron","foederale","Leucochloron foederale","(Barneby & J.W.Grimes) Barneby & J.W.Grimes",NA,"Costa, L.V.","BHCB38766","1997","09","10",NA,"Brasil","Minas Gerais","Paracatu","Morro de calcário, estrada Paracatu-Uraí.","-46.874698638916","-17.2222003936768",NA,"Floresta estacional semidecídua.","HUEFS0035816","HUEFS0035816",NA,NA,NA,NA,"72344","auto",NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"12","2020-05-08 11:10:32-03","UEFS","HUEFS","178809","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Leucochloron","foederale","Leucochloron foederale","(Barneby & J.W.Grimes) Barneby & J.W.Grimes",NA,"Duarte, L.","77","1962","09","07",NA,"Brasil",NA,NA,"Brasília. Fercal.",NA,NA,NA,"Cerrado.","HUEFS0178809","HUEFS0178809",NA,NA,NA,NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"13","2020-07-23 12:14:26-03","CEPLAC","CEPEC","78017","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Leucochloron","foederale","Leucochloron foederale",NA,"R. C. Barneby","H. S. Irwin","15672","1966","05","09",NA,"Brasil","Distrito Federal","BRASÍLIA","20Km ao NE da cidade, Córrego Landim.","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"Isótipo",NA,NA,NA,"70570","auto",NA,NA,NA,"30/12/1984",NA,NA,NA,NA,NA
"14","2019-11-01 14:59:55-03","UnB","UB","39799","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Leucochloron","foederale","Leucochloron foederale","Barneby & Grimes","Harris, SA","Heringer, EP","8982","1962",NA,NA,"Southern America","Brasil","Distrito Federal","Sobradinho","FERCAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-01 14:59:55-03","UnB","UB","39802","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Leucochloron","foederale","Leucochloron foederale","Barneby & Grimes","Harris, SA","Irwin, HS","15612","1966","05","04","Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-01 14:59:55-03","UnB","UB","40254","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Leucochloron","foederale","Leucochloron foederale","Barneby & Grimes","Fagg, CW","Heringer, EP","9166","1963",NA,NA,"Southern America","Brasil","Distrito Federal","Sobradinho","FERCAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-11-01 14:59:55-03","UnB","UB","39800","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Leucochloron","foederale","Leucochloron foederale","Barneby & Grimes","Harris, SA","Ramos, PCM","CIPLAN133","1987","05","28","Southern America","Brasil","Distrito Federal","Sobradinho","FERCAL","-47.876389","-15.583333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-47.876389","-15.583333",NA,NA,NA
"18","2019-11-01 14:59:55-03","UnB","UB","39801","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Leucochloron","foederale","Leucochloron foederale","Barneby & Grimes","Harris, SA","Ramos, PCM","CIPLAN202","1987",NA,NA,"Southern America","Brasil","Distrito Federal","Sobradinho","FERCAL","-47.876389","-15.583333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-47.876389","-15.583333",NA,NA,NA
"19","2019-11-01 15:00:35-03","UnB","UB","1861","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Pithecellobium","foederale","Pithecellobium foederale","Barneby & Grimes","Barneby, R","Irwin, HS; Grear Junior, JW; Santos, RR; Souza, R","15672","1966","05","07","Southern America","Brasil","Distrito Federal","Brasília","Ca. de 20 km NE de Brasília","-47.9296989440918","-15.7797002792358",NA,"Tipo.; Árvore 5m x 20cm; Floresta de galeria.","UB0037319","UB0037319","holotype","900","900",NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2010-08-16 16:41:51-03","GH","HU-HERB","GH 00064016","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Pithecellobium","foederale","Pithecellobium foederale","Barneby & J. W. Grimes",NA,"H. S. Irwin, J. W. Grear, Jr., R. Souza & R. Reis dos Santos","15672","1966","5","7","South America","Brazil","Distrito Federal",NA,"Côrrego Landim, ca. 20 km. northeast of Brasília, gallery forest, 900 m",NA,NA,"Sheet",NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,"15672",NA,NA,NA,NA,NA,"undetermined",NA,NA
