"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","628981","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Triumfetta","bogotensis","Triumfetta bogotensis","DC.","W. Meijer","R. Callejas Posada","8717","1989","11","16","South America","Colombia","Antioquia","Anorí","Sitios El Río y Bramadero, kms 1-9 sobre la vía de Anorí-Dos Bocas, NE del Pueblo de Anorí, bhmb/bht","-75.17","7.08","1290","1510","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=471442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","628982","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Triumfetta","bogotensis","Triumfetta bogotensis","DC.","W. Meijer","J. Santisteban C.","156","1987","06","07","South America","Peru","Cajamarca","Santa Cruz","Ca. 0.5 km (por aire) ENE Monteseco",NA,NA,"1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=471443' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","628980","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Triumfetta","bogotensis","Triumfetta bogotensis","DC.","W. Meijer","H. S. Irwin","27615","1970","03","15","South America","Brazil","Minas Gerais",NA,"Ca. 22km E. of Diamantina",NA,NA,"900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=471441' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628980","NY00628980_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2017-05-08 09:55:00-03","NY","NYBG","02782111","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Triumfetta","bogotensis","Triumfetta bogotensis",NA,"L. J. Dorr","L. J. Dorr","6499","1989","07","06","South America","Ecuador","Loja",NA,"Valley of the Río Puyanga, small quebrada ca. 20 km SE of Balsas (El Oro).",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3134356' target='other'> <mi>dwc_moreinfo</mi></a>","NY02782111","NY02782111_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1262269","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Triumfetta","bogotensis","Triumfetta bogotensis","DC.","L. J. Dorr","M. Sales de Melo","393","1994","09","23","South America","Brazil","Pernambuco","Caruaru","Brejo dos Cavalos, Fazenda Caruaru.","-36","-8.31",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1506576' target='other'> <mi>dwc_moreinfo</mi></a>","NY01262269","NY01262269_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","628979","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Triumfetta","bogotensis","Triumfetta bogotensis","DC.",NA,"P. K. H. Dusén","7551","1909","01","16","South America","Brazil","Paraná","Ponta Grossa","Ponta Grossa","-50.077154","-25.140873",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=471446' target='other'> <mi>dwc_moreinfo</mi></a>","NY00628979","NY00628979_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-30 06:17:00-03","NY","NYBG","01482036","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Triumfetta","bogotensis","Triumfetta bogotensis",NA,"L. J. Dorr","J. D. Boeke","2299","1978","06","30","South America","Ecuador","El Oro",NA,"Pasaje-Cuenca Rd. San Sebastian.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1730214' target='other'> <mi>dwc_moreinfo</mi></a>","NY01482036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2017-05-08 09:55:00-03","NY","NYBG","02782136","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Triumfetta","bogotensis","Triumfetta bogotensis",NA,"L. J. Dorr","L. J. Dorr","6427","1989","06","23","South America","Ecuador","Chimborazo",NA,"and vicinity.","-78.98","-2.28","1500",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3134355' target='other'> <mi>dwc_moreinfo</mi></a>","NY02782136","NY02782136_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","884896","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Triumfetta","bogotensis","Triumfetta bogotensis","DC.","L. J. Dorr","M. J. N. Rodal","243","1994","06","22","South America","Brazil","Pernambuco","Caruaru","Brejo dos Cavalos, Fazenda Caruaru","-35.9761009216309","-8.28332996368408","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968813' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884896","NY00884896_01","35136","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:30:07-03","UNESP-IBB","BOTU","34726","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Triumfetta","bogotensis","Triumfetta bogotensis","DC.","Miranda, A.M.","Miranda, A.M.","597","1992","08","06",NA,"Brasil","Pernambuco","Condado",NA,NA,NA,NA,NA,NA,NA,"BOTU034726",NA,NA,NA,"2010","07","22","9999","9999",NA,NA,NA
