"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","251091","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","amparoense","Piper amparoense","Yunck.","holotype fragment","M. Kuhlmann","200","1942","12","19","South America","Brazil","São Paulo","Amparo, Monte Alegre, Fazenda Ponte Alta","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=198434' target='other'> <mi>dwc_moreinfo</mi></a>","NY00251091","NY00251091_01",NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 10:14:19-03","IBt","SP","47992","S","Plantae",NA,NA,"Piperaceae","Piper","amparoense","Piper amparoense","Yunck.","Holotype","Kuhlmann, M","200","1942","12","19",NA,"Brasil","São Paulo","Monte Alegre. Fazenda Ponte Alta. Mata virgem",NA,NA,"SP001477","SP001477","Yuncker, TG","1961","Amparo","-46.7599983215332","-22.7000007629395","18036","auto"
