"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","class","order","recordNumber","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","imagecode","relationshipType","relatedCatalogItem","continentOcean","fieldNumber","preparationType","typeStatus","individualCount","previousCatalogNumber","sex"
"1","2021-04-05 14:25:45-03","UNESC","CRI","12237","PreservedSpecimen","Plantae","Orchidaceae","Sauroglossum","elatum","Sauroglossum elatum","Lindl.","Renato Colares & Perterson T. Padilha","2017","03","20","Robson dos Santos; Vanilde Citadini-Zanette; Peterson T. Padilha; Aline Guislon & Daniela Pacheco","2016","09","09","Brasil","Santa Catarina","Criciúma","Satc","-49.370278","-28.678333","49º22'13''W","28º40'42''S","Habito: Herbácea terrícolas","CRI010419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2378","S","Plantae","Orchidaceae","Sauroglossum","elatum","Sauroglossum elatum","Lindl.","Carlos A. Ferreira Jr.","2012","08","22","Carlos Alberto F. Jr.; Maria Guadalupe, Fernando Fernandez, Fernando Araujo","2012","07","12","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo da Gerais","-43.7144012451172","-19.1688995361328","19º 02' 24S","43º 42' 06W","254",NA,"Magnoliophyta","Equisetopsida","Asparagales","CAF540","26557","1414","1414","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-08 11:09:44-03","UNESP-IBB","BOTU","27745","PreservedSpecimen","Plantae","Orchidaceae","Sauroglossum","elatum","Sauroglossum elatum","(Vell.) Schltr.","Adachi, S.A.","2010",NA,NA,"Magalhães, J.H.R.","2010","07","28","Brasil","São Paulo","Botucatu","Distrito de Rubião Júnior","-48.492222","-22.881111","48°29'32w","22°52'52s",NA,"BOTU027745",NA,NA,NA,"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","9008","PreservedSpecimen","Plantae","Orchidaceae","Sauroglossum","elatum","Sauroglossum elatum","Lindl.","Amaral Jr., A.",NA,NA,NA,"Amaral Jr., A.","1972","08","18","Brasil","São Paulo","Botucatu","Fazenda do Sr. Camilo Dinucci, próximo ao Cerrito, mata de banhado, de porte médio",NA,NA,"9999","9999",NA,"BOTU009008",NA,NA,NA,"1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","9133","PreservedSpecimen","Plantae","Orchidaceae","Sauroglossum","elatum","Sauroglossum elatum","Lindl.","Pabst, G.F.","1976","08","29",NA,NA,NA,NA,"Brasil","São Paulo","São Manuel","À margem do Rio Araguá",NA,NA,"9999","9999",NA,"BOTU009133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","9009","PreservedSpecimen","Plantae","Orchidaceae","Sauroglossum","elatum","Sauroglossum elatum","Lindl.","Amaral Jr., A.","1972","08","07","Amaral Jr., A.","1972","07","31","Brasil","São Paulo","Botucatu","Distrito de Rubião Júnior, mata localizada atrás da Igreja de Santo Antônio",NA,NA,"9999","9999",NA,"BOTU009009",NA,NA,NA,"877",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","6586","PreservedSpecimen","Plantae","Orchidaceae","Sauroglossum","elatum","Sauroglossum elatum","Lindl.","Amaral Jr., A.",NA,NA,NA,"Amaral Jr., A.","1972","08","18","Brasil","São Paulo","Botucatu","Fazenda do Sr. Camilo Dinucci, próximo ao Cerrito, mata de banhado, de porte médio",NA,NA,"9999","9999",NA,"BOTU006586",NA,NA,NA,"1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:26:38-03","PUCPR","HUCP","24224","S","Plantae","Orchidaceae","Sauroglossum","elatum","Sauroglossum elatum","Lindl.","Santos, TF",NA,NA,NA,"Santos, TF","2015","10","30","Brasil","Paraná","Paranaguá",NA,"-48.5092010498047","-25.5200004577637",NA,NA,NA,"HUCP00003328","Monocotiledonea",NA,NA,"110","24916",NA,NA,"auto","HUCP00003328",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 12:15:40-03","ESALQ","ESA","133215","PreservedSpecimen","Plantae","Orchidaceae","Sauroglossum","elatum","Sauroglossum elatum","Lindl.","Gissi, D.S.","2015","07","22","Barroso, R.M.; Kochanovski, F.J.; Montebeller,C.; Leme, F.M.; Bacci, L.F.; Marcelo-Peña, J.L.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.; Ivanauskas, N.M.","2015","07","04","Brasil","São Paulo","Mombuca","Mata do Pinheirinho. Usina Rosana","-47.560001373291","-22.9200000762939","-47,662,830","-22,924,245","Erva. 30cm.","ESA133215",NA,NA,NA,"144.0","13659","581","581","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-31 13:41:18-03","MN","R","35544","PreservedSpecimen","Plantae","Orchidaceae","Sauroglossum","elatum","Sauroglossum elatum","Lindl.","Hoehne, F.C.",NA,NA,NA,"Mello Mattos, A.M.","1902","06",NA,"Brasil","Minas Gerais","Itabirito",NA,"-43.801399230957","-20.2532997131348",NA,NA,NA,NA,NA,NA,NA,NA,"20553",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-31 13:41:18-03","MN","R","35543","PreservedSpecimen","Plantae","Orchidaceae","Sauroglossum","elatum","Sauroglossum elatum","Lindl.","Hoehne, F.C.",NA,NA,NA,"Dusén, P.K.H.","1902","07","22","Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,NA,NA,NA,"727","19648",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-31 13:41:18-03","MN","R","2534","PreservedSpecimen","Plantae","Orchidaceae","Sauroglossum","elatum","Sauroglossum elatum","Lindl.","Hoehne, F.C.",NA,NA,NA,"Ule, E.H.G.","1899","09",NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,NA,NA,NA,"57442",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-19 08:08:18-03","FPS","FPS","2570","MachineObservation","Plantae","Orchidaceae","Sauroglossum","elatum","Sauroglossum elatum","Lindl.","Schwirkowski, P.","2016","10","30","Schwirkowski, P.","2016","10","30","Brasil","Santa Catarina","São Bento do Sul","Serra Alta. BR-280","-49.428387","-26.265201","-49.428387","-26.265201",NA,"FPS02570,FURB52104",NA,NA,NA,"2000",NA,NA,NA,NA,"FPS02570_v01 FPS02570_v02 FPS02570_v03 FPS02570_v04 FPS02570_v05 FPS02570_v06 FPS02570_v07 FPS02570_v08 FPS02570_v09 FPS02570_v10 FURB52104","voucher","FURB 52104",NA,NA,NA,NA,NA,NA,NA
"14","2019-12-19 08:08:18-03","FPS","FPS","2908","MachineObservation","Plantae","Orchidaceae","Sauroglossum","elatum","Sauroglossum elatum","Lindl.","Engels, M.","2017","08","26","Schwirkowski, P.","2017","08","28","Brasil","Santa Catarina","São Bento do Sul","Rio Vermelho. Aterro Sanitário Municipal","-49.33568","-26.267717","-49.33568","-26.267717",NA,"FPS02908,FURB55797",NA,NA,NA,"2335",NA,NA,NA,NA,"FPS02908_v01 FPS02908_v02 FPS02908_v03 FPS02908_v04 FPS02908_v05 FPS02908_v06 FPS02908_v07 FPS02908_v08 FPS02908_v09 FURB55797","voucher","FURB 55797",NA,NA,NA,NA,NA,NA,NA
"15","2019-12-19 08:08:17-03","FPS","FPS","2267","MachineObservation","Plantae","Orchidaceae","Sauroglossum","elatum","Sauroglossum elatum","Lindl.","Schwirkowski, P.","2016","06","27","Schwirkowski, P.","2016","06","27","Brasil","Santa Catarina","São Bento do Sul","Parque Vinte e Três de Setembro","-49.383622","-26.27563","-49.383622","-26.27563",NA,"FPS02267,FURB51835",NA,NA,NA,"1729",NA,NA,NA,NA,"FPS02267_v01 FPS02267_v02 FPS02267_v03 FPS02267_v04 FPS02267_v05 FPS02267_v06 FURB51835","voucher","FURB 51835",NA,NA,NA,NA,NA,NA,NA
"16","2019-08-27 13:26:39-03","IAP","PACA-AGP","564","PreservedSpecimen","Plantae","Orchidaceae","Sauroglossum","elatum","Sauroglossum elatum","Lindl.","C.R. Buzatto","2014","04",NA,"C. Orth SJ","1931","10","18","Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,NA,"Habitat: In silva campestri Fenofase: flor","PACA000564","Magnoliophyta","Liliatae","Orchidales",NA,"29946",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-08-27 13:26:39-03","IAP","PACA-AGP","7463","PreservedSpecimen","Plantae","Orchidaceae","Sauroglossum","elatum","Sauroglossum elatum","Lindl.","C.R. Buzatto","2014","04",NA,"F. Theissen SJ","1907",NA,NA,"Brasil","RS","São Leopoldo",NA,"-51.1472015380859","-29.7602996826172",NA,NA,"Habitat: In silva campestri Fenofase: flor","PACA007463","Magnoliophyta","Liliatae","Orchidales",NA,"10287",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-08-27 13:26:39-03","IAP","PACA-AGP","71152","PreservedSpecimen","Plantae","Orchidaceae","Sauroglossum","elatum","Sauroglossum elatum","Lindl.","V.F. Nunes","1991","09","20","V. F. Nunes et al.","1991","09","20","Brasil","RS","Sapiranga","Recannto da Cascata - Picada Verão","-51.0069007873535","-29.6380996704102",NA,NA,"Flores esverdeadas, com labelo alvo. Habitat: Terrícola de interior de mato, higrófita Fenofase: flor","PACA071152","Magnoliophyta","Liliatae","Orchidales","1292","11711",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-08-27 13:26:39-03","IAP","PACA-AGP","52958","PreservedSpecimen","Plantae","Orchidaceae","Sauroglossum","elatum","Sauroglossum elatum","Lindl.","C.R. Buzatto","2014","04",NA,"Rambo, B.","1952","09","10","Brasil","RS","Taquara","Santa Cruz","-50.7806015014648","-29.6506004333496",NA,NA,"Habitat: In silva primaeva Fenofase: flor","PACA052958","Magnoliophyta","Liliatae","Orchidales",NA,"22252",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-20 21:18:47-03","UFV","VIC","32574","PreservedSpecimen","Plantae","Orchidaceae","Sauroglossum","elatum","Sauroglossum elatum","Lindl",NA,NA,NA,NA,"Fraga, I. .F.","2015","04","25","Brasil","Minas Gerais","Ouro Branco",NA,"-43.6918983459473","-20.5207996368408",NA,NA,"Terrestre, esciófila. Floresta Altimontana","VIC032574",NA,NA,NA,"s.n.","13809",NA,NA,"auto","VIC032574",NA,NA,NA,NA,NA,NA,NA,NA,NA
