"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","decimalLongitude","decimalLatitude","imagecode","class","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","infraspecificEpithet"
"1","2020-09-23 10:39:33-03","E","E","254701","PreservedSpecimen","Plantae","Gramineae","Deschampsia","cespitosa","Deschampsia cespitosa","Werdermann, Erich","582","Temperate South America","CL","Región VII [Maule]","Provincia de Curicó","Cordillera Volcán Peteroa","2500","2500","herbarium specimen of unspecif","BGBASE:273942","<a href=http://data.rbge.org.uk/herb/E00254701 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00254701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","652532","PreservedSpecimen","Plantae","Poaceae","Deschampsia","cespitosa","Deschampsia cespitosa","L. B. Smith","15541","South America","Brazil","Santa Catarina","Agua Doce","46 km west of Caçador",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=357255' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652532","Magnoliophyta","Poales","(L.) P.Beauv.","L. B. Smith","1971","12","01","-51.4640919","-26.781823","NY00652532_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","652536","PreservedSpecimen","Plantae","Poaceae","Deschampsia","cespitosa","Deschampsia cespitosa","R. M. Klein","3615","South America","Brazil","Santa Catarina","Matos Costa","Matos Costa","1200","1200","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=357248' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652536","Magnoliophyta","Poales","(L.) P.Beauv.","J. R. Swallen","1962","12","09","-51.1481","-26.4733","NY00652536_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","652522","PreservedSpecimen","Plantae","Poaceae","Deschampsia","cespitosa","Deschampsia cespitosa","Y. E. J. Mexia","7984","South America","Chile","Magallanes y Antártica Chilena",NA,"Last Hope Inlet; foot of Mt. Dorothy","25","25","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=357246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652522","Magnoliophyta","Poales","(L.) P.Beauv.","M. A. Chase","1936","04","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","652539","PreservedSpecimen","Plantae","Poaceae","Deschampsia","cespitosa","Deschampsia cespitosa","G. G. Hatschbach","28351","South America","Brazil","Paraná","General Carneiro","Faxinal dos Souzas",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=357253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652539","Magnoliophyta","Poales","(L.) P.Beauv.","S. A. Renvoize","1971","12","07","-51.3156","-26.4275","NY00652539_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","652535","PreservedSpecimen","Plantae","Poaceae","Deschampsia","cespitosa","Deschampsia cespitosa","L. B. Smith","10115","South America","Brazil","Santa Catarina","Sao Joaquim","Source of Rio Capivaras, Serra do Oratório, 10 km east of Bom Jardim da Serra (Cambajuva)","1200","1200","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=357252' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652535","Magnoliophyta","Poales","(L.) P.Beauv.","J. R. Swallen","1957","01","16","-49.9317","-28.2942","NY00652535_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","652531","PreservedSpecimen","Plantae","Poaceae","Deschampsia","cespitosa","Deschampsia cespitosa","L. B. Smith","15884","South America","Brazil","Santa Catarina","Sao Joaquim","19 km northeast of Sao Joaquim and 3 km north of Cruzeiro",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=357254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652531","Magnoliophyta","Poales","(L.) P.Beauv.","L. B. Smith","1971","12","18","-49.9317","-28.2942","NY00652531_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","652538","PreservedSpecimen","Plantae","Poaceae","Deschampsia","cespitosa","Deschampsia cespitosa","R. Reitz","3365","South America","Brazil","Santa Catarina","Bom Retiro","Campo dos Padres, Bom Retiro","2000","2000","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=357247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652538","Magnoliophyta","Poales","(L.) P.Beauv.","J. R. Swallen","1948","12","20","-49.4892","-27.7972","NY00652538_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","652533","PreservedSpecimen","Plantae","Poaceae","Deschampsia","cespitosa","Deschampsia cespitosa","L. B. Smith","8525","South America","Brazil","Santa Catarina","Campo Alegre","Slopes of Morro Iquererim","1500","1500","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=357250' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652533","Magnoliophyta","Poales","(L.) P.Beauv.","J. R. Swallen","1956","12","09","-49.2656","-26.1925","NY00652533_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","652534","PreservedSpecimen","Plantae","Poaceae","Deschampsia","cespitosa","Deschampsia cespitosa","L. B. Smith","7822","South America","Brazil","Santa Catarina","Bom Retiro","Between Fazenda Campo dos Padres and Fazenda Santo Antônio, Campo dos Padres","1400","1650","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=357251' target='other'> <mi>dwc_moreinfo</mi></a>","NY00652534","Magnoliophyta","Poales","(L.) P.Beauv.","J. R. Swallen","1956","11","21","-49.4892","-27.7972","NY00652534_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
