"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","scientificNameAuthorship","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","dayIdentified","infraspecificEpithet","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2016-09-27 13:20:00-03","NY","NYBG","636953","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa","G. Davidse","C. H. Dodson","14587A","1984","07","28","South America","Ecuador","Esmeraldas","La Tola, km 130 Norte de Esmeraldas. En manglares al sur de la ciudad y a lado de la carretera.","5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143046' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","602402","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa","W. W. Thomas","P. L. Krieger","10365","1971","04","05","South America","Brazil","Rio de Janeiro","Rio das Ostras.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143051' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602402","R.Br.","-41.944725","-22.466365","NY00602402_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","585361","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa","R. Kral","A. M. V. de Carvalho","3876","1992","03","02","South America","Brazil","Bahia","Distrito de Caldas do Jorro. Estrada que liga a sede do Distrito à estrada Araci/Tucano",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143065' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585361","R.Br.","-38.7867","-10.9633","NY00585361_01","Tucano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","602396","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa","S. A. Mori","S. A. Mori","11497","1979","02","08","South America","Brazil","Bahia","Cerca de 1 km ao S de Itacaré. Folha SD 24 (14-39c).",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602396","R.Br.","-38.995183","-14.2890182","NY00602396_01","Itacaré",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","602412","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa",NA,"R. Reitz","1220","1953","11","05","South America","Brazil","Santa Catarina","Campo do Massiambú, Palhoça.","2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143075' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602412","R.Br.","-48.62515","-27.834087","NY00602412_01",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 13:20:00-03","NY","NYBG","636952","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa","G. Davidse","A. M. Juncosa","1621","1984","01","01","South America","Colombia","Chocó","Mecana. On Pacific coast N of Bahía Solano.","2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143048' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636952",NA,"-77.35","6.27",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2423095","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa",NA,"A. J. Castelo","75","2012","08","12","South America","Brazil","Rio de Janeiro","Àrea de Proteção Ambiental de Marapendi, Praia da Reserva.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685248' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423095","R.Br.","-43.4164","-23.0158","NY02423095_01","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","602399","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa","T. M. Koyama","N. Lima","55","1968","01","07","South America","Brazil","Rio Grande do Norte","Parêlhas, RN. Açude de Governo.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143059' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602399","R.Br.",NA,NA,"NY00602399_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01177053","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa","T. M. Koyama","W. A. Rodrigues","5065","1963","04","02","South America","Brazil","Pará",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1412186' target='other'> <mi>dwc_moreinfo</mi></a>","NY01177053","R.Br.",NA,NA,"NY01177053_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01177052","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa","M. H. Nee","W. A. Rodrigues","5065","1963","04","02","South America","Brazil","Pará",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1412184' target='other'> <mi>dwc_moreinfo</mi></a>","NY01177052","R.Br.",NA,NA,"NY01177052_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","684535","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa","W. W. Thomas","A. M. V. de Carvalho","7203","2002","07","06","South America","Brazil","Bahia","Guaibim, Praia de Taquarí.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=835048' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684535","R.Br.","-38.95","-13.25","NY00684535_01","Valença",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","602404","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa","T. M. Koyama","J. Vidal","IV-972","1954","04",NA,"South America","Brazil","Alagoas","Mun. Riacho Doce, Pratagí.",NA,"sheet","Cat. geral N.° 122790 Museu Nacional Rio de Janeiro <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143053' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602404","R.Br.","-35.631797","-9.548997","NY00602404_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","602395","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa","T. M. Koyama","S. A. Mori","10158","1978","06","07","South America","Brazil","Bahia","Cerca de 1 km ao S de Itacaré, beira-mar. Folha SD-24 (14-39c).",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143055' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602395","R.Br.","-38.995183","-14.2890182","NY00602395_01","Itacaré",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","777665","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa","A. P. do N. Prata","G. Gardner","1201","1836",NA,NA,"South America","Brazil","Pernambuco",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777665","R.Br.",NA,NA,"NY00777665_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01112540","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa","A. P. do N. Prata","T. S. Nunes","1164","2005","03","18","South America","Brazil","Ceará","Cumbi, próximo a estação de tratamento de águas.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1254871' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112540","R.Br.","-37.7592","-4.4928","NY01112540_01","Aracati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","602409","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa",NA,"J. N. Rose","19617","1915","05","25","South America","Brazil","Bahia","Vicinity of Bahia.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143078' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602409","R.Br.",NA,NA,"NY00602409_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","602413","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa",NA,"R. Reitz","5800","1953","10","29","South America","Brazil","Santa Catarina","Barra do Sul, Araquarí.","2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143076' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602413","R.Br.","-48.616171","-26.462948","NY00602413_01",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","636954","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa","G. Davidse","J. A. Steyermark","123460","1980","06","06","South America","Venezuela","Zulia","Gravel and sand bars along Río Cachirí, bordered by riverine forest, just north of Hacienda Salamanca, 10 km (by air) southwest of El Paraíso.","150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143047' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636954","R.Br.","-72.33","10.775",NA,"Mara","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","602397","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa",NA,"G. Davidse","11650","1976","03","31","South America","Brazil","Bahia","Banks of Rio de Contas at Jequié.","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143081' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602397","R.Br.","-40.083644","-13.86424","NY00602397_01",NA,"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","602411","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa",NA,"R. Reitz","490","1953","04","08","South America","Brazil","Santa Catarina","Barra do Sul, Araquarí.","1","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143074' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602411","R.Br.","-48.616171","-26.462948","NY00602411_01",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","602410","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa",NA,"R. Reitz","477","1953","04","08","South America","Brazil","Santa Catarina","Barra do Sul, Araquari.","1","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143073' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602410","R.Br.","-48.616171","-26.462948","NY00602410_01",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","566227","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa","R. Kral","A. M. Amorim","962","1992","12","14","South America","Brazil","Bahia","Entre a praia do Farol e a praia da Ribeira",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143064' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566227","R.Br.","-38.9858437","-14.2814249","NY00566227_01","Itacaré",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","622940","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa",NA,"D. S. D. de Araújo","6866","1985","05","13","South America","Brazil","Rio de Janeiro","Praia Seca, Ponta do Anzol, na margem da lagoa.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143079' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622940","R.Br.","-42.343491","-22.905113","NY00622940_01","Araruama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","602400","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa","W. W. Thomas","P. Urbano","8674","1970","06","20","South America","Brazil","Rio de Janeiro","Rio das Ostras.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143049' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602400","R.Br.","-41.944725","-22.466365","NY00602400_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","602394","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa","T. M. Koyama","R. M. Harley","20030","1977","03","26","South America","Brazil","Bahia","Ca. 0.5 km. SW of Jussiape by the Rio de Contas, on the road to Marcolino Moura. Serra do Rio de Contas.","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143056' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602394","R.Br.","-41.62","-13.52","NY00602394_01",NA,"500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","602403","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa","T. M. Koyama","L. A. Mattos Silva","1932","1985","11","21","South America","Brazil","Bahia","Km 4 da Rodovia Cairu/Nilo Peçanha. Ramal à esquerda, com 1,5 km de extensao. Coletas próximas à sede da Fazenda Subaúna.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143060' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602403","R.Br.","-39.0339088","-13.5331925","NY00602403_01","Cairu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","602407","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa",NA,"R. M. Harley","17585","1974","03","31","South America","Brazil","Bahia","Itacaré, near the mouth of the Rio de Contas.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143069' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602407","R.Br.",NA,NA,"NY00602407_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","01177054","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa","T. M. Koyama","G. Davidse","17815","1980","04",NA,"South America","Brazil","Pará","Just east of the fishing village of Camara which is ca. 11 km NW of Marudá","20","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1412187' target='other'> <mi>dwc_moreinfo</mi></a>","NY01177054","R.Br.","-47.68","-0.62","NY01177054_01","Marapanim","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00925789","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa",NA,"F. E. Drouet","2163","1935","08","01","South America","Brazil","Ceará","Urubú,",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001627' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925789","R.Br.","-38.5431","-3.7172","NY00925789_01","Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-11-01 14:58:00-02","NY","NYBG","602414","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa",NA,"F. C. Hoehne","29611","1932","05","16","South America","Brazil","São Paulo","Ilha de St.Amaro, S.Paulo.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602414",NA,"-46.221681","-23.953375","NY00602414_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","602406","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa",NA,"R. M. Harley","17134","1974","03","18","South America","Brazil","Bahia","5 km. South of Santa Cruz Cabrália.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143067' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602406","R.Br.","-39.02","-16.32","NY00602406_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","602408","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa",NA,"W. Hoehne","s.n.","1941","04","20","South America","Brazil","São Paulo","Praia Grande.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143068' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602408","R.Br.","-46.502069","-24.003914","NY00602408_01","Sao Vicente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","602929","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa","W. W. Thomas","G. Pereira-Silva","3633","1996","09","21","South America","Brazil","Bahia","Entroncamento BR-324 - Caem km 7","490","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143052' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602929","R.Br.","-40.4","-11.15","NY00602929_01","Jacobina","490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","602398","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Fimbristylis","cymosa","Fimbristylis cymosa",NA,"G. Davidse","11813","1976","04","02","South America","Brazil","Sergipe","Banks of the Rio Real at the state border of Sergipe and Bahia along Highway BR-101.","80","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=143082' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602398","R.Br.","-37.7553","-11.4758","NY00602398_01","Cristinápolis","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
