"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","625819","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Zygopetalum","pedicellatum","Zygopetalum pedicellatum","(Sw.) Garay","E. A. Christenson","F. C. Hoehne","1592","1918","03","04","South America","Brazil","São Paulo","Alto da Serra, Estaçao Biologica.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492774' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625819","NY00625819_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 12:17:40-03","ESALQ","ESA","75926","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Zygopetalum","pedicellatum","Zygopetalum pedicellatum","(Thunb.) Garay","Forster, W.","Farah, F.T.; Aguiar, S.; Breier, T.B.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","2125.0","2001","04","11",NA,"Brasil","São Paulo","BLOQUEADO",NA,"Erva terrestre. Tépalas verdes com manchas vináceas, labelo alvo com estrias longitudinais roxas. Campo.","ESA075926","ESA075926","São Paulo","-46.6300010681152","-23.5400009155273","53584","800","800","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 12:17:40-03","ESALQ","ESA","76055","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Zygopetalum","pedicellatum","Zygopetalum pedicellatum","(Thunb.) Garay","Forster, W.","Souza, J.P.; Souza, V.C.; Ivanauskas, N.M.; Rodrigues, R.R.; Gandolfi, S.; Tamashiro, J.Y.","3551.0","2001","04","14",NA,"Brasil","São Paulo","BLOQUEADO",NA,"Erva, 30-150cm alt. Tépalas verdes com manchas vináceas, labelo alvo com estrias longitudinais roxas, coluna amarelo-esverdeada com manchas arroxeadas. Campo.","ESA076055","ESA076055","São Paulo","-46.6300010681152","-23.5400009155273","53584","850","850","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:41:19-03","MN","R","48868","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Zygopetalum","pedicellatum","Zygopetalum pedicellatum","(Sw.) Garay","Santana, I.C.","Hans, D.","234","1948",NA,NA,NA,"Brasil","Rio de Janeiro","Alto da Boa Vista",NA,NA,NA,NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","1998","02","05",NA,NA,NA,NA,NA
"5","2021-03-31 13:41:19-03","MN","R","24927","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Zygopetalum","pedicellatum","Zygopetalum pedicellatum","(Sw.) Garay","Santana, I.C.","Brade, A.C.",NA,"1929","06","16",NA,"Brasil","Rio de Janeiro","Tijuca",NA,NA,NA,NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","1998","02","05",NA,NA,NA,NA,NA
"6","2021-03-31 13:41:19-03","MN","R","24928","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Zygopetalum","pedicellatum","Zygopetalum pedicellatum","(Sw.) Garay","Santana, I.C.","Brade, A.C.",NA,"1929","05","13",NA,"Brasil","Rio de Janeiro","Tijuca",NA,NA,NA,NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","1998","02","05",NA,NA,NA,NA,NA
"7","2019-11-21 14:41:12-03","UFJF","CESJ","71896","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Zygopetalum","pedicellatum","Zygopetalum pedicellatum","(Thunb.) Garay","L. Menini Neto","D.E.F. Barbosa; S.G. Furtado; L. Menini Neto; H.R. Pereira Filho","384","2017","05","10","América do Sul","Brasil","Minas Gerais","Serra do Relógio, Floresta semidecidual montana",NA,"Epífita facultativa. Flores com sépalas e pétalas verdes com maculas de vináceas, labelo alvo com estrias longitudinais roxas, coluna amarelo-esverdeada com máculas arroxeadas. Interior de floresta.","CESJ071896",NA,"Descoberto","-42.935833","-21.387778",NA,"1200","1200",NA,"2017","05","10","-42.935833","-21.387778",NA,NA,NA
"8","2021-03-01 16:20:19-03","UNICAMP","UEC","194975","S","Plantae","Liliopsida",NA,"Orchidaceae","Zygopetalum","pedicellatum","Zygopetalum pedicellatum","(Sw.) Garay","Koehler, S","Koehler, S; Campacci, T","1-201","2016","03",NA,NA,"Brazil","São Paulo","Pico do Garrafão",NA,"Planta em cultivo na Unicamp, coletada estéril; Campo de altitude","UEC136069","UEC136069","Biritiba-Mirim","-46.0299987792969","-23.5699996948242","19656",NA,NA,"auto","2017","02","09",NA,NA,NA,NA,NA
"9","2019-08-20 10:01:02-03","UNICAMP","UEC","121691","S","Plantae","Liliopsida",NA,"Orchidaceae","Zygopetalum","pedicellatum","Zygopetalum pedicellatum","(Sw.) Garay","Forster, W","Souza, JP; Souza, VC; Rodrigues, RR; Tamashiro, JY; Ivanauskas, NM; Gandolfi, S","3551","2001","04","14",NA,"Brazil","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha para o Mirante. Campo.",NA,"Erva, 30-150 cm alt. Tépalas verdes com manchas vináceas, labelo alvo com estrias longitudinais roxas, coluna amarelo-esverdeada com manchas arroxeadas.","UEC001412","UEC001412","São Paulo","-46.6300010681152","-23.5400009155273","53584","850","850","auto","2001",NA,NA,NA,NA,NA,NA,NA
"10","2019-11-06 09:56:54-03","UFOP","OUPR","8738","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Zygopetalum","pedicellatum","Zygopetalum pedicellatum","(Thunb.) Garay","Barros, F.; Vinhos, F.; Rodrigues, VT (LEFB)","Badini, J.","s.n.","1977","11","20",NA,"Brasil","Minas Gerais","Três Moinhos",NA,"Terrenos umidos. Erva",NA,NA,"Ouro Preto","-43.5080986022949","-20.2875003814697","44599",NA,NA,"auto","2012",NA,NA,NA,NA,NA,NA,NA
