"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","geoFlag","continentOcean","preparationType","barcode","imagecode","class","typeStatus","fieldNumber","relatedCatalogItem"
"1","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","3109","S","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","rufa","Begonia rufa","Thunb.","Carlos A. Ferreira Jr.","2011","03","22","Carlos Alberto F. Jr.; Daniela Zappi e Fernando Araújo","caf286","2011","03","21","Brasil","Minas Gerais","Santana do Pirapama","Área do Sr. João Carrinho e D. Maria Geralda","43°44.526'","19°03.074'","1077","1077","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","1436","S","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","rufa","Begonia rufa","Thunb.","Carlos A. Ferreira Jr.","2009","05","24","Carlos Alberto F. Jr.; Alysson Rezende",NA,"2009","05","24","Brasil","Minas Gerais","Caeté","Serra da Piedade, caminho de subida da capela de baixo para o topo.",NA,NA,NA,NA,"254","-43.6697006225586","-19.8799991607666","22051","2","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00877905","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","lobata","Begonia lobata","Schott","L. B. Smith",NA,NA,NA,"H. S. Irwin","28779","1971","01","20","Brazil","Minas Gerais",NA,"Serra do Espinhaço, summit and upper slopes, south side of Serra da Piedade, ca. 5 km N. of Caeté",NA,NA,"2000","2000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944660' target='other'> <mi>dwc_moreinfo</mi></a>","-43.49265","-20.1263",NA,NA,NA,"South America","sheet","NY00877905","NY00877905_01",NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00877917","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","lobata","Begonia lobata","Schott","L. B. Smith",NA,NA,NA,"B. Maguire","49086","1960","08","08","Brazil","Minas Gerais",NA,"Summit of Serra do Cipo, Km. 120-140 on road from Hotel Chapeu do Sol to Concepcao.",NA,NA,"1200","1300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944774' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"South America","sheet","NY00877917","NY00877917_01",NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1018929","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","lobata","Begonia lobata","Schott",NA,NA,NA,NA,"R. Engelmann","RE317","2005","03","31","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha Pedra do Sino",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1264800' target='other'> <mi>dwc_moreinfo</mi></a>","-43.01992","-22.45278",NA,NA,NA,"South America","sheet","NY01018929","NY01018929_01",NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00877906","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","lobata","Begonia lobata","Schott","L. B. Smith",NA,NA,NA,"H. S. Irwin","29516","1971","01","31","Brazil","Minas Gerais","Ouro Preto","Serra do Espinhaço, lower slopes of Pico de Itacolomi, ca. 3 km S. of Ouro Preto",NA,NA,"1650","1650","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944662' target='other'> <mi>dwc_moreinfo</mi></a>","-43.5058333","-20.3874",NA,NA,NA,"South America","sheet","NY00877906","NY00877906_01",NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00877903","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","lobata","Begonia lobata","Schott","L. B. Smith",NA,NA,NA,"H. S. Irwin","19854","1968","02","11","Brazil","Minas Gerais",NA,"Pico de Itabirito, ca. 50 km S.E. of Belo Horizonte.",NA,NA,"1750","1750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944658' target='other'> <mi>dwc_moreinfo</mi></a>","-43.8","-20.23",NA,NA,NA,"South America","sheet","NY00877903","NY00877903_01",NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00877916","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","lobata","Begonia lobata","Schott","L. B. Smith",NA,NA,NA,"G. G. Hatschbach","30073","1972","08","08","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó. Fda Palacio.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944771' target='other'> <mi>dwc_moreinfo</mi></a>","-43.7447","-19.5136",NA,NA,NA,"South America","sheet","NY00877916","NY00877916_01",NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00877915","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","lobata","Begonia lobata","Schott",NA,NA,NA,NA,"A. P. Duarte","7577","1963","02","13","Brazil","Minas Gerais",NA,"Serra do Cipó, km 138. Estr. do Morro do Pilar.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944767' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"South America","sheet","NY00877915","NY00877915_01",NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00877909","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","lobata","Begonia lobata","Schott",NA,NA,NA,NA,"Ackermann","s.n.",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944669' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"South America","sheet","NY00877909","NY00877909_01",NA,NA,NA,NA
