"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","individualCount","decimalLongitude","decimalLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","131599","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Gleasonia","macrocalyx","Gleasonia macrocalyx","Ducke","isotype","W. A. Ducke","304","1936","11","26","South America","Brazil","Alto Rio Curicuriary margem inundavel.","sheet","Museum Yale School of Forestry. Rec. March 1937 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=665958' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131599","NY00131599_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01061698","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Gleasonia","macrocalyx","Gleasonia macrocalyx","Ducke",NA,"W. A. Ducke","359",NA,NA,NA,"South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1269468' target='other'> <mi>dwc_moreinfo</mi></a>","NY01061698","NY01061698_01","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:24:20-03","NBC","NL-BOTANY","U 0006025","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Gleasonia","macrocalyx","Gleasonia macrocalyx","Ducke","isotype","Ducke A",NA,"1936","11","26","Southern America","Brazil","Rio Curicuriary superior (affl. R. Negro, civ. Amazonas)",NA,"ad ripas inundatas<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006025 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006025","NL-U0006025","Amazonas","Magnoliopsidae","Rogers R","1981","07","01","41146 A",NA,NA,NA
"4","2015-05-20 14:27:00-03","MO","MOBOT","100450045","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Gleasonia","macrocalyx","Gleasonia macrocalyx","Ducke",NA,"A. Ducke","Ducke 359","1936","11","26","South America","Brazil","Rio Curicuriary superior.",NA,NA,NA,NA,"Amazonas",NA,"N. Dávila, UEC",NA,NA,NA,NA,"1",NA,NA
"5","2020-09-12 05:00:02-03","US","US","1693362","PreservedSpecimen","Plantae",NA,"Rubiales","Rubiaceae","Gleasonia","macrocalyx","Gleasonia macrocalyx","Ducke",NA,"-. Ducke","359","1936","11","26","South America - Neotropics","Brazil","Rio Curicuriary",NA,NA,"US02363237","US02363237_01","Amazonas","Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA
"6","2020-09-12 05:00:02-03","US","US","1740220","PreservedSpecimen","Plantae",NA,"Rubiales","Rubiaceae","Gleasonia","macrocalyx","Gleasonia macrocalyx","Ducke","Isotype","A. Ducke","29045","1936","11","26","South America - Neotropics","Brazil","Rio Curicuriary.",NA,"Isotype or syntype? Protologue cites Ducke 29045 cum ligno n. 304 (Yale 33831).","US00137685","US00137685_01","Amazonas","Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA
"7","2019-12-16 13:37:35-03","F","FMNH-SEEDPLANTS","V0345363F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Gleasonia","macrocalyx","Gleasonia macrocalyx",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"V0345363F","V0345363F_01",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339"
"8","2021-02-23 13:23:04-03","MN","R-TIPOS","75715","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Gleasonia","macrocalyx","Gleasonia macrocalyx","Ducke","Isotypus","Ducke, W.A.","359","1936","11","26",NA,"Brasil","Alto Rio Curicuriary",NA,NA,"R000075715","R000075715_001","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA
