"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","561482","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calycorectes","sellowianus","Calycorectes sellowianus","O.Berg","C. M. D. E. Legrand","R. M. Klein","1552","1955","09","09","South America","Brazil","Santa Catarina","Itajaí","Morro da Fazenda, Itajaí","-48.6617","-26.9081","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=425145' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561482","NY00561482_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","561479","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calycorectes","sellowianus","Calycorectes sellowianus","O.Berg","C. M. D. E. Legrand","R. Reitz","4059","1957","10","06","South America","Brazil","Santa Catarina","Araquari","Inferninho, Araquari","-48.7219","-26.3703","10","10","sheet","Lenho na xiloteca. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=425143' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561479","NY00561479_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00906981","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calycorectes","sellowianus","Calycorectes sellowianus","O.Berg",NA,"L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Mandioca","-43.184668","-22.564777",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983193' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906981","NY00906981_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","561484","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calycorectes","sellowianus","Calycorectes sellowianus","O.Berg","G. M. Barroso","J. G. Kuhlmann","6141","1940","11","26","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Rio de Janiero, Morro do Lacopán entre o do Salgueirinho e o dos Cabritos. Gávea.","-43.2075","-22.9031",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=425141' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561484","NY00561484_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","561485","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calycorectes","sellowianus","Calycorectes sellowianus","O.Berg","D. Martins","D. Martins","s.n.","1983","10","25","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Rio de Janeiro, Estr. da Vista Chinesa, próximo ao DECAM.","-43.273873","-22.971901",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=425146' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561485","NY00561485_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","561487","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calycorectes","sellowianus","Calycorectes sellowianus","O.Berg","C. M. D. E. Legrand","Y. E. J. Mexia","5005a","1930","08","27","South America","Brazil","Minas Gerais",NA,"Distrito Ilheu. Fazenda da Tabunha; Cachoera do Munhin.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=425147' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561487","NY00561487_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","561483","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calycorectes","sellowianus","Calycorectes sellowianus","O.Berg",NA,"H. C. de Lima","3453","1988","10","19","South America","Brazil","Rio de Janeiro","Nova Friburgo","Nova Friburgo, Reserva Ecológica Municipial de Macae de Cima, Nascente do Rio das Flores.","-42.05","-22",NA,NA,"sheet","Parc. 1B, microp.7b, ind.3217 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=425148' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561483","NY00561483_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","561480","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calycorectes","sellowianus","Calycorectes sellowianus","O.Berg","C. M. D. E. Legrand","R. M. Klein","1617","1955","09","29","South America","Brazil","Santa Catarina","Itajaí","Ounhas, Itajaí","-48.6617","-26.9081","10","10","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=425142' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561480","NY00561480_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","03097865","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","vattimoana","Eugenia vattimoana","Mattos",NA,"S. J. da Silva Neto","456","1994","09","21","South America","Brazil","Rio de Janeiro","Nova Iguaçu","Boa Esperança. REBIO do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3343469' target='other'> <mi>dwc_moreinfo</mi></a>","NY03097865","NY03097865_01","25743","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-10-27 11:21:59-03","PUCPR","HUCP","13840","S","Plantae","Eudicotiledonea",NA,"Myrtaceae","Calycorectes","sellowianus","Calycorectes sellowianus","O.Berg.","Legrand, D.","Hatschbach, GG","5174",NA,NA,NA,NA,"Brasil","Paraná","Tijucas do Sul",NA,"-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,"HUCP00015039","HUCP00015039","25228","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
