"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","year","month","day","county","decimalLongitude","decimalLatitude","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:39:18-03","E","E","1592","PreservedSpecimen","Plantae","Gentianaceae","Curtia","tenuifolia","Curtia tenuifolia","syntype","Spruce, Richard","3242","W. Tropical South America","VE","Amazonas","Near Esmeralda, close to river Orinoco","herbarium specimen of unspecif","BGBASE:13088","<a href=http://data.rbge.org.uk/herb/E00001592 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00001592",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:18-03","E","E","1589","PreservedSpecimen","Plantae","Gentianaceae","Curtia","tenuifolia","Curtia tenuifolia","syntype","Gardner, George","4280","E. Tropical South America","BR","Goias","Goyaz","herbarium specimen of unspecif","BGBASE:75816","<a href=http://data.rbge.org.uk/herb/E00001589 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00001589",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2108884","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"W. A. Egler","47237","South America","Brazil","Amapá","Airfield 3 km northeast of Oiapoque.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2285167' target='other'> <mi>dwc_moreinfo</mi></a>","NY02108884","Magnoliophyta","Gentianales","Knobl.","1960","07","29","Oiapoque","-51.797206","3.854254","NY02108884_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01059980","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"H. S. Irwin","28404","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 2 km S. of São João da Chapada","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1201783' target='other'> <mi>dwc_moreinfo</mi></a>","NY01059980","Magnoliophyta","Gentianales","Knobl.","1970","03","26","Diamantina","-43.7833","-18.0833","NY01059980_01","S. Crespo","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 00:09:00-03","NY","NYBG","01066457","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"J. A. Ratter","R2938","South America","Brazil","Distrito Federal","Fazenda Água Limpa (University of Brasilia field station), near Vargem Bonita, c. 18 km SSW of Brasília TV Tower.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1202677' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066457","Magnoliophyta","Gentianales",NA,"1976","04","27","Brasília","-47.9294","-15.7797","NY01066457_01","S. Crespo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01092871","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"S. A. Mori","12601","South America","Brazil","Bahia","3 km ao S de Mucujê, na estrada para Jussiape.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1242355' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092871","Magnoliophyta","Gentianales","Knobl.","1979","07","26","Mucugê","-41.4","-13","NY01092871_01",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-30 00:09:00-03","NY","NYBG","01066458","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"J. A. Ratter","R3027","South America","Brazil","Distrito Federal","Fazenda Água Limpa (University of Brasilia field station), near Vargem Bonita, c. 18 km SSW of Brasília TV Tower.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1202681' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066458","Magnoliophyta","Gentianales",NA,"1976","05","13","Brasília","-47.9294","-15.7797","NY01066458_01","S. Crespo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2108877","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"R. Spruce","s.n.","South America","Brazil","Pará","In vicinibus Santarem","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2285160' target='other'> <mi>dwc_moreinfo</mi></a>","NY02108877","Magnoliophyta","Gentianales","Knobl.","1850","06",NA,NA,"-54.740486","-2.449614","NY02108877_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01066469","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"A. F. M. Glaziou","19656","South America","Brazil","Minas Gerais","Cipó, prés de Congonhas da Serra","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1202776' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066469","Magnoliophyta","Gentianales","Knobl.","1892","04","22",NA,NA,NA,"NY01066469_01","S. Crespo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01059964","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"H. S. Irwin","16423","South America","Brazil","Mato Grosso","Ca. 84 km. N. of Xavantina. Serra do Roncador.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1201735' target='other'> <mi>dwc_moreinfo</mi></a>","NY01059964","Magnoliophyta","Gentianales","Knobl.","1966","06","01",NA,"-52.1","-13.93","NY01059964_01","S. Crespo","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01059958","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"H. S. Irwin","13492","South America","Brazil","Goiás","Serra dos Cristais, ca. 3 km E. of Cristalina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1201719' target='other'> <mi>dwc_moreinfo</mi></a>","NY01059958","Magnoliophyta","Gentianales","Knobl.","1966","03","04","Cristalina","-47.57186","-16.75","NY01059958_01","S. Crespo","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01066470","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"E. P. Heringer","8536","South America","Brazil","Minas Gerais","João Pinheiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1202663' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066470","Magnoliophyta","Gentianales","Knobl.","1961","07","28",NA,NA,NA,"NY01066470_01","S. Crespo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","2108878","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"G. T. Prance","29702","South America","Brazil","Amazonas","5 Km S of Central Massif of Serra Aracá.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2285161' target='other'> <mi>dwc_moreinfo</mi></a>","NY02108878","Magnoliophyta","Gentianales","Knobl.","1985","07","20",NA,"-63.3745909","0.8564387","NY02108878_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01066461","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"J. H. Kirkbride Jr.","5257","South America","Brazil","Distrito Federal","Cabeceira Comprida","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1202690' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066461","Magnoliophyta","Gentianales","Knobl.","1983","04","25","Brasília","-48.07","-15.62","NY01066461_01","S. Crespo","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01059989","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"W. R. Anderson","10372","South America","Brazil","Goiás","Serra dos Pirineus, ca. 15 km (straight line) N of Corumbá de Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1202610' target='other'> <mi>dwc_moreinfo</mi></a>","NY01059989","Magnoliophyta","Gentianales","Knobl.","1973","05","15","Cocalzinho de Goiás","-48.80861","-15.7880556","NY01059989_01","S. Crespo","1230","1230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","02341922","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"G. T. Prance","16192","South America","Brazil","Amazonas","Basin of Rio Negro. Rio Uneiuxi, 5 Km. Above mouth","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2529972' target='other'> <mi>dwc_moreinfo</mi></a>","NY02341922","Magnoliophyta","Gentianales","Knobl.","1971","11","08",NA,"-65.0422","-0.5189","NY02341922_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01066473","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"D. R. Hunt","6141","South America","Brazil","Goiás","Caiaponia-Aragarças road, about 75 km from Aragarças","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1202748' target='other'> <mi>dwc_moreinfo</mi></a>","NY01066473","Magnoliophyta","Gentianales","Knobl.","1966","06","22","Piranhas","-51.8219","-16.4269","NY01066473_01","S. Crespo","600","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","2108874","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"C. A. Cid Ferreira","5389","South America","Brazil","Amazonas","BR 319, Rod. Manaus-Porto Velho, a 15 km de Humaitá","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2285157' target='other'> <mi>dwc_moreinfo</mi></a>","NY02108874","Magnoliophyta","Gentianales","Knobl.","1985","04","10","Humaitá","-63.0301952","-7.5112368","NY02108874_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01059981","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"H. S. Irwin","28523","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 5 km N. of São João da Chapada, road to Inhaí","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1201789' target='other'> <mi>dwc_moreinfo</mi></a>","NY01059981","Magnoliophyta","Gentianales","Knobl.","1970","03","28","Diamantina","-43.7533","-18.0359","NY01059981_01","S. Crespo","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01059976","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"H. S. Irwin","24646","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 15 km south of Alto Paraíso, road to São João de Aliança","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1201776' target='other'> <mi>dwc_moreinfo</mi></a>","NY01059976","Magnoliophyta","Gentianales","Knobl.","1969","03","19","Alto Paraíso de Goiás","-47.52","-14.28","NY01059976_01","S. Crespo","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","2108881","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"Collector unspecified","s.n.","South America","Brazil",NA,"Lagoa santa","sheet",NA,"Collector possibly J. E. B. Warming, see barcode 2108887. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2285164' target='other'> <mi>dwc_moreinfo</mi></a>","NY02108881","Magnoliophyta","Gentianales","Knobl.",NA,NA,NA,NA,NA,NA,"NY02108881_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","2108873","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"J. M. Pires","16199","South America","Brazil","Goiás","Rodovia Belém - Brasília, perto do Igarapé do Boi.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2285156' target='other'> <mi>dwc_moreinfo</mi></a>","NY02108873","Magnoliophyta","Gentianales","Knobl.","1978","07","26",NA,NA,NA,"NY02108873_01",NA,"180","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","2108882","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"M. G. da Silva","5208","South America","Brazil","Pará","Margem direita do rio Tocantins.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2285165' target='other'> <mi>dwc_moreinfo</mi></a>","NY02108882","Magnoliophyta","Gentianales","Knobl.","1980","05","28","Tucuruí","-49.6725","-3.76611","NY02108882_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","01059959","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"H. S. Irwin","14124","South America","Brazil","Distrito Federal","Setor Industrial, ca. 5 km W of Brasília","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1201722' target='other'> <mi>dwc_moreinfo</mi></a>","NY01059959","Magnoliophyta","Gentianales","Knobl.","1966","03","19","Brasília","-47.95","-15.8","NY01059959_01","S. Crespo","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","01059994","PreservedSpecimen","Plantae","Gentianaceae","Curtia","patula","Curtia patula",NA,"W. R. Anderson","6706","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 27 km by road N of Alto Paraíso.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1202615' target='other'> <mi>dwc_moreinfo</mi></a>","NY01059994","Magnoliophyta","Gentianales","Knobl.","1973","03","09","Alto Paraíso de Goiás","-47.3451","-13.9457","NY01059994_01","S. Crespo","1750","1750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
