"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","dayIdentified","class","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","1085691","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","apparicioi","Begonia apparicioi","Brade","isotype","A. C. Brade","18387","1946","05","23","South America","Brazil","Espírito Santo","Itaguassu. Santa Maria.","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250328' target='other'> <mi>dwc_moreinfo</mi></a>","NY01085691","NY01085691_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-30 18:32:05-03","UFJF","CESJ","21420","PreservedSpecimen","Plantae","Angiosperma",NA,"Begoniaceae","Begonia","apparicioi","Begonia apparicioi","Brade",NA,"E.L. Jacques","s.n.","1987","04","19","América do Sul","Brasil","Minas Gerais","Parque Estadual do Ibitipoca",NA,NA,NA,"Na mata de galeria, erva alta.","CESJ021420",NA,"C. Delfini","2017","03","Lima Duarte","-43.793098449707","-21.8425006866455","30417","auto",NA,NA,NA,NA,NA
"3","2020-06-30 18:32:05-03","UFJF","CESJ","32464","PreservedSpecimen","Plantae","Angiosperma",NA,"Begoniaceae","Begonia","apparicioi","Begonia apparicioi","Brade",NA,"M.A. Heluey; R.C. Forzza; F.C. Araújo","58","2001","02","10","América do Sul","Brasil","Minas Gerais","Parque Estadual do Ibitipoca",NA,NA,NA,"Arbusto da borda da mata.","CESJ032464",NA,"C. Delfini","2017","03","Lima Duarte","-43.793098449707","-21.8425006866455","30417","auto",NA,NA,NA,NA,NA
"4","2021-03-01 16:26:18-03","UNICAMP","UEC","108727","S","Plantae","Magnoliopsida",NA,"Begoniaceae","Begonia","apparicioi","Begonia apparicioi","Brade",NA,"Freitas, L","628","1999","03","20",NA,"Brazil","Minas Gerais","São José do Barreiro, Estrada para o bairro dos Macacos. Fazenda Feliz.",NA,NA,NA,"Erva 80 cm, flores corola branco, elementos reprodutivos amarelo vivo, frutos brancos rosados.; Floresta Ombrófila Densa Altomontana.","UEC040916","UEC040916","Delfini-Feliciano, C","2008","03","São Roque de Minas","-46.3657989501953","-20.2453002929688","57119","auto",NA,NA,NA,NA,NA
"5","2020-04-27 16:08:55-03","UFES","VIES","16598","S","Plantae",NA,NA,"Begoniaceae","Begonia","apparicioi","Begonia apparicioi","Brade",NA,"Gomes, J.M.L.","1956","1993","06","06",NA,"Brasil","Espírito Santo","Panelas.",NA,NA,NA,NA,"VIES016598","VIES016598","Gomes, J.M.L.","1993","06","Domingos Martins","-40.6591987609863","-20.3633003234863","48150","auto","06",NA,NA,NA,NA
"6","2020-12-11 11:33:48-03","UFMG","BHCB","160389","PreservedSpecimen","Plantae","Dicotyledon",NA,"Begoniaceae","Begonia","apparicioi","Begonia apparicioi","Brade",NA,"Delfini Feliciano, C; Paula-Souza, J","42","2008","03","22","Southern America","Brasil","Minas Gerais","Estrada para Itamonte. Beira da estrada.",NA,NA,NA,"Erva ereta, 1-2m alt., folhas verdes, tricomas brancos, pedúnculos levemente rosados, flores brancas.",NA,NA,NA,"2008","11","Itamonte","-44.8699989318848","-22.283899307251","26914","auto",NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","3495845","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","apparicioi","Begonia apparicioi","Brade",NA,"W. Galiano, A. Rodriguez & A. Carazas","6668","2004","7","18","South America - Neotropics","Peru","Cusco","Vilcabamba Dist., Chiwanquiri","881",NA,NA,NA,NA,NA,"Smith, S. F., (US), NMNH",NA,NA,"La Convención","-73.135","-12.7544",NA,NA,NA,"Dicotyledonae","1",NA,NA
"8","2020-09-12 05:00:02-03","US","US","3190206","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","apparicioi","Begonia apparicioi","Brade",NA,"H. Q. Boudet Fernandes","1459","1985","8","28","South America - Neotropics","Brazil","Espírito Santo","Santa Teresa",NA,NA,NA,NA,"US00424933","US00424933_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"9","2020-09-12 05:00:02-03","US","US","2959432","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","apparicioi","Begonia apparicioi","Brade",NA,"G. Martinelli, R. Kautsky & E. M. Leme","8039","1982","5","5","South America - Neotropics","Brazil","Espírito Santo","Vila sao bento de urania, faz. zechini","1000","1000",NA,NA,"US00324383","US00324383_01",NA,NA,NA,"Alfredo Chaves","-40.749698638916","-20.6350002288818","32447","auto",NA,"Dicotyledonae","1",NA,NA
"10","2019-05-06 11:54:23-03","UFU","HUFU","33034","S","Plantae",NA,NA,"Begoniaceae","Begonia","apparicioi","Begonia apparicioi","Brade",NA,"Pacheco, R.A.; Cruz, M.P.; Carvalho, S.M.; Rezende, I.M.; Alves, A.S.S.; Volpi, R.L. & Romero,","568","2003","05","16",NA,"Brasil","Minas Gerais","Trilha para Cachoeira do Alpinista",NA,NA,NA,"Arbusto, ca. 2 m. Cálice e corola branca, estames amarelos.; Mata de galeria.","HUFU00002462","HUFU00002462","Feliciano, C.D.","2010","10","Delfinópolis","-46.8539009094238","-20.343900680542","41380","auto",NA,NA,NA,NA,NA
