"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","typeStatus","recordNumber","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","individualCount","phylum","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude"
"1","2020-02-08 10:42:34-03","NBC","NL-BOTANY","AMD.132306","PreservedSpecimen","Plantae","Pteropsida","Polypodiales","Adiantaceae","Cheilanthes","thellungii","Cheilanthes thellungii","Herter","Herter WG","1928","09","01","Southern America","Uruguay","Dep. de Tacuarembo. Valle Eden.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.132306 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD132306","NL-AMD132306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:42:34-03","NBC","NL-BOTANY","U.1041070","PreservedSpecimen","Plantae","Pteropsida","Polypodiales","Adiantaceae","Cheilanthes","thellungii","Cheilanthes thellungii","Herter","Herter WG","1928","09","01","Southern America","Uruguay","Dep. de Tacuarembo. Valle Eden.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1041070 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1041070","NL-U1041070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-02-02 14:38:58-02","BGBM","B","B 20 0037172","S","Plantae",NA,NA,"Polypodiaceae","Cheilanthes","juergensii","Cheilanthes juergensii","Rosenst.","C. Jürgens","1906",NA,NA,"Middle and South America","Brazil","Est. Rio Grande do Sul, Munic. Cachoeira ad rival. Böhmerbach ad rupes.","<a href=http://herbarium.bgbm.org/object/B200037172 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200037172",NA,"isotype","[269]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-25 12:12:35-03","UFSM","SMDB","1014","S","Plantae",NA,NA,"Pteridaceae","Cheilanthes","juergensii","Cheilanthes juergensii","Ros.","Baldissera, Z","1967","12",NA,NA,"Brasil","Chácara Albanus (antiga montanha russa)",NA,"SMDB001014",NA,NA,"s.n.","Sehnem, A","Rio Grande do Sul","Santa Maria","-53.8069000244141","-29.6842002868652","37819","auto",NA,NA,NA,NA,NA,NA
"5","2010-01-29 20:50:00-02","MO","MOBOT","3307658","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Cheilanthes","thellungii","Cheilanthes thellungii","Herter","W.G. Herter","1928","9",NA,"South America","Uruguay","C. 200, inter saxa, subsico. subumbrac. Valle Eden.",NA,NA,NA,NA,"Herter 1229","Herter","Tacuarembo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-15 15:28:05-03","UNESP-RC","HRCB","45500","PreservedSpecimen","Plantae",NA,NA,NA,"Cheilanthes","thellungii","Cheilanthes thellungii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","1444398","PreservedSpecimen","Plantae","Pteridophyte","Polypodiales","Pteridaceae","Cheilanthes","thellungii","Cheilanthes thellungii","Herter","W. G. F. Herter","1928","9",NA,"South America","Uruguay","Valle Eden.",NA,"US01499392",NA,NA,"1229",NA,"Tacuarembó",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"8","2021-02-08 12:46:55-03","UFRGS","ICN","184886","S","Plantae",NA,NA,"Pteridaceae","Cheilanthes","juergensii","Cheilanthes juergensii","Rosenst.","Melo, EA; Waechter, JL","2015","03","23","América do Sul","Brasil","Próx. ao Arroio Carvalho","Material testemunho; Erva epipétrica; Afloramento arenítico",NA,NA,NA,"EAM37","Waechter, JL","RS","Itati","-50.175833","-29.385",NA,NA,NA,"Fern","2015","03","-50.175833","-29.385"
"9","2020-08-26 10:51:25-03","MCN-FZBRS","HAS","43459","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Cheilanthes","juergensii","Cheilanthes juergensii","Rosenst.","Senna, R.M.","2005","01",NA,NA,"Brasil","Arroio Carvalho, Estação Ecológica Estadual Aratinga.","samambaia; barranco na encosta; erva exposta ao sol; Projeto Mata Atlântica","HAS0043459",NA,NA,"708",NA,"Rio Grande do Sul","Itati","-50.1006","-29.4897",NA,NA,NA,"Pteridophyta",NA,NA,"-50,1006","-29,4897"
