"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","year","month","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","386156","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","megalantha","Rhipsalis megalantha","Löfgr.","type","A. Löfgren","s.n.","South America","Brazil","São Paulo","Island of Sao Sebastiao","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=475621' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386156","NY00386156_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-10 14:35:04-03","UFSC","CTBS","4648","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","neves- armondii","Rhipsalis neves- armondii","K.Schum.",NA,"Texeira, V.","64",NA,"Brasil","Santa Catarina","Parque Ecológico René Frey",NA,"Epifítas vasculares",NA,NA,"Melo, E.A.","2019","2018","04","Fraiburgo","-50.929722","-27.017222","50°55'47W","27°01'02S"
"3","2021-03-10 14:35:04-03","UFSC","CTBS","4649","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","neves- armondii","Rhipsalis neves- armondii","K.Schum.",NA,"Texeira, V.","65",NA,"Brasil","Santa Catarina","Parque Ecológico René Frey",NA,"Epifítas vasculares",NA,NA,"Melo, E.A.","2019","2018","03","Fraiburgo","-50.929722","-27.017222","50°55'47W","27°01'02S"
"4","2021-03-10 14:35:04-03","UFSC","CTBS","4657","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","neves armondii","Rhipsalis neves armondii","K.Schum.",NA,"Texeira, V.","72",NA,"Brasil","Santa Catarina","Parque Ecológico René Frey",NA,"Epifítas vasculares",NA,NA,"Melo, E.A.","2019",NA,NA,"Fraiburgo","-50.929722","-27.017222","50°55'47W","27°01'02S"
