"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","coordinatePrecision","geoFlag","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01142045","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Sphenocleaceae","Sphenoclea","zeylanica","Sphenoclea zeylanica","Gaertn.","D. C. Daly","H. G. V. Silva","20","1997","08","12","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1509843' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142045","NY01142045_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1145734","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Sphenocleaceae","Sphenoclea","zeylanica","Sphenoclea zeylanica","Gaertn.","N. T. da Silva","N. A. Rosa","2904","1978","12","09","South America","Brazil","Maranhão","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1321761' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145734",NA,"Santa Inês","Santa Inês, margem direita do Rio Pindaré e a esquerda da BR-316","-45.38","-3.6669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01142056","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Sphenocleaceae","Sphenoclea","zeylanica","Sphenoclea zeylanica","Gaertn.","J. L. Luteyn","G. T. Prance","5267","1968","06","27","South America","Brazil","Rondônia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1509854' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142056","NY01142056_01",NA,"Island in Rio Madeira opposite Jaciparaná","-64.397038","-9.194036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01142051","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Sphenocleaceae","Sphenoclea","zeylanica","Sphenoclea zeylanica","Gaertn.","J. L. Luteyn","W. A. Egler","46045","1961","07","30","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1509849' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142051","NY01142051_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01142066","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Sphenocleaceae","Sphenoclea","zeylanica","Sphenoclea zeylanica","Gaertn.","J. L. Luteyn","S. R. Hill","13195","1983","07","29","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1509863' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142066","NY01142066_01",NA,"Paraná Urariá between rio Maués-Açu and rio Maués-Mirim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1145735","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Sphenocleaceae","Sphenoclea","zeylanica","Sphenoclea zeylanica","Gaertn.","J. L. Luteyn","C. H. Lankester","s.n.","1937","06","15","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1321763' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145735",NA,NA,"Descalvados.",NA,NA,"142","142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01142058","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Sphenocleaceae","Sphenoclea","zeylanica","Sphenoclea zeylanica","Gaertn.","J. L. Luteyn","G. T. Prance","5912","1968","07","12","South America","Brazil","Rondônia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1509856' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142058","NY01142058_01",NA,"E. bank of Rio Madeira at Abuña","-65.365883","-9.704187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01142050","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Sphenocleaceae","Sphenoclea","zeylanica","Sphenoclea zeylanica","Gaertn.","M. H. Nee","F. E. L. de Miranda","549","1983","09","12","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1509848' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142050","NY01142050_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01142048","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Sphenocleaceae","Sphenoclea","zeylanica","Sphenoclea zeylanica","Gaertn.","J. L. Luteyn","G. T. Prance","24213","1976","10","31","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1509846' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142048","NY01142048_01",NA,"Tabatinga, bank of Rio Solimoes","-69.9383","-4.2558",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01142046","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Sphenocleaceae","Sphenoclea","zeylanica","Sphenoclea zeylanica","Gaertn.","J. L. Luteyn","G. T. Prance","2044","1965","11","09","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1509844' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142046","NY01142046_01",NA,"Road Braganca to Viseu. Banks of Rio Piria, south of Curapati","-46.469517","-1.434467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
