"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","class","order","monthIdentified","dayIdentified","continentOcean","imagecode","fieldNumber","sex","preparationType"
"1","2020-11-13 09:20:35-03","UFRJ","RFA","9494","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","adiri","Pleurothallis adiri","Brade","G.F.J. Pabst","1970","G.G. Hatschbach","21024","1969","02","07","Brasil","Paraná","Guarapuava","Fazenda Campo Real","-51.4580993652344","-25.395299911499","53832","Epífita, flor creme com salpicos vinosos","RFA31836","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:26:38-03","IAP","PACA-AGP","50904","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","adirii","Pleurothallis adirii","Brade","G. Pabst","1954","Hatschbach, G.","1890","1950","05","07","Brasil","PR","Campo Largo","São Luiz","-49.5283012390137","-25.4585990905762","53742","Habitat: In silva campestri, epiphytica Fenofase: flor","PACA050904","auto","Magnoliophyta","Liliatae","Orchidales","09","05",NA,NA,NA,NA,NA
"3","2020-12-21 16:38:44-03","MBM","MBM","9606","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","adiri","Pleurothallis adiri","Brade","Pabst, G.",NA,"Hatschbach, G.","21024","1969","02","07","Brazil","Paraná","Guarapuava","Fazenda Campo Real","-51.4580993652344","-25.395299911499","53832",NA,"MBM009606","auto",NA,NA,NA,NA,NA,"Southern America","MBM009606",NA,NA,NA
"4","2021-02-11 17:21:00-03","UFPR","UPCB","8276","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","adiri","Pleurothallis adiri","Brade","Pabst, G.","1970","Hatschbach, G.","21024","1969","02","07","Brasil","Paraná","Guarapuava","Fazenda Campo Real","-51.4580993652344","-25.395299911499","53832","Epífita, flor creme com salpicos vinosos. Capão..",NA,"auto",NA,NA,NA,"01","01",NA,NA,NA,NA,NA
"5","2021-02-11 17:21:00-03","UFPR","UPCB","43469","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","adiri","Pleurothallis adiri","Brade","Kersten, R.","2001","Kersten, R.","435","2000","03","15","Brasil","Paraná","Araucária","REPAR","-49.4103012084961","-25.5930995941162","21346","Flores creme com listas vinosas. Labelo creme manchado de roxo. Epífita reptante..",NA,"auto",NA,NA,NA,"04",NA,NA,NA,NA,NA,NA
"6","2008-05-27 22:02:00-03","MO","MOBOT","2839689","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","adirii","Pleurothallis adirii","Brade","G. Pabst",NA,"Gert G. Hatschbach","Hatschbach 21024","1969","2","7","Brazil","Paraná",NA,"Fda. Campo Real (Guarapuava).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA
"7","2019-07-09 12:44:11-03","F","FMNH-SEEDPLANTS","V0434790F","PreservedSpecimen","Plantae","Orchidaceae","Acianthera","adirii","Acianthera adirii",NA,NA,NA,"G. G. Hatschbach","21024","1969","2","7","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0434790F",NA,"Spermatophyta","Monocotyledoneae",NA,NA,NA,"South America","V0434790F_01",NA,NA,NA
"8","2020-03-16 15:12:23-03","AMES","HU-HERB","AMES 02152898","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","adirii","Pleurothallis adirii","Brade",NA,NA,"P. K. H. Dusén","17966","1916","3","3","Brazil","Paraná",NA,"[no additional data]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,"17966","undetermined","Packet"
"9","2020-03-16 15:12:00-03","AMES","HU-HERB","AMES 02152899","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","adirii","Pleurothallis adirii","Brade",NA,NA,"P. K. H. Dusén",NA,NA,NA,NA,"Brazil","Paraná",NA,"[no additional data]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,"undetermined","Packet"
"10","2020-03-16 15:09:35-03","AMES","HU-HERB","AMES 02152901","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","adirii","Pleurothallis adirii","Brade",NA,NA,"P. K. H. Dusén","14035","1912",NA,NA,"Brazil","Paraná",NA,"Jaguariahyva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,"14035","undetermined","Packet"
"11","2020-03-16 15:11:15-03","GH","HU-HERB","GH 02152900","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","adirii","Pleurothallis adirii","Brade",NA,NA,"P. K. H. Dusén","7873","1909","3","15","Brazil","Paraná",NA,"Roca Nova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,"7873","undetermined","Packet"
