"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","recordNumber","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","preparationType","individualCount","verbatimLongitude","verbatimLatitude"
"1","2020-02-08 10:37:46-03","NBC","NL-BOTANY","U.1382573","PreservedSpecimen","Plantae","Magnoliopsidae","Zingiberales","Marantaceae","Thalia","multiflora","Thalia multiflora","Horkel","Renvoize SA; Wilmot-Dear CM; Tur N","1978","11","29","Southern America","Argentina","Corrientes, Santa Ana, morshy ground beside road.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1382573 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1382573","NL-U1382573",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:37:46-03","NBC","NL-BOTANY","L.1486686","PreservedSpecimen","Plantae","Magnoliopsidae","Zingiberales","Marantaceae","Thalia","multiflora","Thalia multiflora","Horkel","Pedersen TM","1977","03","10","Southern America","Argentina","Estancia,,La Yela', Dep. Empedrado, Prov. Corrientes.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1486686 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1486686","NL-L1486686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:37:46-03","NBC","NL-BOTANY","L.1486687","PreservedSpecimen","Plantae","Magnoliopsidae","Zingiberales","Marantaceae","Thalia","multiflora","Thalia multiflora","Horkel","Sellow F",NA,NA,NA,"Southern America","Brazil","Brasilia.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1486687 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1486687","NL-L1486687",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:37:46-03","NBC","NL-BOTANY","U.1382572","PreservedSpecimen","Plantae","Magnoliopsidae","Zingiberales","Marantaceae","Thalia","multiflora","Thalia multiflora","Horkel","Pedersen TM","1951","02","09","Southern America","Argentina","Plants of Argentina, Estancia, Santa Teresa, dep. Mburucuya, prov. Corrientes.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1382572 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1382572","NL-U1382572",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:37:46-03","NBC","NL-BOTANY","U.1382574","PreservedSpecimen","Plantae","Magnoliopsidae","Zingiberales","Marantaceae","Thalia","multiflora","Thalia multiflora","Horkel","Renvoize SA; Wilmot-Dear CM; Tur N","1978","11","29","Southern America","Argentina","Corrientes, Santa Ana, morshy ground beside road.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1382574 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1382574","NL-U1382574",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:37:46-03","NBC","NL-BOTANY","U.1382575","PreservedSpecimen","Plantae","Magnoliopsidae","Zingiberales","Marantaceae","Thalia","multiflora","Thalia multiflora","Horkel","Herter WG",NA,NA,NA,"Southern America","Uruguay","Plantae Uruguayenses Exsiccatae, Treinta y Tres, Vergara.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1382575 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1382575","NL-U1382575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:37:46-03","NBC","NL-BOTANY","U.1382666","PreservedSpecimen","Plantae","Magnoliopsidae","Zingiberales","Marantaceae","Thalia","multiflora","Thalia multiflora","Horkel","Ferreira A; Vianna EC; Lima DA","1972","11","25","Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1382666 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1382666","NL-U1382666","Kennedy H","Rio Grande do Sul","U 0137429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:37:46-03","NBC","NL-BOTANY","WAG.1090169","PreservedSpecimen","Plantae","Magnoliopsidae","Zingiberales","Marantaceae","Thalia","multiflora","Thalia multiflora","Horkel","Pedersen TM","1977","03","10","Southern America","Argentina","Estancia,,La Yela', Dep. Empedrado, Prov. Corrientes.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1090169 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1090169","NL-WAG1090169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:37:46-03","NBC","NL-BOTANY","WAG.1090170","PreservedSpecimen","Plantae","Magnoliopsidae","Zingiberales","Marantaceae","Thalia","multiflora","Thalia multiflora","Horkel","Pedersen TM","1977","03","10","Southern America","Argentina","Estancia,,La Yela', Dep. Empedrado, Prov. Corrientes.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1090170 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1090170","NL-WAG1090170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-07-02 14:02:54-03","JBP","HPL","12314","S","Plantae",NA,NA,"Marantaceae","Thalia","multiflora","Thalia multiflora","Horkel","H. Lorenzi","2011","01","11",NA,"Brasil","Coletado sob cultivo no Jardim Botânico Plantarum e trazida pelo viveirista Carlão (Natiflora), e originada de cultivo. Inflorescência congesta, cilíndrica, dispostas bem acima da folhagem sobre longo escapo floral.",NA,NA,NA,"S. Vieira","SP",NA,"2011","04","10","6976","Nova Odessa","-47.29","-22.77","8440","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-08-27 13:26:42-03","IAP","PACA-AGP","26368","PreservedSpecimen","Plantae","Liliatae","Zingiberales","Marantaceae","Thalia","multiflora","Thalia multiflora","Horkel ex Körn.","P. Buck SJ","1945","01",NA,NA,"Brasil","Fazenda das Almas","VULNERÁVEL&nf;sicher, 23.08.1954; sem material Habitat: in paludosis dumetosis Fenofase: flor","PACA026368",NA,"Emrich-Rambo","RS",NA,NA,NA,NA,NA,"Palmares do Sul","-50.5097007751465","-30.2577991485596","31350","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA
