"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","relatedCatalogItem","previousCatalogNumber"
"1","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","1866","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Huntleya","meleagris","Huntleya meleagris","Lindl.","Carlos A. Ferreira Jr.","Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo","2006","02","07","Brasil","Minas Gerais","Marliéria","Lagoa Central","-42.7322006225586","-19.7122001647949","28215","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","547704","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Huntleya","meleagris","Huntleya meleagris","Lindl.","F. W. L. Kraenzlin","P. K. H. Dusén","1908","12",NA,"Brazil","Paraná",NA,"Porto de Cima",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675318' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"7840","South America","200","200","sheet","NY00547704","NY00547704_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","547705","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Huntleya","meleagris","Huntleya meleagris","Lindl.","F. W. L. Kraenzlin","P. K. H. Dusén","1911","03","14","Brazil","Paraná",NA,"Alexandra","-48.631716","-25.548936",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675319' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"11550","South America",NA,NA,"sheet","NY00547705","NY00547705_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:26:38-03","PUCPR","HUCP","21208","S","Plantae","Monocotiledonea",NA,NA,"Orchidaceae","Huntleya","meleagris","Huntleya meleagris","Lindl.","Lemos, JV","Lemos, JV","2007","12","02","Brasil","Paraná","Pontal do Paraná","Rio Guaraguaçu","-48.511100769043","-25.6735992431641","19508",NA,NA,"auto","029",NA,NA,NA,NA,"HUCP00002566","HUCP00002566",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:28:42-03","UFBA","ALCB","114724","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Huntleya","meleagris","Huntleya meleagris","Lindl.","Vieira, TL","Borges, RL","2012","04",NA,"Brasil","Bahia","Iguaí",NA,"-40.0891990661621","-14.7564001083374","32961",NA,"epífita, sobre tronco, em clareira. Folhas discolores. Flores laranjas","auto","13","Southern America",NA,NA,NA,"ALCB007380","ALCB007380","2013","03",NA,NA,NA,NA,NA,NA
"6","2020-11-04 12:17:31-03","ESALQ","ESA","76868","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Orchidaceae","Huntleya","meleagris","Huntleya meleagris","Lindl.","Forster, W.","Sampaio, D. et al.","1999","01","10","Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727","17990",NA,NA,"auto","131.0",NA,NA,NA,NA,"ESA076868","ESA076868",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 12:17:31-03","ESALQ","ESA","76851","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Orchidaceae","Huntleya","meleagris","Huntleya meleagris","Lindl.","Forster, W.","Sztutman, M. et al.","1999","01","05","Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727","17990",NA,NA,"auto","110.0",NA,NA,NA,NA,"ESA076851","ESA076851",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 12:17:31-03","ESALQ","ESA","85983","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Orchidaceae","Huntleya","meleagris","Huntleya meleagris","Lindl.","Forster, W.","Forster, W.; Mazine, F.F.; Udulutsch, R.G.; Lucas, E.J.; Souza, V.C.","2003","01","23","Brasil","São Paulo","Cananéia","BLOQUEADO","-47.9199981689453","-25.0100002288818","37574",NA,"Erva epífita. Sépalas e pétalas com a base alva, porção mediana e apical castanha densamente maculada de amarelo. Labelo com a base castanho-avermelhada de porção mediana e apical castanha com mácula amarelo-brancacenta.","auto","1007.0",NA,NA,NA,NA,"ESA085983","ESA085983",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-31 13:41:04-03","MN","R","3443","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Huntleya","meleagris","Huntleya meleagris","Lindl.","Hoehne, F.C.","Schreiner, C.",NA,NA,NA,"Brasil","Rio de Janeiro","Cantagalo",NA,"-42.3680992126465","-21.9811000823975","33898",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-31 13:41:04-03","MN","R","102910","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Huntleya","meleagris","Huntleya meleagris","Lindl.","Garay, L.A.","Smith, L.B.; Reitz, R.","1952","02","21","Brasil","Santa Catarina","São Francisco do Sul",NA,"-48.6380996704102","-26.2432994842529","23627",NA,NA,"auto","5708",NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
