"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode"
"1","2021-03-15 16:37:00-03","NY","NYBG","03091115","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Quiina","piresii","Quiina piresii","J.V.Schneid. & Zizka","J. V. Schneider","paratype","C. A. Sothers","INPA/WWF 3402.598.2","1987","03","18","South America","Brazil","Amazonas","Manaus","Distrito Agropecuário da SUFRAMA, rodovia BR-174, km 64, depois 21 km leste na ZF3. Fazenda Porto Alegre. Reserva No. 3402 do projeto Dinamica Biologica de Fragmentos Florestais, Arv. No. 598.","-59","-2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3410223' target='other'> <mi>dwc_moreinfo</mi></a>","NY03091115","NY03091115_01"
"2","2010-11-27 07:15:00-02","MO","MOBOT","3070779","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Quiina","piresii","Quiina piresii","J.V. Schneid. & Zizka","J. Schneider, 01/",NA,"William A. Rodrigues|A. Loureiro","Rodrigues 9509","1974","7","11","South America","Brazil","Amazonas",NA,"Estrada Manaus-Itacoatiara km 134.",NA,NA,NA,NA,NA,NA
