"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","424080","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Eubrachion","ambiguum","Eubrachion ambiguum","(Hook. & Arn.) Engl.","J. Kuijt","P. K. H. Dusén","8953","1909","11","18","South America","Brazil","Paraná","Piraquara","Carvalho [Carvalho viaduct]","-48.981355","-25.49628","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402134' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424080","NY00424080_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 12:26:00-03","NY","NYBG","424092","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Eubrachion","ambiguum","Eubrachion ambiguum",NA,NA,"A. Krapovickas","20344","1971","11","02","South America","Argentina","Corrientes","Mercedes","Ayo. Pay-ubre Grande, camino Mercedes-Boquerón",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402140' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424092",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","424089","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Eubrachion","ambiguum","Eubrachion ambiguum","(Hook. & Arn.) Engl.","G. G. Hatschbach","G. G. Hatschbach","24395","1970","06","05","South America","Brazil","Paraná","Piraquara","Serra do Emboque","-49.0631","-25.4419","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402132' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424089","NY00424089_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 12:26:00-03","NY","NYBG","424086","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Eubrachion","ambiguum","Eubrachion ambiguum",NA,NA,"M. Sobral","4458","1985","10",NA,"South America","Brazil","Rio Grande do Sul","Alegrete","Alegrete","-55.7919","-29.7831","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402138' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424086","NY00424086_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 12:26:00-03","NY","NYBG","424085","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Eubrachion","ambiguum","Eubrachion ambiguum",NA,NA,"B. Rambo","37494","1948","08","11","South America","Brazil","Rio Grande do Sul","Porto Alegre","Vila Mauresa, p[rope] P[orto] Alegre","-51.23","-30.0331","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402137' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424085","NY00424085_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 12:26:00-03","NY","NYBG","424084","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Eubrachion","ambiguum","Eubrachion ambiguum",NA,NA,"W. A. Archer","4151","1936","10","08","South America","Brazil","São Paulo","Sao Paulo","Sao Paulo","-46.63","-23.5403","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402136' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424084","NY00424084_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 12:26:00-03","NY","NYBG","424081","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Eubrachion","ambiguum","Eubrachion ambiguum",NA,"C. T. Rizzini","R. Reitz","16183","1963","09","13","South America","Brazil","Santa Catarina","Campos Novos","Caxambu, Tupitinga, Campos Novos","-51.2247","-27.4019","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402125' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424081","NY00424081_01","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","424077","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Eubrachion","ambiguum","Eubrachion ambiguum","(Hook. & Arn.) Engl.","C. T. Rizzini","G. G. Hatschbach","211","1967","11","05","South America","Brazil","Paraná","Palmeira","Fazenda Santa Amélia","-50.0064","-25.4294","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402126' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424077","NY00424077_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","424078","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Eubrachion","ambiguum","Eubrachion ambiguum","(Hook. & Arn.) Engl.","G. G. Hatschbach","G. G. Hatschbach","30605","1972","10","31","South America","Brazil","Paraná","Araucária","Rio Iguaçú","-49.4103","-25.5933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402133' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424078","NY00424078_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-30 00:02:00-03","NY","NYBG","01023512","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Eubrachion","ambiguum","Eubrachion ambiguum",NA,"K. Krause","A. Gehrt","14462","1924","12","29","South America","Brazil","São Paulo",NA,"Pirajussára",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1194831' target='other'> <mi>dwc_moreinfo</mi></a>","NY01023512","NY01023512_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
