"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","class","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","02687351","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellales","Selaginellaceae","Selaginella","mendoncae","Selaginella mendoncae","Hieron.","R. Engelmann","RE1769","2011","05","03","South America","Brazil","Rio de Janeiro","Magé","Santo Aleixo. Parque Nacional da Serra dos Órgãos","-43.036111","-22.516944","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2962852' target='other'> <mi>dwc_moreinfo</mi></a>","NY02687351","NY02687351_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-02-02 14:39:12-02","BGBM","B","B 20 0095338","S","Plantae",NA,NA,"Selaginellaceae","Selaginella","mendoncae","Selaginella mendoncae","Hieron.","A. F. M. Glaziou","12294",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"s.l.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B200095338 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200095338","B200095338","G. Hieronymus","paralectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-02-02 14:39:12-02","BGBM","B","B 20 0095339","S","Plantae",NA,NA,"Selaginellaceae","Selaginella","mendoncae","Selaginella mendoncae","Hieron.","J. T. Moura","900","1857","11",NA,"Middle and South America","Brazil",NA,NA,"Rio de Janeiro. Serra dos Orgáos.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B200095339 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200095339","B200095339",NA,"paralectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:36:48-03","IAP","PACA-AGP","77279","PreservedSpecimen","Plantae","Pteridophyta","Selaginellales","Selaginellaceae","Selaginella","mendoncae","Selaginella mendoncae","Hieron.","Reitz, R.","17292","1965","07","16",NA,"Brasil","SC","Siderópolis","Serrinha","-49.4244003295898","-28.5977993011475",NA,"Habitat: rocha umida","PACA077279",NA,"A. Sehnem SJ",NA,"Lycopodiopsida","1981","23427","auto",NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:50:32-03","UFJF","CESJ","65143","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Selaginellaceae","Selaginella","mendoncae","Selaginella mendoncae","Hieron.","V.A.O. Dittrich; R.A.F. Lima","1526","2008","03","11","América do Sul","Brasil","São Paulo","Bertioga","Altitude: 0-100m","-46.138599395752","-23.8544006347656",NA,"Terrícola em beira de estrada no domínio da Floresta Ombrófila Densa das Terras Baixas","CESJ065143","CESJ065143","G. Heringer",NA,NA,"2008","37616","auto","04",NA,NA,NA,NA,NA,NA
"6","2017-12-15 12:12:14-02","MNHN","RECOLNAT_MNHN_P","P00573798","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Selaginella","mendoncae","Selaginella mendoncae","Hieron.","Glaziou, A.",NA,"1880","3","24",NA,"Brésil",NA,NA,"Serra dos Orgaos, chez Dias, R.J.[Rio de Janeiro]",NA,NA,"hb","Prélèvement de feuille et spores pour Valdespino I., Panama, 11/2017, demande n° 102490 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00573798' target='other'> <mi>dwc_moreinfo</mi></a>","P00573798","P00573798_01","Valdespino","syntype",NA,NA,NA,NA,NA,"12294",NA,NA,NA,NA,NA
"7","2015-09-18 06:10:46-03","MNHN","RECOLNAT_MNHN_P","P00573799","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Selaginella","mendoncae","Selaginella mendoncae","Hieron.","Mendonça, F.A.",NA,NA,NA,NA,NA,"Brasilia",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00573799' target='other'> <mi>dwc_moreinfo</mi></a>","P00573799","P00573799_01","Valdespino","syntype",NA,NA,NA,NA,NA,"302",NA,NA,NA,NA,NA
"8","2017-04-10 15:20:00-03","MO","MOBOT","100954580","PreservedSpecimen","Plantae",NA,NA,"Selaginellaceae","Selaginella","mendoncae","Selaginella mendoncae","Hieron.","Alexander C. Brade","Brade 11664",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"fide Ivan . Valdespino",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"9","2017-02-11 00:31:00-02","MO","MOBOT","100953987","PreservedSpecimen","Plantae",NA,NA,"Selaginellaceae","Selaginella","mendoncae","Selaginella mendoncae","Hieron.","F. R. de Mendonça","Mendonça 302",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"fide Ivan . Valdespino","Isolectotype",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"10","2016-02-17 08:58:25-02","F","FMNH-PTERIDOPHYTES","C0640255F","PreservedSpecimen","Plantae","Lycopodiophyta",NA,"Selaginellaceae","Selaginella","mendoncae","Selaginella mendoncae","Hieron.",NA,"12294","1880","3","24","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"C0640255F","C0640255F_01",NA,NA,"Lycopodiopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-12 05:00:02-03","US","US","1379898","PreservedSpecimen","Plantae",NA,"Selaginellales","Selaginellaceae","Selaginella","mendoncae","Selaginella mendoncae","Hieron.","ex herb. Glaziou","7283","1874","1","22","South America","Brazil",NA,NA,"Alto de Boa Vista de Nova Freburgo, R. J. [interpreted]",NA,NA,NA,NA,"US01391261","US01391261_01",NA,NA,"Pteridophyte",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
