"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","individualCount","class","continentOcean","relatedCatalogItem","recordNumber","infraspecificEpithet","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","preparationType","fieldNumber"
"1","2021-04-05 14:33:50-03","UNESC","CRI","12917","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","purpurata","Cattleya purpurata","(Lindl. & Paxton) Van den Berg","Alexandre Medeiros","2017","10","26","Alexandre Medeiros","2017","10","26","Brasil","Santa Catarina","Balneário Camboriú","Barra (Morro Guaramirim)","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 608. Habito: Epífita","CRI011525","CRI011525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3901","S","Plantae","Orchidaceae","Cattleya","purpurata","Cattleya purpurata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Asparagales","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3873","S","Plantae","Orchidaceae","Cattleya","purpurata","Cattleya purpurata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Asparagales","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4257","S","Plantae","Orchidaceae","Cattleya","purpurata","Cattleya purpurata",NA,"Carlos Alberto Ferreira Júnior","2017","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","4035","S","Plantae","Orchidaceae","Cattleya","purpurata","Cattleya purpurata",NA,"Carlos Alberto Ferreira Júnior","2017","03","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Asparagales","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2108","S","Plantae","Orchidaceae","Cattleya","purpurata","Cattleya purpurata","(Lindl. & Paxton) Van den Berg",NA,NA,NA,NA,"Rogério ( colecionador orquideas);",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Asparagales",NA,"Equisetopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:46:25-03","NBC","NL-BOTANY","L 0742326","PreservedSpecimen","Plantae","Orchidaceae","Laelia","purpurata","Laelia purpurata","Lindl. & Paxton",NA,NA,NA,NA,"Unknown",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200742326 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0742326",NA,NA,"Asparagales",NA,"Magnoliopsidae","Southern America","226",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:46:25-03","NBC","NL-BOTANY","L.1512618","PreservedSpecimen","Plantae","Orchidaceae","Laelia","purpurata","Laelia purpurata","Lindl. & Paxton",NA,NA,NA,NA,"Unknown",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1512618 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1512618","NL-L1512618",NA,"Asparagales",NA,"Magnoliopsidae","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-31 13:41:04-03","MN","R","43780","PreservedSpecimen","Plantae","Orchidaceae","Laelia","purpurata","Laelia purpurata","Lindl. & Paxton",NA,NA,NA,NA,"Hans, D.","1946","10","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"138",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-31 13:41:04-03","MN","R","35662","PreservedSpecimen","Plantae","Orchidaceae","Laelia","purpurata","Laelia purpurata","Lindl. & Paxton",NA,NA,NA,NA,NA,"1913","09","26","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
