"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","fieldNumber","monthIdentified","dayIdentified","class","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00952013","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","grazielae","Dimerostemma grazielae","H.Rob.","H. E. Robinson","G. G. Hatschbach","35983","1975","02","09","South America","Brazil","Mato Grosso do Sul","Rio Verde, 10 km ao Norte.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1218228' target='other'> <mi>dwc_moreinfo</mi></a>","NY00952013","NY00952013_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02851822","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","grazielae","Dimerostemma grazielae","H.Rob.",NA,"H. S. Irwin","12608","1966","02","11","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 20 km. west of Veadeiros","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3176531' target='other'> <mi>dwc_moreinfo</mi></a>","NY02851822","NY02851822_01","Alto Paraíso de Goiás","-47.5097","-14.1325","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","168191","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","grazielae","Dimerostemma grazielae","H.Rob.",NA,"H. S. Irwin","32779","1971","03","20","South America","Brazil","Goiás","Chapada dos Veadeiros: ca. 19 km. north of Alto do Paraiso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=378432' target='other'> <mi>dwc_moreinfo</mi></a>","NY00168191","NY00168191_01","Alto Paraíso de Goiás","-47.5097","-14.1325","1250","1250","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00941484","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","grazielae","Dimerostemma grazielae","H.Rob.","H. E. Robinson","H. S. Irwin","12903","1966","02","15","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 7 km W. of Veadeiros","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015633' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941484","NY00941484_01","Alto Paraíso de Goiás","-47.58153","-14.1167","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00748617","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","grazielae","Dimerostemma grazielae","H.Rob.","H. Robinson","W. R. Anderson","6346","1973","03","05","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 1 km E of Alto Paraíso on road to Nova Roma","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=879660' target='other'> <mi>dwc_moreinfo</mi></a>","NY00748617","NY00748617_01","Alto Paraíso de Goiás","-47.5103","-14.1103","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00941485","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","grazielae","Dimerostemma grazielae","H.Rob.","M. Dias de Moraes","B. Gates","65","1979","01","26","South America","Brazil","Goiás","Chapada dos Veadeiros. 5 km E of Alto Paraíso.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015635' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941485","NY00941485_01","Alto Paraíso de Goiás","-47","-14","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00941486","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","grazielae","Dimerostemma grazielae","H.Rob.","J. F. Pruski","W. R. Anderson","6453","1973","03","06","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 20 km by road N of Alto Paraíso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015648' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941486","NY00941486_01","Alto Paraíso de Goiás","-47.5167","-13.9376","1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00941483","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","grazielae","Dimerostemma grazielae","H.Rob.","H. E. Robinson","H. S. Irwin","33151","1971","03","25","South America","Brazil","Goiás","Chapada dos Veadeiros, ca. 42 km N of Alto do Paraíso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015630' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941483","NY00941483_01","Teresina de Goiás","-47.5167","-13.73709","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0013908","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","grazielae","Dimerostemma grazielae","H.Rob.","H. Robinson","G. Hatschbach; A. Schinini, E. Barbosa","70687","2000",NA,"8",NA,"Brazil","Goias","Rod. GO-118, Chapada dos Veadeiros, 10 km N de Alto Paraiso (Mun. Alto Paraiso de Goias).",NA,"Ereta, 1 m, capitulo amarelo.",NA,NA,NA,"-47.6846","-14.0057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0013907","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","grazielae","Dimerostemma grazielae","H.Rob.","H. Robinson","G. Hatschbach; M. Hatschbach, O. S. Ribas, D. Willberg","70131","2000",NA,"13",NA,"Brazil","Goias","Serra dos Pireneus, rodovia Pirenopolis, Cocalzinho de Goias (Mun. Pirenopolis).",NA,"Arbusto, 2 m, capitulo amarelo.",NA,NA,NA,"-48.958554","-15.853804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-01 16:24:00-03","UNICAMP","UEC","102942","S","Plantae","Magnoliopsida",NA,"Asteraceae","Dimerostemma","grazielae","Dimerostemma grazielae","H.Rob.","Moraes, MD","Moraes, MD","399","1999","03","02",NA,"Brazil","Goiás","ca. 42 km de Alto Paraíso de Goiás em direção a Teresina de Goiás.",NA,"Subarbusto ca. 1,7m, com xilopódio, ramos com folhas verticilada e ramos com folhas opostas e alternas juntas.; Cerrado em encosta esparsamente rochosa, próximo a um pequeno rio, solo arenoso-húmico.","UEC122581","UEC122581",NA,"-47.343333","-13.881944","1115","1115",NA,"-47.343333","-13.881944",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:24:00-03","UNICAMP","UEC","105941","S","Plantae","Magnoliopsida",NA,"Asteraceae","Dimerostemma","grazielae","Dimerostemma grazielae","H.Rob.","Moraes, MD","Moraes, MD","400","1999","03","02",NA,"Brazil","Goiás","ca. 42 km de Alto Paraíso de Goiás em direção a Teresina de Goiás.",NA,"Subarbusto ca. 1,7m com xilopódio e um único caule.; Cerrado em encosta esparsamente rochosa, próximo a um pequeno rio, solo arenoso-húmico.","UEC122582","UEC122582",NA,"-47.341944","-13.881111","1200","1200",NA,"-47.341944","-13.881111","2005",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:24:00-03","UNICAMP","UEC","105943","S","Plantae","Magnoliopsida",NA,"Asteraceae","Dimerostemma","grazielae","Dimerostemma grazielae","H.Rob.","Moraes, MD","Moraes, MD","398","1999","03","02",NA,"Brazil","Goiás","ca. 42 km de Alto Paraíso em direção a Teresina de Goiás.",NA,"Arbusto ca. 1,2m, com xilopódio.; Cerrado em encosta rochosa, próximo a riacho, solo arenoso-húmico.","UEC122584","UEC122584",NA,"-47.341944","-13.881944","1115","1115",NA,"-47.341944","-13.881944",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:24:00-03","UNICAMP","UEC","118914","S","Plantae","Magnoliopsida",NA,"Asteraceae","Dimerostemma","grazielae","Dimerostemma grazielae","H.Rob.","Moraes, MD","Moraes, MD","647","2001","04","12",NA,"Brazil","Goiás","ca. de 16 km da cidade em direção a Teresina de Goiás, escosta rochosa.",NA,"Arbusto 1-1,50m, flores amarelas, com xilopódio, crescendo entre rochas, associada com palmeira de ca. 1m, Syagrus ? .; Cerrado Rupestre, circundado por campo, solo arenoso.","UEC122583","UEC122583","Alto Paraíso de Goiás","-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,NA,NA,"44724","auto",NA,NA,NA,NA,NA,NA
