"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","yearIdentified","monthIdentified","dayIdentified","year","month","day","individualCount","occurrenceRemarks","identifiedBy","scientificNameAuthorship","recordedBy","recordNumber","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","preparationType"
"1","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3993","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Brasiliorchis","schunkeana","Brasiliorchis schunkeana","2017","03","13","2017","03","13","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3957","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Brasiliorchis","schunkeana","Brasiliorchis schunkeana","2016","12","05","2016","12","05","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3774","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Maxillaria","schunkeana","Maxillaria schunkeana","2016","06","29",NA,NA,NA,"2","254","Carlos Alberto Ferreira Júnior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-12 15:31:47-03","UFABC","HUFABC","000019","PreservedSpecimen","Plantae","Angiospermas",NA,"Orchidaceae","Brasiliorchis","schunkeana","Brasiliorchis schunkeana",NA,NA,NA,"2018","06","26",NA,"Planta em cultivo na Coleção do Orquidário Frederico Hoehne do Instituto de Botânica de São Paulo, sem número de identificação. Coletor e localidade orginal desconhecida.",NA,"(Campacci & Kautsky) R.B.Singer, S.Koehler & Carnevali","Moraes, A P; Carvalho, C; Gelli, T","183","Brasil","São Paulo","São Paulo","Instituto de Botânica de São Paulo, Na coleção de orquideas.","-46.6300010681152","-23.5400009155273","53584","HUFABC000019","HUFABC000019","auto",NA,NA,NA
"5","2019-08-20 10:00:54-03","UNICAMP","UEC","140119","S","Plantae","Liliopsida",NA,"Orchidaceae","Maxillaria","schunkeana","Maxillaria schunkeana",NA,NA,NA,NA,NA,NA,NA,"Data de floração: 11/08/2003. Cultivada na Unicamp. Proc. Orquidário Binot (RJ).",NA,"Campacci & Katsuky","s/ coletor","s.n.","Brazil","Rio de Janeiro","Petrópolis","Cultivada na Unicamp. Proc. Orquidário Binot (RJ).","-43.1786003112793","-22.5049991607666","36524","UEC027428","UEC027428","auto",NA,NA,NA
"6","2020-09-03 12:03:27-03","MBML","MBML-HERBARIO","50175",NA,"Plantae",NA,NA,"Orchidaceae","Brasiliorchis","schunkeana","Brasiliorchis schunkeana",NA,NA,NA,"2016","04","16",NA,NA,NA,"(Campacci & Kautsky) R.B.Singer, S.Koeh. & Carnev.","R.X. Bolsanello",NA,"Brasil","Espírito Santo","Domingos Martins","Biriricas","-40.583333","-20.316667",NA,"MBML050175","MBML050175",NA,"40W35'","20S19'",NA
"7","2020-07-10 09:48:24-03","MBML","MBML-HERBARIO","7639",NA,"Plantae",NA,NA,"Orchidaceae","Maxillaria","schunkeana","Maxillaria schunkeana",NA,NA,NA,"1998","08","13",NA,"Mata de pedreira. Epífita 3m. Flores pretas.","L. Kollmann","Campacci & Kautsky","L. Kollmann; E. Bausen & W. Pizziolo","336","Brasil","Espírito Santo","Santa Teresa","São Lourenço, Mata Fria","-40.683611","-19.931111",NA,"MBML007639","MBML007639",NA,"40W41'1","19S55'52",NA
"8","2020-07-10 09:48:24-03","MBML","MBML-HERBARIO","13026",NA,"Plantae",NA,NA,"Orchidaceae","Maxillaria","schunkeana","Maxillaria schunkeana",NA,NA,NA,"1995","08","26",NA,"Floresta alta de Mata Atlântica. Frutos verdes mantendo os vínculos florais presos, folhas planas verdes bulbos verde escuro.","A. P. Fontana/12-II-2007","Campacci & Kautsky","C. N. de Fraga; et al","225","Brasil","Espírito Santo","Cariacica","Limite com a Reserva de Duas Bocas","-40.4199981689453","-20.2639007568359","18507","MBML013026","MBML013026","auto",NA,NA,NA
"9","2021-03-03 22:00:02-03","FLAS","FLAS","213072","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Brasiliorchis","schunkeana","Brasiliorchis schunkeana",NA,NA,NA,NA,NA,NA,NA,"[Label note:] DNA voucher. --[Label footing:] Voucher for NSF Grant Systematics of Maxillariinae (Orchidaceae): Generic Delimitation, Pollinator Rewards and Pollination",NA,"(Campacci & Kautsky) R.B.Singer, S.Koehler & Carnevali","Mark Whitten","1992","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Preserved herbarium specimen"
"10","2021-03-03 22:00:02-03","FLAS","FLAS","213073","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Brasiliorchis","schunkeana","Brasiliorchis schunkeana",NA,NA,NA,NA,NA,NA,NA,"[Label note:] DNA voucher. --[Label footing:] Voucher for NSF Grant Systematics of Maxillariinae (Orchidaceae): Generic Delimitation, Pollinator Rewards and Pollination",NA,"(Campacci & Kautsky) R.B.Singer, S.Koehler & Carnevali","Mark Whitten","1992","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Preserved herbarium specimen"
