"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","month","day","stateProvince","county","decimalLongitude","decimalLatitude","typeStatus","minimumElevationInMeters","class","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1016650","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","wacketii","Asplenium wacketii","Rosenst.","L. Sylvestre","Mrs. J. Watson Webb","s.n.","1867","South America","Brazil","Near Rio Janeiro and Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1180920' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016650","NY01016650_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-05-17 10:21:00-03","NY","NYBG","02697533","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","wacketii","Asplenium wacketii",NA,NA,"L. Sylvestre","2259","2012","South America","Brazil","Trilha para Águas Paradas. Represa da CEDAE. Parque Estadual do Desengano","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978204' target='other'> <mi>dwc_moreinfo</mi></a>","NY02697533","NY02697533_01","07","26","Rio de Janeiro","Santa Maria Madalena","-41.915833","-21.925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","674899","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","wacketii","Asplenium wacketii","Rosenst.","A. C. Brade","P. C. Porto","2610","1932","South America","Brazil","Itatiaia - Lote 62.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=815362' target='other'> <mi>dwc_moreinfo</mi></a>","NY00674899","NY00674899_01","06","17","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","149325","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","wacketii","Asplenium wacketii","Rosenst.",NA,"M. Wacket","108","1904","South America","Brazil","Rio Grande","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=703877' target='other'> <mi>dwc_moreinfo</mi></a>","NY00149325","NY00149325_01",NA,NA,"São Paulo",NA,NA,NA,"probable isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01415325","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","wacketii","Asplenium wacketii","Rosenst.","J. Prado; R. Y. Hirai","R. Y. Hirai","639","2009","South America","Brazil","Serra do Japi. Estrada para a torre da TV Cultura, trilha próxima das antenas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2523540' target='other'> <mi>dwc_moreinfo</mi></a>","NY01415325","NY01415325_01","10","16","São Paulo","Jundiai","-46.97","-23.25",NA,"1233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","674897","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","wacketii","Asplenium wacketii","Rosenst.",NA,"A. C. Brade","5241","1912","South America","Brazil","Alto da Serra.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=815358' target='other'> <mi>dwc_moreinfo</mi></a>","NY00674897","NY00674897_01","07",NA,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","674898","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","wacketii","Asplenium wacketii","Rosenst.","A. C. Brade","H. Luederwaldt","s.n.","1912","South America","Brazil","Alto da Serra.","sheet","Ex Herv. do Museu Paulista s/no. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=815360' target='other'> <mi>dwc_moreinfo</mi></a>","NY00674898","NY00674898_01","06",NA,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2017-05-17 10:21:00-03","NY","NYBG","02682989","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","wacketii","Asplenium wacketii",NA,NA,"R. Engelmann","RE1728","2011","South America","Brazil","Jacarandá. Trilha do Alto da Boa Vista. Parque Estadual dos Três Picos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2946851' target='other'> <mi>dwc_moreinfo</mi></a>","NY02682989","NY02682989_01","04","19","Rio de Janeiro","Teresópolis","-42.932778","-22.446389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:43:09-03","NBC","NL-BOTANY","L.3508475","PreservedSpecimen","Plantae",NA,"Polypodiales","Aspleniaceae","Asplenium","wacketii","Asplenium wacketii","Rosenst.",NA,"Wacket L",NA,"1906","Southern America","Brazil","Est. l. Pando, Rio Grande, ad terram in sylvis poim.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3508475 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3508475","NL-L3508475","01","01",NA,NA,NA,NA,NA,NA,"Pteropsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:23:50-03","MN","R","17925","PreservedSpecimen","Plantae",NA,NA,"Aspleniaceae","Asplenium","wacketii","Asplenium wacketii","Rosenst.",NA,"Amélia",NA,"1880",NA,"Brasil",NA,NA,"Herb. Amelia",NA,NA,"03",NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
