"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","2469684","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Graffenrieda","weddellii","Graffenrieda weddellii","Naudin","S. S. Renner","P. F. Foster","589","1995","11","02","South America","Bolivia","Santa Cruz","José Miguel de Velasco","Parque Nacional Noel Kempff Mercado. Campamento Las Gamas. Arroy en bosque de galeria ca. 4 km al SE del campamento.","-60.3889","-14.8106","825","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2686085' target='other'> <mi>dwc_moreinfo</mi></a>","NY02469684","NY02469684_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-12-16 12:03:00-02","NY","NYBG","2469717","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Graffenrieda","weddellii","Graffenrieda weddellii",NA,NA,"R. E. Schultes","14573","1951","11","25","South America","Colombia","Vaupés",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2686119' target='other'> <mi>dwc_moreinfo</mi></a>","NY02469717","NY02469717_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02469682","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Graffenrieda","weddellii","Graffenrieda weddellii","Naudin","J. J. Wurdack","J. Solomon","16996","1987","06","08","South America","Bolivia","La Paz","Abel Iturralde","Siete Cielos, Río Manupare. Ca. 2.5 km al E. Pampa.","-67.62","-12.45","180","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2686083' target='other'> <mi>dwc_moreinfo</mi></a>","NY02469682",NA,"180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1289698","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Graffenrieda","weddellii","Graffenrieda weddellii","Naudin","L. F. G. de Lima","G. T. Prance","29138","1984","02","17","South America","Brazil","Amazonas","Barcelos","Plateau of northern massif of Serra Araca. North part of Northern mountain near peak.","-63.37","0.85","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1759145' target='other'> <mi>dwc_moreinfo</mi></a>","NY01289698","NY01289698_01","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","909930","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Graffenrieda","weddellii","Graffenrieda weddellii","Naudin","J. J. Wurdack","R. M. Harley","11297","1968","12","05","South America","Brazil","Mato Grosso",NA,"Near Expedition Base Camp.","-51.77","-12.82",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982848' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909930","NY00909930_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2469700","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Graffenrieda","weddellii","Graffenrieda weddellii","Naudin","J. J. Wurdack","O. Huber","7557","1983","06","22","South America","Venezuela","Bolívar","Roscio","Alrededores del salto La Milagrosa, aprox. 15 km al SW de S. Ignacio de Yuruaní.","-61.23","4.92","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2686102' target='other'> <mi>dwc_moreinfo</mi></a>","NY02469700","NY02469700_01","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-12-16 12:03:00-02","NY","NYBG","2469708","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Graffenrieda","weddellii","Graffenrieda weddellii",NA,NA,"R. L. Liesner","25487","1988","10","27","South America","Venezuela","Amazonas","Mun. Atabapo","In saddle between Duida and Marahuaca near base of Duida","-65.53","3.57","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2686110' target='other'> <mi>dwc_moreinfo</mi></a>","NY02469708","NY02469708_01","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2469707","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Graffenrieda","weddellii","Graffenrieda weddellii","Naudin","J. J. Wurdack","R. L. Liesner","25358","1988","10","25","South America","Venezuela","Amazonas","Mun. Atabapo","In saddle between Duida and Marahuaca near base of Duida","-65.53","3.57","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2686109' target='other'> <mi>dwc_moreinfo</mi></a>","NY02469707","NY02469707_01","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-12-16 12:03:00-02","NY","NYBG","2469701","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Graffenrieda","weddellii","Graffenrieda weddellii",NA,NA,"G. H. H. Tate","739","1928","04",NA,"South America","Venezuela",NA,NA,"Summit of Mount Duida",NA,NA,"4400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2686103' target='other'> <mi>dwc_moreinfo</mi></a>","NY02469701","NY02469701_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-12-16 12:03:00-02","NY","NYBG","2469720","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Graffenrieda","weddellii","Graffenrieda weddellii",NA,"F. A. Michelangeli; C. Martin","K. M. Redden","2090","2004","02","23","South America","Guyana","Cuyuni-Mazaruni",NA,"Pakaraima Mts., Mazaruni River. W bank at Surwakwima Falls W. of Base Camp 6.","-60.67172","6.08131","472","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2686122' target='other'> <mi>dwc_moreinfo</mi></a>","NY02469720","NY02469720_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
