"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","individualCount","typeStatus"
"1","2021-04-05 14:33:16-03","UNESC","CRI","3749","PreservedSpecimen","Plantae","Asteraceae","Lepidaploa","chamissonis","Lepidaploa chamissonis","(Less.) H.Rob.","Marcos Sobral","V. Boff","47","1995","06","27","Brasil","Santa Catarina","Imbituba","Lot. Rosa Norte.","-48.670556","-28.240556","48º40'14''W","28º14'26''S","38","38","Habitat: morro à beira mar Habito: herbácea","CRI001232","CRI001232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:16-03","UNESC","CRI","8606","PreservedSpecimen","Plantae","Asteraceae","Lepidaploa","chamissonis","Lepidaploa chamissonis","(Less.) H.Rob.","Vanilde C. Zanette","Clair M. Martinello",NA,"2001","04","20","Brasil","Santa Catarina","Criciúma","Mata da SATC e da UNESC.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58",NA,"CRI001334","CRI001334","2001","04","20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:16-03","UNESC","CRI","6113","PreservedSpecimen","Plantae","Asteraceae","Lepidaploa","chamissonis","Lepidaploa chamissonis","(Less.) H.Rob.","Vanilde Citadini- Zanette","Vanilde Citadini Zanette; C. Goularte & S. Galvani","2469","1996","05","08","Brasil","Santa Catarina","Imbituba","Maranata II.","-48.670556","-28.240556","48º40'14''W","28º14'26''S","38","38",NA,"CRI001231","CRI001231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:16-03","UNESC","CRI","4834","PreservedSpecimen","Plantae","Asteraceae","Lepidaploa","chamissonis","Lepidaploa chamissonis","(Less.) H.Rob.","Vanilde Citadini- Zanette","V. Citadini-Zanette; J. C. Caetano","2104","1996","03","02","Brasil","Santa Catarina","Florianópolis","Costão do Santinho.","-48.48","-27.592222","48º28'48''W","27º35'32''S","17","17",NA,"CRI001398","CRI001398",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:16-03","UNESC","CRI","7697","PreservedSpecimen","Plantae","Asteraceae","Lepidaploa","chamissonis","Lepidaploa chamissonis","(Less.) H.Rob.","T. B. Guimarães","T. B. Guimarães; Daniel de Barcelos Falkenberg","554","2005","04","25","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição.","-48.48","-27.592222","48º28'48''W","27º35'32''S","17","17","Habitat: restinga Habito: subarbusto","CRI001397","CRI001397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:24:58-03","UNESC","CRI","14963","PreservedSpecimen","Plantae","Asteraceae","Lepidaploa","chamissonis","Lepidaploa chamissonis","(Less.) H.Rob.","Sobral, M","Verdi, M.; Souza, N.L. de; Klemz, G. & Klettenberg, D.H.","5697","2010","04","30","Brasil","Santa Catarina","Paulo Lopes","Laranjal. Laranjal.","-48.78","-28.08","48º46'48''W","28º4'48''S","126","126","Florística IFFSC 174 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Médio; local aberto Habito: arbustiva; flor creme","CRI014347","CRI014347","2010","08","15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:16-03","UNESC","CRI","4761","PreservedSpecimen","Plantae","Asteraceae","Lepidaploa","chamissonis","Lepidaploa chamissonis","(Less.) H.Rob.","Daniel B. Falkenberg","Robson dos Santos","205","1996","02","17","Brasil","Santa Catarina","Governador Celso Ramos","Lot. Palmar, Praia das Palmas.","-48.559444","-27.315278","48º33'34''W","27º18'55''S","24","24",NA,"CRI001234","CRI001234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:24:58-03","UNESC","CRI","3085","PreservedSpecimen","Plantae","Asteraceae","Lepidaploa","chamissonis","Lepidaploa chamissonis","(Less.) H.Rob.","Daniel de Barcellos Falkenberg","Robson dos Santos; Clair Maria Martinello","46","1994","04","10","Brasil","Santa Catarina","Laguna","Estrada de acesso a Praia da Tereza.","-48.781111","-28.483056","48º46'52''W","28º28'59''S",NA,NA,"Habitat: restinga Habito: arbusto","CRI001233","CRI001233","1995","01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","803225","PreservedSpecimen","Plantae","Asteraceae","Lepidaploa","chamissonis","Lepidaploa chamissonis","(Less.) H.Rob.",NA,"G. G. Hatschbach","29372","1972","03","31","Brazil","Santa Catarina","Laguna","Nar Grosso.","-48.7806","-28.4828",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801302' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803225","NY00803225_01",NA,NA,NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","803226","PreservedSpecimen","Plantae","Asteraceae","Lepidaploa","chamissonis","Lepidaploa chamissonis","(Less.) H.Rob.",NA,"R. Reitz","4581","1952","03","12","Brazil","Santa Catarina",NA,"Morro da Caixa d agua do Itacorubí, Ilha S. Cat.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801304' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803226","NY00803226_01",NA,NA,NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA
