"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","616532","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","rupicola","Myrcia rupicola","D.Legrand","M. Sobral","E. P. dos Santos","355","1997","10","15","South America","Brazil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.97","-25.87","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=303113' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616532","NY00616532_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-10-27 11:22:06-03","PUCPR","HUCP","12410","S","Plantae","Eudicotiledonea",NA,"Myrtaceae","Myrcia","rupicola","Myrcia rupicola","D. Legrand, D.","Dalla Rosa, S","Dalla Rosa, S","062","1999","11","24",NA,"Brasil","Paraná","Morretes","Parque Estadual Pico do Marumbi","-48.834400177002","-25.476900100708",NA,NA,NA,"Nº 40728.","HUCP00015698","HUCP00015698","30514","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:14:57-03","ESALQ","ESA","34070","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","rupicola","Myrcia rupicola",NA,"Sobral, M.","Ferretti, A. et al.","62.0","1996","12","13",NA,"Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,"ESA034070","ESA034070","38855","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:14:57-03","ESALQ","ESA","34050","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","rupicola","Myrcia rupicola","Legrand","Lima, L.","Franciosi, E.R.N. et al.","18.0","1996","12","16",NA,"Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,"ESA034050","ESA034050","38855","auto","2017","10","27",NA,NA,NA,NA,NA
"5","2019-08-27 13:31:34-03","IAP","PACA-AGP","64141","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","rupicola","Myrcia rupicola","D. Legrand","N. Silveira","Hatschbach, G.","4281","1957","12","01",NA,"Brasil","PR","São José dos Pinhais","Colônia Santo Andrade","-49.2064018249512","-25.5347003936768",NA,NA,NA,"4m de altura e flor alva. Habitat: in silvula paludosa, borda de mata higrófila, junto a brejo ácido Hábito: arvoreta","PACA064141",NA,"45291","auto","1985","07",NA,"Magnoliatae",NA,NA,NA,NA
"6","2019-08-27 13:31:34-03","IAP","PACA-AGP","64733","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","rupicola","Myrcia rupicola","D. Legrand","C. D. Legrand","Reitz & Klein","10321","1960","11","04",NA,"Brasil","SC","São Francisco do Sul","Morro do Campo Alegre","-48.6380996704102","-26.2432994842529","1300","1300",NA,"3m de altura e flor branca. Habitat: matinha Hábito: arbusto","PACA064733",NA,"23627","auto","1963",NA,NA,"Magnoliatae",NA,NA,NA,NA
"7","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0056153","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","rupicola","Myrcia rupicola","D.Legrand","M. Sobral (specieslink at FURB)","J. Cordeiro; J. M. Silva","578","1988","11","23",NA,"Brazil","Parana",NA,"Mun. Quatro Barras. Morro Sete.","-49.0833","-25.3667",NA,NA,NA,"Coor from www.fallingrain.com/world; Arsbuto 3 m; flores alvascentes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0056160","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","rupicola","Myrcia rupicola","D.Legrand","M. Sobral (specieslink at MBM)","L. R. Landrum","2297","1977","11","1",NA,"Brazil","Parana",NA,"Mun. Sao Jose dos Pinhais, near Guaricana.","-49","-25.6667",NA,NA,NA,"Tree 3 m high.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0056162","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","rupicola","Myrcia rupicola","D.Legrand","N. Silveira (specieslink at MBM)","J. Cordeiro; G. Hatschbach","385","1986","12","11",NA,"Brazil","Parana",NA,"Mun. Sao Jose dos Pinhais. Col. Santos Andrade.","-49.2167","-25.5167",NA,NA,NA,"Coor from www.fallingrain.com/world; Arbusto, 2 m, botoes alvascentes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0055574","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","rupicola","Myrcia rupicola","D.Legrand","M. Sobral, 1999.","J.M. Silva; O.S. Ribas, J. Cordeiro, E. Barbosa","2766","1998","12","29",NA,"Brazil","Santa Catarina","Campo Alegre","Serra do Quiriri.","-49.2661","-26.1936",NA,NA,NA,"Coor from www.fallingrain.com/world; Arvore, flor alva.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
