"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","yearIdentified","monthIdentified","dayIdentified","year","month","day","individualCount","occurrenceRemarks","class","scientificNameAuthorship","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","recordedBy","recordNumber","continentOcean","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","typeStatus","relatedCatalogItem"
"1","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","3981","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Stanhopea","graveolens","Stanhopea graveolens","2017","03","02","2017","03","02","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2222","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Stanhopea","lietzei","Stanhopea lietzei",NA,NA,NA,NA,NA,NA,NA,"254","Equisetopsida","(Regel) Schltr.","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2124","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Stanhopea","lietzei","Stanhopea lietzei",NA,NA,NA,NA,NA,NA,"1","254","Equisetopsida","(Regel) Schltr.","Brasil","Minas Gerais","Belo Horizonte","Fundação Zoo-Botânica de Belo Horizonte-Estufa Evolutiva do Jardim Botânico","-43.937801361084","-19.9207992553711","17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2223","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Stanhopea","lietzei","Stanhopea lietzei",NA,NA,NA,NA,NA,NA,"1","254","Equisetopsida","(Regel) Schltr.","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","625739","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Stanhopea","graveolens","Stanhopea graveolens",NA,NA,NA,"1916","01","20",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=346854' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Lindl.","Brazil","Paraná",NA,"Marungava",NA,NA,NA,NA,"C. H. Dodson","P. K. H. Dusén","17511","South America","sheet","NY00625739","NY00625739_01",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","625740","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Stanhopea","graveolens","Stanhopea graveolens",NA,NA,NA,"1919","12",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=346853' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Lindl.","Brazil","São Paulo",NA,"Butantan.","-46.724373","-23.565521",NA,NA,"C. H. Dodson","F. C. Hoehne","4168","South America","sheet","NY00625740","NY00625740_01",NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:30:23-03","UNESP-IBB","BOTU","9071","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Stanhopea","lietzei","Stanhopea lietzei",NA,NA,NA,"1973","01","05",NA,NA,NA,"(Regel) Schltr.","Brasil","São Paulo","São Manuel","Pavuna, próximo ao limite do município de Botucatu com São Manuel, pela Rodovia Marechal Rondon",NA,NA,NA,NA,NA,"Amaral Jr., A.","1364",NA,NA,"BOTU009071",NA,"9999","9999",NA,NA,NA,NA,NA
"8","2021-02-18 09:30:23-03","UNESP-IBB","BOTU","9004","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Stanhopea","lietzei","Stanhopea lietzei",NA,NA,NA,"1972","12","23",NA,NA,NA,"(Regel) Schltr.","Brasil","São Paulo","São Manuel","Pavuna, próximo ao limite do município de Botucatu com São Manuel, pela Rodovia Marechal Rondon",NA,NA,NA,NA,NA,"Amaral Jr., A.","1328",NA,NA,"BOTU009004",NA,"9999","9999",NA,NA,NA,NA,NA
"9","2021-02-18 09:30:23-03","UNESP-IBB","BOTU","30837","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Stanhopea","lietzei","Stanhopea lietzei","1973","01","02","1972","09","22",NA,NA,NA,"(Regel) Schltr.","Brasil","São Paulo","Botucatu","Horto",NA,NA,NA,NA,"Amaral Jr., A.","Amaral Jr., A.","1152",NA,NA,"BOTU030837",NA,"9999","9999",NA,NA,NA,NA,NA
"10","2021-02-18 09:30:23-03","UNESP-IBB","BOTU","6583","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Stanhopea","lietzei","Stanhopea lietzei",NA,NA,NA,"1972","08","10",NA,NA,NA,"(Regel) Schltr.","Brasil","São Paulo","Botucatu","Serra de Botucatu, distante 7km da cidade, encosta da serra, próximo à Usina Indiana",NA,NA,NA,NA,NA,"Amaral Jr., A.","946",NA,NA,"BOTU006583",NA,"9999","9999",NA,NA,NA,NA,NA
"11","2021-02-18 09:30:23-03","UNESP-IBB","BOTU","9830","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Stanhopea","lietzei","Stanhopea lietzei",NA,NA,NA,"1972","09","02",NA,NA,NA,"(Regel) Schltr.","Brasil","São Paulo","Botucatu","À margem da Estrada Botucatu - Itatinga,a mais ou menos 5km do aeroporto municipal de Botucatu",NA,NA,NA,NA,NA,"Amaral Jr., A.","2",NA,NA,"BOTU009830",NA,"9999","9999",NA,NA,NA,NA,NA
"12","2019-09-10 21:43:52-03","UNEMAT","TANG","6193","S","Plantae",NA,NA,"Orchidaceae","Stanhopea","lietzei","Stanhopea lietzei","2016","01","01","2016","01","01",NA,NA,NA,"(Regel) Schltr.","Brasil","Paraná","Tibagí","Vale do rio Iapó.","-50.4136009216309","-24.5093994140625","56988","auto","Engels, ME","Engels, ME","4373",NA,NA,"TANG000006193",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-04 15:26:38-03","PUCPR","HUCP","21004","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Stanhopea","lietzei","Stanhopea lietzei",NA,NA,NA,"2008","03","29",NA,NA,NA,"(Regel) Schlecht.","Brasil","Paraná","Pontal do Paraná","Rio Guaraguaçu","-48.511100769043","-25.6735992431641","19508","auto","Lemos, JV","Lemos, JV","072",NA,NA,"HUCP00006672","HUCP00006672",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-31 13:41:19-03","MN","R","35824","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Stanhopea","graveolens","Stanhopea graveolens",NA,NA,NA,"1917","01",NA,NA,NA,NA,"Lindl.","Brasil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,"Sampaio, A.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-20 21:18:47-03","UFV","VIC","013147","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Stanhopea","graveolens","Stanhopea graveolens",NA,NA,NA,"1965","12","20",NA,NA,NA,"Lindl.","Brasil",NA,NA,"Fazenda de São Mateus, Mata rio do peixe.",NA,NA,NA,NA,NA,"Gomes, V.","s.n.",NA,NA,"VIC013147","VIC013147",NA,NA,NA,NA,NA,NA,NA
"16","2016-07-05 11:14:20-03","FFCLRP","LBMBP","264","S","Plantae",NA,NA,"Orchidaceae","Stanhopea","lietzei","Stanhopea lietzei",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Regel) Schltr.","Brasil","São Paulo","Jundiaí",NA,"-46.883333","-23.183333",NA,NA,"E.R. Pansarin","E.R. Pansarin",NA,NA,NA,NA,NA,"46°53'W","23°11'S",NA,NA,NA,NA,NA
