"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","imagecode","class","order","continentOcean","minimumElevationInMeters","individualCount","maximumElevationInMeters","typeStatus","fieldNumber","sex","preparationType"
"1","2021-03-24 17:08:50-03","UFES","SAMES","1096","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","parviflora","Vriesea parviflora","L.B.Sm.","Coser,T.S.","2012","06","12","Ribeiro,M.; Rozario,E.M.;Salgado,M.G.F.;Coelho,R.","558","2011","07","12","Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta alta sobre Tabuleiro, estrada Interna km 4.","-39.7322006225586","-18.5932998657227","-398050000.0","-182625000.0","41644","Epífita, infrutescência verde.","SAMES01096","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-04-27 16:09:08-03","UFES","VIES","26373","S","Plantae","Bromeliaceae","Vriesea","parviflora","Vriesea parviflora","L.B.Sm.","Coser, T.S.","2010","09","28","Coser, T.S.; Zanella, C.M. & Goetze, M.","322","2010","09","28","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi.","-40.6002998352051","-19.9356002807617",NA,NA,"23813",NA,"VIES026373","auto","VIES026373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","15196",NA,"Plantae","Bromeliaceae","Vriesea","parviflora","Vriesea parviflora","L.B.Smith","L. Kollmann/17-06-2008",NA,NA,NA,"L. Kollmann; et al","4637","2001","09","18","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27",NA,"Epífita na sombra. Flores amarelas. Espatas verdes.","MBML015196",NA,"MBML015196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","15782",NA,"Plantae","Bromeliaceae","Vriesea","parviflora","Vriesea parviflora","L.B.Smith","L. Kollmann/17-06-2008",NA,NA,NA,"L. Kollmann; et al","5145","2001","12","06","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27",NA,"Epífita na sombra. Frutos verdes.","MBML015782",NA,"MBML015782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","16048",NA,"Plantae","Bromeliaceae","Vriesea","parviflora","Vriesea parviflora","L.B.Smith","L. Kollmann/17-06-2008",NA,NA,NA,"L. Kollmann; et al","4417","2001","08","29","Brasil","Espírito Santo","Santa Teresa","Rio Saltinho","-40.506944","-19.936111","40W30'25","19S56'10",NA,"Epífita na sombra. Flores verdes.","MBML016048",NA,"MBML016048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","16734",NA,"Plantae","Bromeliaceae","Vriesea","parviflora","Vriesea parviflora","L.B.Smith","L. Kollmann/17-06-2008",NA,NA,NA,"R.R. Vervloet; et al","217","2002","04","30","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27",NA,"Epífita a 15cm do solo, solo arenoso, dossel aproximado com 18m, folhas verde claro, brácteas verde amareladas, frutos verde escuro.","MBML016734",NA,"MBML016734",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","17396",NA,"Plantae","Bromeliaceae","Vriesea","parviflora","Vriesea parviflora","L.B.Smith","L. Kollmann/17-06-2008",NA,NA,NA,"R.R. Vervloet; et al","751","2002","08","27","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27",NA,"Epífita, a 1m do solo, clareira aberta em dossel de 25m, fundo de vale, flores com sépalas verdes e pétalas e estames de cor amarela, beira de córrego, altitude 800m, planta de cor verde claro.","MBML017396",NA,"MBML017396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","25357",NA,"Plantae","Bromeliaceae","Vriesea","parviflora","Vriesea parviflora","L.B.Smith","L. Kollmann/17-06-2008",NA,NA,NA,"L. Kollmann; et al","8150","2005","07","22","Brasil","Espírito Santo","Santa Teresa","Santo Henrique","-40.553889","-19.836389","40W33'14","19S50'11",NA,"Epífita na meia sombra, frutos verdes.","MBML025357",NA,"MBML025357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","25524",NA,"Plantae","Bromeliaceae","Vriesea","parviflora","Vriesea parviflora","L.B.Smith","L. Kollmann/17-06-2008",NA,NA,NA,"L. Kollmann; et al","8812","2006","03","24","Brasil","Espírito Santo","Santa Teresa","Santo Anselmo","-40.573056","-19.836944","40W34'23","19S50'13",NA,"Epífita na sombra. Frutos secos.","MBML025524",NA,"MBML025524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","25889",NA,"Plantae","Bromeliaceae","Vriesea","parviflora","Vriesea parviflora","L.B.Smith","L. Kollmann/17-06-2008",NA,NA,NA,"L. Kollmann; et al","8396","2005","10","26","Brasil","Espírito Santo","Santa Teresa","Santo Antônio","-40.589167","-19.922222","40W35'21","19S55'20",NA,"Epífita na sombra. Frutos verdes.","MBML025889",NA,"MBML025889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","28067",NA,"Plantae","Bromeliaceae","Vriesea","parviflora","Vriesea parviflora","L.B.Smith",NA,NA,NA,NA,"L. Kollmann","9282","2006","08","31","Brasil","Espírito Santo","Santa Teresa","Santo Henrique","-40.553889","-19.836389","40W33'14","19S50'11",NA,"Epífita na sombra. Folhas ligeiramente vináceas, face abaxial, bainha foliar branca amarronzada. Brácteas escapais verde de base ligeiramente vináceos, brácteas florais verde e sépalas verdes e pétalas amarelas, flores noturnas.","MBML028067",NA,"MBML028067",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","914",NA,"Plantae","Bromeliaceae","Vriesea","parviflora","Vriesea parviflora","L.B.Smith","L. Kollmann/17-06-2008",NA,NA,NA,"J. A. R. Bittencourt","113","1976","07","14","Brasil","Espírito Santo","Santa Teresa","Nova Lombardia","-40.510556","-19.823611","40W30'38","19S49'25",NA,"Coll. J.ARB W.E.","MBML000914",NA,"MBML000914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","2959453","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","parviflora","Vriesea parviflora","L.B. Sm.",NA,NA,NA,NA,"G. Martinelli, R. Kautsky & E. Leme","8085","1982","5","5","Brazil","Espírito Santo","Alfredo Chaves","Vila de São Bento de Urânia, Faz. do Zachini","-40.749698638916","-20.6350002288818",NA,NA,"32447",NA,"US01914020","auto","US01914020_01","Monocotyledonae","Bromeliales","South America - Neotropics","1000","1",NA,NA,NA,NA,NA
"14","2019-11-21 10:02:54-03","IBt","SP","401903","S","Plantae","Bromeliaceae","Vriesea","parviflora","Vriesea parviflora","L.B.Sm.","Versieux, LM","2008",NA,NA,"Chamas, CC; Santos, RR","IFO-367/94","1995","01","16","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia, Valsugana Velha. Trilha Timbuí.","-40.6002998352051","-19.9356002807617",NA,NA,"23813",NA,"SP053475","auto","SP053475",NA,NA,NA,"500",NA,"950",NA,NA,NA,NA
"15","2010-08-16 16:43:19-03","GH","HU-HERB","GH 00029520","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","parviflora","Vriesea parviflora","L. B. Smith",NA,NA,NA,NA,"M. B. Foster & R. Foster","839","1940","8","7","Brazil","Espirito Santo",NA,"Santa Teresa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,"Type","839","undetermined","Sheet"
