"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","phylum","order","continentOcean","individualCount"
"1","2020-11-13 09:18:46-03","UFRJ","RFA","10005","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","G.G. Hatschbach","1970","G.G. Hatschbach; O. Guimarães","19877","1968","09","27","Brasil","Paraná","Guarapuava","Guara","-51.4580993652344","-25.395299911499","53832","Arbusto 1, 3 m de altura. Flor creme","RFA28630","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-10-14 09:58:07-03","FURB","FURB","10846","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Farias, D.M.","2018","Stival-Santos, A.; Uller, H.F. & Silveira, S.","262","2008","12","12","Brasil","Santa Catarina","Anita Garibaldi","Pinheirinho.","-51.0286111","-27.7175",NA,"Florística IFFSC 261(Arbusto) Habitat: Floresta Ombrófila Mista; Habito: arvoreta;","FURB00465",NA,"04","12","-51.0286111","-27.7175000","820","820","FURB00465",NA,NA,NA,NA
"3","2020-10-14 09:58:07-03","FURB","FURB","47960","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Farias, D.M.","2018","Motta, J.T.; Silva, J.M.","4473","2014","09","23","Brasil","Paraná","Coronel Domingos Soares",NA,"-52.0077778","-26.3011111",NA,NA,"FURB47960",NA,"04","12","-52.0077778","-26.3011111","1105","1105","FURB47960",NA,NA,NA,NA
"4","2020-10-14 09:58:07-03","FURB","FURB","6997","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Farias, D.M.","2018","Liebsch, D.","1116","2006","08","07","Brasil","Espírito Santo","Venda Nova do Imigrante","Fazenda Marrecas.","-41.1347007751465","-20.3397006988525","15909",NA,"FURB14330","auto","04","12",NA,NA,NA,NA,"FURB14330",NA,NA,NA,NA
"5","2020-10-14 09:58:07-03","FURB","FURB","40851","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Farias, D.M.","2018","Cervi, A.C.; et al.","9032","2009","09","15","Brasil","Paraná","General Carneiro","Fazenda Pizzatto.","-51.315601348877","-26.4274997711182","33284",NA,"FURB14326","auto","04","12",NA,NA,NA,NA,"FURB14326",NA,NA,NA,NA
"6","2021-03-16 17:54:58-03","UCS","HUCS","03080","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Smith, S.F.","1987","Bordin, J.","s.n.","1987","07","26","Brasil","Rio Grande do Sul","Caxias do Sul","Conceição","-51.1794013977051","-29.1681003570557","49662","beira da mata",NA,"auto","08",NA,NA,NA,NA,NA,NA,"Angiospermae","Sapindales",NA,NA
"7","2020-04-27 16:08:29-03","UFES","VIES","25237","S","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","D.M. Farias","2018","Motta, J.T.; Silva, J.M.","4473","2014","09","23","Brasil","Paraná","Coronel Domingos Soares","Fazenda São Geraldo.","-52.007778","-26.301111",NA,NA,"VIES025237",NA,"04","12","52º0'28''W","26º18'4''S","1105","1105","VIES025237",NA,NA,NA,NA
"8","2020-12-21 16:11:42-03","MBM","MBM","299400","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, C.L.","2018","Liebsch, D.","s.n.","2003","11","12","Brazil","Paraná","Bituruna","Fazenda Lageado Grande","-51.36","-26.25",NA,"Árvore, frutos escuros.; Floresta Ombrófila Mista, na capoeira.","MBM299400",NA,"02","15","-51.36","-26.25","987","987","MBM299400",NA,NA,"Southern America",NA
"9","2020-12-21 16:11:42-03","MBM","MBM","28027","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, C.L.","2018","Hatschbach, G.","30732","1972","11","19","Brazil","Paraná","Palmas","Morro da Baliza","-51.9906005859375","-26.4841995239258","46666","Arbusto 2m, fruto vermelho.; Orla de capão.","MBM028027","auto","02","15",NA,NA,NA,NA,"MBM028027",NA,NA,"Southern America",NA
"10","2020-12-21 16:11:42-03","MBM","MBM","15684","PreservedSpecimen","Plantae","Anacardiaceae","Schinus","spinosa","Schinus spinosa","Engl.","Silva-Luz, C.L.","2018","Hatschbach, G.; Guimarães, O.; Guimarães, O.","19877","1968","09","27","Brazil","Paraná","Guarapuava","Guará","-51.4580993652344","-25.395299911499","53832","Arbusto1,30m, flor creme.; Matinha nebular.","MBM015684","auto","02","15",NA,NA,NA,NA,"MBM015684",NA,NA,"Southern America",NA
