"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","barcode","geoFlag","locality","phylum","class","order","dayIdentified","occurrenceRemarks","continentOcean","verbatimLongitude","verbatimLatitude","typeStatus"
"1","2021-01-14 15:25:52-03","MN","R","48883","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","rigida","Dyckia rigida","Strehl","Smith, L.B.","1951","09","Reitz, R.M.","1369","1944","12","25","Brasil","Santa Catarina","Araranguá","-49.4858016967773","-28.934700012207","19353","50","50","R010005716","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:25:52-03","MN","R","46493","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","rigida","Dyckia rigida","Strehl",NA,NA,NA,"Eugênio, J.","128","1942","02",NA,"Brasil","Rio Grande do Sul","Sapucaia do Sul","-51.1483001708984","-29.8246994018555","7291",NA,NA,"R010005715,R010059331","auto","Morro da Sapucaia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:25:16-03","IAP","PACA-AGP","37242","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","rigida","Dyckia rigida","Strehl","Büneker, H.M.","2018","06","Emrich, K.",NA,"1947","12","13","Brasil","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946",NA,NA,"PACA037242","auto","Chac. Freiersleben","Magnoliophyta","Liliatae","Bromeliales","08","Habitat: ad rupes apricas Fenofase: flor",NA,NA,NA,NA
"4","2019-08-27 13:25:16-03","IAP","PACA-AGP","92411","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","rigida","Dyckia rigida","Strehl","Büneker, H.M.","2018","06","Mauhs, J.",NA,"1993","01","14","Brasil","RS","Rolante","-50.5758018493652","-29.6506004333496","18269",NA,NA,"PACA092411","auto","Junto á estrada","Magnoliophyta","Liliatae","Bromeliales","08","Influrescencia de até 2 metros, flores amarelas, folhas de + ou - 40 cm dispostas em roseta. HASU 2422. Habitat: No campo. Hábito: terrícola",NA,NA,NA,NA
"5","2019-03-29 10:41:16-03","UFSM","HDCF","6571","S","Plantae","Bromeliaceae","Dyckia","rigida","Dyckia rigida","Strehl","Büneker, H. M.","2014","05","Leme, E.",NA,"2014",NA,NA,"Brasil","Rio Grande do Sul","Riozinho","-50.4524993896484","-29.6410999298096","18583",NA,NA,NA,"auto",NA,NA,NA,NA,"16","Planta cultivada na coleção de Elton Leme em Teresópolis (RJ)","América",NA,NA,NA
"6","2021-02-08 12:50:44-03","UFRGS","ICN","188806","S","Plantae","Bromeliaceae","Dyckia","aff. rigida","Dyckia aff. rigida","Strehl","Büneker, HM","2015","10","Fagundes, NF","1","2008","02","14","Brasil","RS","Dom Pedro de Alcântara","-49.8497009277344","-29.3694000244141","7549",NA,NA,"ICN00030041","auto","Morro Nossa Senhora de Lourdes","Monocotyledon",NA,NA,"22","Material: folhas da base, do meio e do ápice da roseta, com 75 cm, 70 cm e 40 cm de comprimento, respectivamente. Inflorescência com frutos secos e deiscentes.; Planta rupícola que pode alcançar até 2,5 m de altura devido às inflorescên","América do Sul",NA,NA,NA
"7","2021-02-08 12:50:44-03","UFRGS","ICN","086853","S","Plantae","Bromeliaceae","Dyckia","aff. rigida","Dyckia aff. rigida","Strehl","Büneker, HM","2015","10","Fernandes, I","286","1987","03","19","Brasil","RS","Sapucaia do Sul","-51.1483001708984","-29.8246994018555","7291",NA,NA,"ICN00030043","auto","Morro Sapucaia","Monocotyledon",NA,NA,"22","Espécie ameaçada de extinção (Vulnerável).; Sobre rocha, no topo do morro.","América do Sul",NA,NA,NA
"8","2021-02-08 12:50:44-03","UFRGS","ICN","086852","S","Plantae","Bromeliaceae","Dyckia","aff. rigida","Dyckia aff. rigida","Strehl","Büneker, HM","2015","10","Fernandes, I","285","1987","03","19","Brasil","RS","Sapucaia do Sul","-51.1483001708984","-29.8246994018555","7291",NA,NA,"ICN00030042","auto","Morro Sapucaia","Monocotyledon",NA,NA,"22","Espécie ameaçada de extinção (Vulnerável).; Sobre rocha, no topo do morro.","América do Sul",NA,NA,NA
"9","2021-02-08 12:50:44-03","UFRGS","ICN","188084","S","Plantae","Bromeliaceae","Dyckia","rigida","Dyckia rigida","Strehl",NA,NA,NA,"Breitsameter, CJ; Büneker, H; Troleis, J","s.n.","2015","12","06","Brasil","RS","Riozinho","-50.474167","-29.590556",NA,NA,NA,"ICN00030040",NA,"Cascata Chuvisqueiro","Monocotyledon",NA,NA,NA,"Material testemunho; folhas com mais de 1,5m de comprimento de lâmina foliar; saxicola","América do Sul","-50.474167","-29.590556",NA
"10","2021-02-08 12:50:44-03","UFRGS","ICN","197644","S","Plantae","Bromeliaceae","Dyckia","rigida","Dyckia rigida","Strehl","Büneker, HM","2019","06","Melo, EA; Waechter, JL","EAM41","2017","12","17","Brasil","RS","Dom Pedro de Alcântara","-49.848333","-29.406667",NA,NA,NA,"ICN00032636",NA,NA,"Monocotyledon",NA,NA,"12","Material testemunho; Erva rupícola; Afloramento arenítico","América do Sul","-49.848333","-29.406667",NA
