"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","typeStatus","class","relatedCatalogItem","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","infraspecificEpithet","sex"
"1","2021-04-05 14:25:24-03","UNESC","CRI","12799","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","Renato Colares","2017","11","07","Renato Colares; Jader Lima Pereira","2017","10","28","Brasil","Santa Catarina","Criciúma","Área de APP.","-49.400833","-28.707222","49º24'3''W","28º42'26''S","Habito: Arbusto","CRI011063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:35-03","UNESC","CRI","8460","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","Vanilde Citadini-Zanette","2009",NA,NA,"Régis Cardoso da Silva","2009",NA,NA,"Brasil","Rio Grande do Sul","Torres",NA,"-49.793056","-29.356667","49º47'35''W","29º21'24''S",NA,"CRI003438","CRI003438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:24-03","UNESC","CRI","9655","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","M. Verdi","2009","09","24","M. Verdi; D. H. Klettenberg & G. Klemz","2009","09","24","Brasil","Santa Catarina","Jacinto Machado","Tenente.","-49.86","-29.07","49º51'36''W","29º4'12''S","Floresta Ombrófila Densa Habito: arbórea","CRI003454","CRI003454","2654","80","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:24-03","UNESC","CRI","12636","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","Renato Colares & Aline V. Guislon","2017","09","18","Alexandre Medeiros","2017","07","22","Brasil","Santa Catarina","Balneário Camboriú","Praia do Estaleiro","-48.585","-27.023333","48º35'6''W","27º1'24''S","Fruto verde. Coleta 497.","CRI010850","CRI010850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:35-03","UNESC","CRI","8425","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","Vanilde Citadini- Zanette",NA,NA,NA,"Mainara F. Cascaes","2008","02","14","Brasil","Santa Catarina","Maracajá","Parque Ecológico Municipal de Maracajá.","-49.453056","-28.847222","49º27'11''W","28º50'50''S",NA,"CRI003523","CRI003523",NA,"30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:24-03","UNESC","CRI","9536","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","M. Verdi","2010","10","13","M. Verdi; N.L. de Souza, G. Klemz & D.H. Klettenberg","2010","04","15","Brasil","Santa Catarina","São Martinho","Hoepers/Vargem do Cedro/ Parque Estadual da Serra do Tabuleiro.","-48.979444","-28.164722","48º58'46''W","28º9'53''S","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arvoreta","CRI003439","CRI003439","5039","517","517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:35-03","UNESC","CRI","842","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","Paulo Brack",NA,NA,NA,"Paulo Brack","1991","10","24","Brasil","Santa Catarina","Maracajá","Mata da BR 101.","-49.453056","-28.847222","49º27'11''W","28º50'50''S",NA,"CRI003443","CRI003443",NA,"12","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:24-03","UNESC","CRI","3517","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","Marcos Sobral",NA,NA,NA,"Robson dos Santos; Clair Maria Martinello","1994","06","07","Brasil",NA,"Brasil","Proximidades da Escola Técnico Federal Agrícola.","-49.7","-29.133333","49º42'W","29º8'S",NA,"CRI003446","CRI003446","81","30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:35-03","UNESC","CRI","12030","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","Guilherme Lodetti",NA,NA,NA,"Guilherme Alves Elias; Guilherme Lodetti; Robson dos Santos & Peterson Teodoro Padilha","2016","07","28","Brasil","Santa Catarina","Grão Pará",NA,"-49.392222","-28.156389","49º23'32''W","28º9'23''S","Habito: Arbóreo","CRI010208","CRI010208",NA,"450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:24-03","UNESC","CRI","13007","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","Seubert, RC","2014","09","17","Seubert, R.C.; Sampaio, D.K.; Hofschneider, E.; Rezini, J.A. & Gebien, W.","2014","09","17","Brasil","Santa Catarina","Indaial","Faxinal do Bepe - Parque Nacional da Serra do Itajaí. Faxinal do Bepe - Parque Nacional da Serra do Itajaí.","-49.194444","-27.105556","49º11'40''W","27º6'20''S","Projeto Restaurar Habitat: Floresta Ombrófila Densa Montana; encosta Habito: arbórea;","CRI011668",NA,"14","719","719",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
