"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","2099700","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Malachra","radiata","Malachra radiata","(L.) L.","S. R. Hill","12896","1983","06","28","South America","Brazil","Amazonas","Canumã, E side of Rio Canumã.","-59.666667","-4.333333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2243957' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099700","NY02099700_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2099698","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Malachra","radiata","Malachra radiata","(L.) L.","S. R. Hill","13124","1983","07","18","South America","Brazil","Amazonas","Rio Urupadí at mouth of igarape Quininha, São Raimundo","-57.58","-3.67","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2243956' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099698","NY02099698_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2099755","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Malachra","radiata","Malachra radiata","(L.) L.","M. G. da Silva","912","1967","04","18","South America","Brazil","Amazonas","Arredores de Manaus, lago Puraquequara",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2243964' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099755","NY02099755_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2099754","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Malachra","radiata","Malachra radiata","(L.) L.","B. A. Krukoff","1231","1931","09",NA,"South America","Brazil","Pará","Fordlandia, Tapajós River region","-55.4091999","-3.6703539","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2243963' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099754","NY02099754_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00942312","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Malachra","radiata","Malachra radiata","(L.) L.","C. de Almeida","1234","1983","03","05","South America","Brazil","Mato Grosso do Sul","Baia de Tamengo.","-57.6531","-19.0094","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031827' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942312","NY00942312_01","P. A. Fryxell","Corumbá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02099751","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Malachra","radiata","Malachra radiata","(L.) L.","B. V. Rabelo","411","1980","04","28","South America","Brazil","Amapá","Bom Nome, Igarapé Mangueiro.","-50.793098449707","2.0533299446106","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2243960' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099751","NY02099751_01",NA,"Amapá","134143","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2099756","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Malachra","radiata","Malachra radiata","(L.) L.","B. V. Rabelo","1259","1981","04","30","South America","Brazil","Amapá","Braço do Rio Macacoari.","-51.0663986206055","-0.366667002439499","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2243965' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099756","NY02099756_01",NA,"Macapá","225229","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2099757","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Malachra","radiata","Malachra radiata","(L.) L.","A. Krapovickas","37114","1981","01","09","South America","Brazil","Amazonas",NA,"-60.0250015258789","-3.10193991661072","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2243966' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099757","NY02099757_01",NA,"Manaus","138090","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2099752","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Malachra","radiata","Malachra radiata","(L.) L.","S. A. Mori","22388","1992","06","17","South America","Brazil","Amazonas","Rio Solimões. Lago Grande de Manacapuru, east end","-61.4980316","-3.0819802","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2243961' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099752","NY02099752_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2099699","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Malachra","radiata","Malachra radiata","(L.) L.","S. R. Hill","13188","1983","07","29","South America","Brazil","Amazonas","Near mouth of rio Maués-Mirim","-57.68","-3.32","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2243959' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099699","NY02099699_01",NA,"Maués",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
