"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","428342","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","bahiensis","Licania bahiensis","Prance","isotype","H. P. Velloso","736","1944","03","21","South America","Brazil","Bahia","Ilhéus","Repartimento (Fortuna)","-39.0492","-14.7892","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=168059' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428342","NY00428342_01",NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","378410","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","bahiensis","Licania bahiensis","Prance",NA,"R. S. Pinheiro","2078","1973","04","02","South America","Brazil","Bahia","Guaratinga","Km 25 da rod Guaratinga/Sao Paulinho","-39.78","-16.58","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=116281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378410","NY00378410_01","G. T. Prance",NA,NA,NA
"3","2021-03-04 11:04:49-03","UFRB","HURB","13883","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","bahiensis","Licania bahiensis","Prance",NA,"Victor Jr., V.","280","2013","01","18",NA,"Brasil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi","-39.3736000061035","-14.1641998291016",NA,NA,"HURB000013883",NA,NA,"33549","auto",NA
"4","2021-03-04 11:04:49-03","UFRB","HURB","13884","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","bahiensis","Licania bahiensis","Prance",NA,"Victor Jr., V.","992","2013","01","11",NA,"Brasil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi","-39.3736000061035","-14.1641998291016",NA,NA,"HURB000013884",NA,NA,"33549","auto",NA
"5","2020-07-23 12:02:54-03","CEPLAC","CEPEC","9175","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","bahiensis","Licania bahiensis",NA,NA,"R. S. Pinheiro","2078","2000","04","02",NA,"Brasil","Bahia","GUARATINGA","Km 25 Rod. p/ S. Paulinho.","-39.7827987670898","-16.5839004516602",NA,NA,NA,NA,"G. T. Prance","55290","auto","30/01/1979"
"6","2021-02-23 13:22:02-03","MN","R-TIPOS","41365d","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","bahiensis","Licania bahiensis","Prance","Isotypus","Velloso, H.P.","736","1944","03","21",NA,"Brasil","Bahia","Ilhéus","Repartimento","-39.0494003295898","-14.7889003753662",NA,NA,"R000041365d","R000041365d_001",NA,"61245","auto",NA
"7","2021-02-23 13:22:02-03","MN","R-TIPOS","41365a","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","bahiensis","Licania bahiensis","Prance","Isotypus","Velloso, H.P.","736","1944","03","21",NA,"Brasil","Bahia","Ilhéus","Repartimento","-39.0494003295898","-14.7889003753662",NA,NA,"R000041365a","R000041365a_001",NA,"61245","auto",NA
"8","2021-02-23 13:22:02-03","MN","R-TIPOS","41365","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","bahiensis","Licania bahiensis","Prance","Holotypus","Velloso, H.P.","736","1944","03","21",NA,"Brasil","Bahia","Ilhéus","Repartimento","-39.0494003295898","-14.7889003753662",NA,NA,"R000041365","R000041365_001",NA,"61245","auto",NA
"9","2021-02-23 13:22:02-03","MN","R-TIPOS","41365b","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","bahiensis","Licania bahiensis","Prance","Isotypus","Velloso, H.P.","736","1944","03","21",NA,"Brasil","Bahia","Ilhéus","Repartimento","-39.0494003295898","-14.7889003753662",NA,NA,"R000041365b","R000041365b_001",NA,"61245","auto",NA
"10","2021-02-23 13:22:02-03","MN","R-TIPOS","41365c","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","bahiensis","Licania bahiensis","Prance","Isotypus","Velloso, H.P.","736","1944","03","21",NA,"Brasil","Bahia","Ilhéus","Repartimento","-39.0494003295898","-14.7889003753662",NA,NA,"R000041365c","R000041365c_001",NA,"61245","auto",NA
