"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","relatedCatalogItem","geoFlag","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","typeStatus","barcode","imagecode"
"1","2020-07-23 12:24:44-03","CEPLAC","CEPEC","38050","PreservedSpecimen","Plantae","Xyridaceae","Xyris","fibrosa","Xyris fibrosa","M. das G. L. Wanderley","R. Kral","72819","1985","07","19","Brasil","Bahia","palmeiras","Serra da Larguinha, a E de Capão e ca. 20Km S de Palmeiras.","-41.5588989257812","-12.5289001464844","20767","04/12/2007","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 10:19:58-03","IBt","SP","203873","S","Plantae","Xyridaceae","Xyris","fibrosa","Xyris fibrosa",NA,"Wanderley, MGL; Kral, R; Cerati, TM","934","1985","07","19","Brasil","Bahia",NA,"Serra da Larguinha, entre as cidades de Palmeira e Capão",NA,NA,NA,NA,NA,"Kral & Wand.","1300","1300",NA,NA,NA,NA,NA,NA
"3","2019-11-21 10:19:58-03","IBt","SP","204517","S","Plantae","Xyridaceae","Xyris","fibrosa","Xyris fibrosa","Wanderley, MGL","Kral, R; Wanderley, MGL; Cerati, TM; Lima, E","72819","1985","07","19","Brasil","Bahia","Palmeiras","Serra da Larguinha","-41.5588989257812","-12.5289001464844","20767",NA,"auto","Kral & Wand.",NA,NA,"2012","02","08","Holotype","SP003699","SP003699"
