"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","imagecode","scientificNameAuthorship","year","month","stateProvince","locality","decimalLongitude","decimalLatitude","infraspecificEpithet","day","minimumElevationInMeters","maximumElevationInMeters","county","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:36:11-03","E","E","259685","PreservedSpecimen","Plantae","Apocynaceae","Echites","bangii","Echites bangii","isolectotype","Bang, Miguel","2053","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:272967","<a href=http://data.rbge.org.uk/herb/E00259685 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:12-03","E","E","209054","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","acutifolia","Prestonia acutifolia",NA,"Fiebrig, K.","4601","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:220120","<a href=http://data.rbge.org.uk/herb/E00209054 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00209054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 12:20:00-03","NY","NYBG","1843068","PreservedSpecimen","Plantae","Apocynaceae","Echites","bangii","Echites bangii","type","M. Bang","2053","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2162036' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843068","Magnoliophyta","Gentianales","NY01843068_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","298090","PreservedSpecimen","Plantae","Apocynaceae","Haemadictyon","acutifolium","Haemadictyon acutifolium","isotype","R. Spruce","1002","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=156292' target='other'> <mi>dwc_moreinfo</mi></a>","NY00298090","Magnoliophyta","Gentianales","NY00298090_01","Benth. ex Müll.Arg.","1850","12","Amazonas","In vicinibus Barra [Manaus], Prov. Rio Negro","-59.9953079","-3.0673242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2017-02-01 13:33:00-02","NY","NYBG","1104855","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","acutifolia","Prestonia acutifolia latissima","syntype","G. Tessmann","4816","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1296722' target='other'> <mi>dwc_moreinfo</mi></a>","NY01104855","Magnoliophyta","Gentianales","NY01104855_01","Markgr.",NA,NA,NA,"East Peru",NA,NA,"latissima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4201894","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","acutifolia","Prestonia acutifolia",NA,"B. Øllgaard","35037","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526427' target='other'> <mi>dwc_moreinfo</mi></a>","NY04201894","Magnoliophyta","Gentianales",NA,"(Benth. ex Müll.Arg.) K.Schum.","1980","07","Pastaza","Río Ishpingo, trubutary of Río Pastaza","-76.7639","-2.4256",NA,"22","285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4201864","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","acutifolia","Prestonia acutifolia",NA,"L. Aristeguieta","6432","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526397' target='other'> <mi>dwc_moreinfo</mi></a>","NY04201864","Magnoliophyta","Gentianales",NA,"(Benth. ex Müll.Arg.) K.Schum.","1966","09","Guárico","Altagracia de Orituco - Tuguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4201874","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","acutifolia","Prestonia acutifolia",NA,"Y. E. J. Mexia","6370","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526407' target='other'> <mi>dwc_moreinfo</mi></a>","NY04201874","Magnoliophyta","Gentianales",NA,"(Benth. ex Müll.Arg.) K.Schum.","1932","01","Loreto","Above Pongo de Manseriche. Left bank of Rio Santiago; overflow bank",NA,NA,NA,"03","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4201859","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","acutifolia","Prestonia acutifolia",NA,"B. Maguire","36101","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526392' target='other'> <mi>dwc_moreinfo</mi></a>","NY04201859","Magnoliophyta","Gentianales",NA,"(Benth. ex Müll.Arg.) K.Schum.","1953","11","Amazonas","Great Rapids of the Orinoco, near Palomal, near river 15 km. south of Pto. Ayacucho.",NA,NA,NA,"09","100","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4201895","PreservedSpecimen","Plantae","Apocynaceae","Prestonia","acutifolia","Prestonia acutifolia",NA,"B. M. Boom","6284","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4526428' target='other'> <mi>dwc_moreinfo</mi></a>","NY04201895","Magnoliophyta","Gentianales",NA,"(Benth. ex Müll.Arg.) K.Schum.","1985","10","Bolívar","vicinity of Panare village of Corozal, 6 km from Maniapure toward Caicara","-66.5","6.92",NA,"07","90","400","Cedeño",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
