"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","00907573","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","klotzschiana","Eugenia klotzschiana","O.Berg","G. M. Barroso","L. Kuhlmann","3820","1944","09","South America","Brazil","Minas Gerais","Lafaiete","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986717' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907573","NY00907573_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00907386","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","klotzschiana","Eugenia klotzschiana","O.Berg","F. F. Mazine","S. Tsugaru","B-161","1987","07","South America","Brazil","Goiás","Near Caldas Novas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985468' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907386","NY00907386_01","11","Caldas Novas","-48.6247","-17.7419","730","730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-10-19 09:56:00-02","NY","NYBG","579969","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","klotzschiana","Eugenia klotzschiana",NA,"L. R. Landrum","E. Hassler","11358","1912",NA,"South America","Paraguay",NA,"In altaplanitie <Serra de Amambay>.","sheet","Lect. mens. Sept. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=449623' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00907574","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","klotzschiana","Eugenia klotzschiana","O.Berg",NA,"J. A. Ratter","R3984","1976","11","South America","Brazil","Distrito Federal","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km SSW of Brasília TV tower","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907574","NY00907574_01","24","Brasília","-47.93495","-15.952",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00907571","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","klotzschiana","Eugenia klotzschiana","O.Berg","B. K. Holst","H. S. Irwin","10807","1965","11","South America","Brazil","Goiás","Serra dos Pirineus, ca. 15 km S. of Corumbá de Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986710' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907571","NY00907571_01","30","Abadiânia","-48.8086","-16.05915","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","579970","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","klotzschiana","Eugenia klotzschiana","O.Berg","B. K. Holst","H. S. Irwin","9985","1965","11","South America","Brazil","Goiás","25 km. W. of Cristalina. Serra dos Cristais.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=449624' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579970","NY00579970_01","06","Cristalina","-48","-17","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00907596","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","klotzschiana","Eugenia klotzschiana","O.Berg","B. K. Holst","E. P. Heringer","13937","1974","09","South America","Brazil","Distrito Federal","Parque Nacional de Brasília","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986722' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907596","NY00907596_01","05","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00907572","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","klotzschiana","Eugenia klotzschiana","O.Berg","B. K. Holst","H. S. Irwin","10807","1965","11","South America","Brazil","Goiás","Serra dos Pirineus, ca. 15 km S. of Corumbá de Goiás","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907572","NY00907572_01","30","Abadiânia","-48.8086","-16.05915","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","579968","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","klotzschiana","Eugenia klotzschiana","O.Berg","B. K. Holst","E. Giannotti","12317","1980","09","South America","Brazil","São Paulo","Est. experimental de [de Itirapina?]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=449622' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579968","NY00579968_01","03","Itirapina","-47.8197","-22.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","579967","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","klotzschiana","Eugenia klotzschiana","O.Berg","M. Sobral","G. G. Hatschbach","44184","1981","10","South America","Brazil","Bahia","Rod. BR-242, 15 km O de Seabra.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=449621' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579967","NY00579967_01","12","Seabra","-41.7703","-12.4186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
