"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","county","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","sex"
"1","2020-09-23 10:35:42-03","E","E","104449","PreservedSpecimen","Plantae","Acanthaceae","Justicia","ramulosa","Justicia ramulosa","isotype","Steinbach, José","7137","1925","06","24","W. Tropical South America","BO","Departamento Santa Cruz","Buenavista","450","450","herbarium specimen of unspecif","BGBASE:113697","<a href=http://data.rbge.org.uk/herb/E00104449 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:35:42-03","E","E","346891","PreservedSpecimen","Plantae","Acanthaceae","Justicia","ramulosa","Justicia ramulosa","isotype","Steinbach, José",NA,"1925","06","25","W. Tropical South America","BO","Sara","Bosque de Buenavista","450","450","herbarium specimen of unspecif","BGBASE:442758","<a href=http://data.rbge.org.uk/herb/E00346891 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00346891","Santa Cruz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:35:42-03","E","E","104448","PreservedSpecimen","Plantae","Acanthaceae","Justicia","ramulosa","Justicia ramulosa","isotype","Bang, Miguel","1215","1905","03","05","W. Tropical South America","BO","Departamento Cochabamba",NA,NA,NA,"herbarium specimen of unspecif","BGBASE:113763","<a href=http://data.rbge.org.uk/herb/E00104448 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:35:42-03","E","E","104468","PreservedSpecimen","Plantae","Acanthaceae","Justicia","ramulosa","Justicia ramulosa",NA,"Hassler, E.","11701","1905","03","27","W. Tropical South America","PY",NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:113693","<a href=http://data.rbge.org.uk/herb/E00104468 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:35:42-03","E","E","104467","PreservedSpecimen","Plantae","Acanthaceae","Justicia","ramulosa","Justicia ramulosa","isotype","Morong, Thomas (Rev.)","706","1905","03","02","W. Tropical South America","PY",NA,"Central Paraguay",NA,NA,"herbarium specimen of unspecif","BGBASE:113696","<a href=http://data.rbge.org.uk/herb/E00104467 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","311808","PreservedSpecimen","Plantae","Acanthaceae","Beloperone","ramulosa","Beloperone ramulosa","isotype","T. Morong","706","1888",NA,NA,"South America","Paraguay",NA,"Central Paraguay",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=44923' target='other'> <mi>dwc_moreinfo</mi></a>","NY00311808",NA,"Magnoliophyta","Lamiales","Morong","NY00311808_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","49760","PreservedSpecimen","Plantae","Acanthaceae","Beloperone","ramulosa","Beloperone ramulosa","holotype","T. Morong","706","1889","05","05","South America","Paraguay",NA,"Near Asunción",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=44924' target='other'> <mi>dwc_moreinfo</mi></a>","NY00049760",NA,"Magnoliophyta","Lamiales","Morong","NY00049760_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","492169","PreservedSpecimen","Plantae","Acanthaceae","Justicia","ramulosa","Justicia ramulosa",NA,"J. C. Solomon","8172","1982","07","28","South America","Bolivia","El Beni","Estacion Experimental Peroto, 97 km ESE of Trinidad on road to Santa Cruz.","230","230","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=47416' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492169","Marbán","Magnoliophyta","Lamiales","(Morong) C.Ezcurra",NA,"C. Ezcurra","-64.42","-15.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-27 13:17:00-03","NY","NYBG","492168","PreservedSpecimen","Plantae","Acanthaceae","Justicia","ramulosa","Justicia ramulosa",NA,"E. M. Zardini","12954","1989","06","11","South America","Paraguay","Paraguarí","Acahay Massif. On rocks on south central peak.",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=47418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492168",NA,"Magnoliophyta","Lamiales",NA,NA,"D. C. Wasshausen","-57.15","-25.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","492167","PreservedSpecimen","Plantae","Acanthaceae","Justicia","ramulosa","Justicia ramulosa",NA,"D. C. Wasshausen","1201","1982","06","06","South America","Peru","Puno","Edge of lowland rainforest along roadside, San Jan del Oro.","1350","1350","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=47419' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492167","Sandia","Magnoliophyta","Lamiales","(Morong) C.Ezcurra",NA,"J. R. I. Wood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","492166","PreservedSpecimen","Plantae","Acanthaceae","Justicia","ramulosa","Justicia ramulosa",NA,"G. G. Hatschbach","19151","1968","04","24","South America","Brazil","Paraná","Pato Bragado. Mata pluvial da Bacia do Rio Paraná.",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=47417' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492166","Marechal Cândido Rondon","Magnoliophyta","Lamiales","(Morong) C.Ezcurra","NY00492166_01","C. Ezcurra","-54.0567","-24.5561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-27 13:17:00-03","NY","NYBG","492170","PreservedSpecimen","Plantae","Acanthaceae","Justicia","ramulosa","Justicia ramulosa",NA,"A. Wurth","70","1945","04","29","South America","Argentina","Corrientes","Paso de la Patria (Costa Toledo)",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=47415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492170","San Cosme","Magnoliophyta","Lamiales",NA,NA,"C. Ezcurra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-13 09:18:42-03","UFRJ","RFA","9736","PreservedSpecimen","Plantae","Acanthaceae","Beloperone","ramulosa","Beloperone ramulosa",NA,"G.G. Hatschbach; O. Guimarães 239","19151","1968","04","24",NA,"Brasil","Paraná","Pato Bragado. Mata pluvial da barra do rio Paraná.",NA,NA,NA,NA,"Subarbusto 70 cm de altura. Flor vermelha carminada","RFA28465","Marechal Cândido Rondon",NA,NA,"Morong",NA,"D. Wasshausen","-54.0567016601562","-24.5561008453369","27823","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-24 17:10:22-03","UTFPR","DVPR","6549","PreservedSpecimen","Plantae","Acanthaceae","Justicia","ramulosa","Justicia ramulosa",NA,"Botelho, A","967","1988","07","08",NA,"Brasil","Paraná","Parque Nacional do Iguaçú",NA,NA,NA,NA,NA,"DVPR006549","Foz do Iguaçú","Magnoliophyta",NA,"(Morang.) C. Ezcurra",NA,NA,"-54.351","-25.2656",NA,NA,"-54.351","-25.2656",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 09:29:07-03","NBC","NL-BOTANY","L.2840789","PreservedSpecimen","Plantae","Acanthaceae","Beloperone","ramulosa","Beloperone ramulosa",NA,"Pedersen TM",NA,"1961","04","17","Southern America","Paraguay",NA,"Plantae Paraguayenses. Woodland, in the the undergrowth. Villa Elisa. Dep. Central.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2840789 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2840789",NA,NA,"Lamiales","Morong","NL-L2840789",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
