"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","scientificNameAuthorship","recordNumber","locality","occurrenceRemarks","verbatimLongitude","verbatimLatitude","continentOcean","monthIdentified","dayIdentified"
"1","2020-11-04 12:17:38-03","ESALQ","ESA","108196","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Octomeria","lichenicola","Octomeria lichenicola","Forster, W.","2005","Santos, M.B.","2005","03","27","Brasil","São Paulo","Eldorado","-48.0999984741211","-24.5200004577637","38804","ESA108196","ESA108196","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-11 17:20:58-03","UFPR","UPCB","84807","PreservedSpecimen","Plantae",NA,"Orchidaceae","Octomeria","lichenicola","Octomeria lichenicola","Toscano de Brito, A.L.V.","2015","Toscano de Brito, A.L.V.","2015","06","22","Brasil","Paraná","São José dos Pinhais","-49.2064018249512","-25.5347003936768","45291",NA,NA,"auto","Barb. Rodr.","3407","Vossoroca","Coletado e cultivado por M. Klingelfus s.n. Amostra conservada em solução de glicerina com álcool..",NA,NA,NA,NA,NA
"3","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","12380",NA,"Plantae",NA,"Orchidaceae","Octomeria","lichenicola","Octomeria lichenicola",NA,NA,"L. Kollmann; et al","2000","04","19","Brasil","Espírito Santo","Santa Teresa","-40.530278","-19.971389",NA,"MBML012380",NA,NA,"Barb.Rodr.","2867","Estação Biológica de Santa Lúcia","Mata de encosta. Epifita em galho caido. Flores amarelas.","40W31'49","19S58'17",NA,NA,NA
"4","2017-09-11 17:12:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Octomeria","lichenicola","Octomeria lichenicola",NA,NA,"Barbosa Rodrigues, J",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"P03P4N0123",NA,"Barb.Rodr.","s.n.","Habitat in arboribus supra lichenes ad Serra de Santa-Anna prope Louro prov. Rio de Janeiro","Floret Junio",NA,NA,"Southern America",NA,NA
"5","2021-02-08 12:52:19-03","UFRGS","ICN","041276","S","Plantae","Monocotyledon","Orchidaceae","Octomeria","lichenicola","Octomeria lichenicola","Waechter, JL","1979","Waechter, JL","1978","04","22","Brasil","RS","Torres","-49.7268981933594","-29.3353004455566","20837","ICN00040560",NA,"auto","Barb.Rodr.","830","Faxinal","Epifítica com sépalas e pétalas oliváceo-amareladas, com 2 estrias purpúreas, labelo oliváceo-amarelado no centro com mancha purpúrea.; Interior de mato",NA,NA,"América do Sul","06","13"
"6","2021-02-08 12:52:19-03","UFRGS","ICN","047440","S","Plantae","Monocotyledon","Orchidaceae","Octomeria","lichenicola","Octomeria lichenicola","Waechter, JL","1980","Waechter, JL","1980","05","17","Brasil","RS","Torres","-49.7268981933594","-29.3353004455566","20837","ICN00040561",NA,"auto","Barb.Rodr.","1605","Faxinal","Epifítica com flores oliváceo-amareladas e estrias purpúreas.; Isolado em potreiro",NA,NA,"América do Sul",NA,NA
"7","2019-11-21 10:13:37-03","IBt","SP","489090","S","Plantae",NA,"Orchidaceae","Octomeria","lichenicola","Octomeria lichenicola","Zandoná, LR","2016","Zandoná, LR; Zandoná, AGM","2016","02","23","Brasil","São Paulo","Miracatu","-47.4599990844727","-24.2800006866455","43974",NA,NA,"auto","Barb.Rodr.","s.n.","Legado das Águas, Trilha do Poço Cambuci",NA,NA,NA,NA,"02","23"
"8","2019-11-21 10:13:37-03","IBt","SP","21009","S","Plantae",NA,"Orchidaceae","Octomeria","lichenicola","Octomeria lichenicola",NA,NA,"Edwall, G","1903","04",NA,"Brasil","São Paulo","São Bernardo do Campo","-46.560001373291","-23.6900005340576","31119","SP009633","SP009633","auto","Barb.Rodr.","CGG6073",NA,NA,NA,NA,NA,NA,NA
