"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","01132062","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Harpalyce","parvifolia","Harpalyce parvifolia","H.S.Irwin & Arroyo","L. P. de Queiroz","A. Freire-Fierros","CFCR12616","1989","12","12","South America","Brazil","Minas Gerais","Grão Mogol","Grao-Mogol: Vale do Córrego Escurona.","-42.97","-16.6","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1288260' target='other'> <mi>dwc_moreinfo</mi></a>","NY01132062","NY01132062_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01058543","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Harpalyce","parvifolia","Harpalyce parvifolia","H.S.Irwin & Arroyo","R. C. Barneby","G. G. Hatschbach","41292","1978","04","21","South America","Brazil","Minas Gerais","Grão Mogol","Rio Itacambiruçu","-42.8894","-16.5594",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142491' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058543","NY01058543_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","11940","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Harpalyce","parvifolia","Harpalyce parvifolia","H.S.Irwin & Arroyo",NA,"H. S. Irwin","23345","1969","02","16","South America","Brazil","Minas Gerais",NA,"8 km west of Grao Mogol.",NA,NA,"950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=197378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00011940","NY00011940_01","holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","11941","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Harpalyce","parvifolia","Harpalyce parvifolia","H.S.Irwin & Arroyo",NA,"H. S. Irwin","23345","1969","02","16","South America","Brazil","Minas Gerais",NA,"8 km west of Grao Mogol.",NA,NA,"950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=197379' target='other'> <mi>dwc_moreinfo</mi></a>","NY00011941","NY00011941_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01058518","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Harpalyce","parvifolia","Harpalyce parvifolia","H.S.Irwin & Arroyo","G. P. Lewis","R. M. Harley","25083","1988","10","16","South America","Brazil","Minas Gerais","Grão Mogol","Ca. 5-15 km ao norte da cidade","-42.78","-16.53","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142488' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058518","NY01058518_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01058642","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Harpalyce","parvifolia","Harpalyce parvifolia","H.S.Irwin & Arroyo","M. T. K. Arroyo","H. S. Irwin","23518","1969","02","18","South America","Brazil","Minas Gerais","Cristália","Serra do Espinhaço, Rio Itacambiruçu, ca. 15 km north of Grão Mogol","-42.9786","-16.6349","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142486' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058642","NY01058642_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01058617","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Harpalyce","parvifolia","Harpalyce parvifolia","H.S.Irwin & Arroyo","M. T. K. Arroyo","H. S. Irwin","23518","1969","02","18","South America","Brazil","Minas Gerais","Cristália","Serra do Espinhaço, Rio Itacambiruçu, ca. 15 km north of Grão Mogol","-42.9786","-16.6349","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142483' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058617","NY01058617_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:30:31-03","UFRJ","RFA","36401","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Harpalyce","parvifolia","Harpalyce parvifolia","H.S.Irwin & Arroyo","L. P. Queiroz","R. M. Harley; A. M. Giulietti, B. L. Stannard, D. J. N. Hind, et all","25083","1988","10","16",NA,"Brasil","Minas Gerais","Grão Mogol","Ca. 5 - 15 km ao norte da cidade","-42.783333","-16.533333","900","900",NA,"Arbusto de até 1.50 m. Pétalas vermelho-alaranjadas.","RFA23221",NA,NA,"1996","42º47'W","16º32'S",NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:41:42-03","EAO","IAN","148709","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Harpalyce","parvifolia","Harpalyce parvifolia","H.S. Irwin & Arroyo",NA,"Irwin, HS; Souza, R; Santos, RR dos; Fonsêca, SF da","23345","1969","02","16","Southern America","Brasil","Minas Gerais",NA,"Serra do Espinhaço, Cerrado, interspersed with wet rocky campo ca. 8km west of Grão Mogol.",NA,NA,"950","950",NA,"ARROYO (1976:60) citou: Type. BRAZIL. Minas Gerais: cerrado interspersed with wet rocky campo, ca. 8 km W of Grão Mogol, ca. 950 m elevation, Serra do Espinhaço, Irwin et al. 23345. (holotype, UB! Isotypes, K! MO! NY! P! SP! US!).; F","IAN148709",NA,"isotipo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:41:42-03","EAO","IAN","148711","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Harpalyce","parvifolia","Harpalyce parvifolia","H.S. Irwin & Arroyo","Arroyo, MTK","Irwin, HS; Souza, R; Santos, RR dos; Fonsêca, SF da","23518","1969","02","18","Southern America","Brasil","Minas Gerais",NA,"Sandy slopes with sandstone outcrops and adjacent rocky river margin, Rio Itacambiruçu, ca. 15 km north of Grão Mogol, Elev. 950 m.",NA,NA,"950","950",NA,"ARROYO (1976:60) citou: Type. BRAZIL. Minas Gerais: cerrado interspersed with wet rocky campo, ca. 8 km W of Grão Mogol, ca. 950 m elevation, Serra do Espinhaço, Irwin et al. 23345. (holotype, UB! Isotypes, K! MO! NY! P! SP! US!).; S","IAN148711",NA,"isoparatipo","1973",NA,NA,NA,NA,NA,NA,NA,NA,NA
