"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","recordNumber","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","class","relatedCatalogItem","relationshipType","typeStatus","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:44-03","UNESC","CRI","4143","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","Marcos Sobral","V. P. Boff","1995","09","08","Brasil","Santa Catarina","Fraiburgo","-50.922222","-27.023333","50º55'20''W","27º1'24''S","CRI004971","CRI004971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:44-03","UNESC","CRI","10353","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","Vanilde C. Zanette","Vanilde Citadini-Zanette",NA,NA,NA,"Brasil","Santa Catarina","Praia Grande","-49.950556","-29.197222","49º57'2''W","29º11'50''S","CRI004969","CRI004969","2013","11","12","Aparados da Serra.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:44-03","UNESC","CRI","11516","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","M. Verdi","M. Verdi; B.O. Boeni","2012","02","10","Brasil","Rio Grande do Sul","Muitos Capões","-51.183889","-28.313611","51º11'2''W","28º18'49''S","CRI004970","CRI004970",NA,NA,NA,"Lajeado Bonito / PCH Lajeado Bonito.","6202","925","925","Fom - Estepe Habitat: margem do rio Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:47-03","E","E","305253","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna",NA,NA,"Silva, J.M.; Cordeiro, J.","1990","01","23","BR",NA,NA,NA,NA,NA,NA,"E00305253",NA,NA,NA,NA,NA,"688",NA,NA,"<a href=http://data.rbge.org.uk/herb/E00305253 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:311589",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1182722","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","C. M. D. E. Legrand","J. Ball","1882","07",NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,"NY01182722","NY01182722_01",NA,NA,NA,"Ex apricis Brasiliae juxta Sao Paulo","s.n.","2400","2400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408172' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","561606","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.",NA,"R. Reitz","1957","05","26","Brazil","Santa Catarina","Joinville","-48.8456","-26.3044",NA,NA,"NY00561606","NY00561606_01",NA,NA,NA,"Estrada Dona Francisca, Joinvile.","4267","600","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86357' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","561614","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","C. M. D. E. Legrand","R. Reitz","1953","02","05","Brazil","Santa Catarina","Palhoça","-48.62515","-27.834087",NA,NA,"NY00561614","NY00561614_01",NA,NA,NA,"Campo do Massiambú, Palhoça","5621","5","5","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86341' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","561604","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.",NA,"R. Reitz","1960","04","23","Brazil","Santa Catarina","Blumenau","-49.132229","-27.025081",NA,NA,"NY00561604","NY00561604_01",NA,NA,NA,"Morro Spitzkopf, Blumenau","9625","900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86354' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","561619","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","C. M. D. E. Legrand","E. Pereira","1964","01","23","Brazil","Rio Grande do Sul","Ilópolis","-52.1242","-28.9269",NA,NA,"NY00561619","NY00561619_01",NA,NA,NA,"Ilópolis","8547","800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86344' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","561611","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","C. M. D. E. Legrand","R. Reitz","1965","12","11","Brazil","Paraná","Lapa","-49.7156","-25.7697",NA,NA,"NY00561611","NY00561611_01",NA,NA,NA,"Fazendinha, Lapa","17412","900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86345' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","561613","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","C. M. D. E. Legrand","R. Reitz","1965","12","15","Brazil","Paraná","Guarapuava","-51.523417","-25.359069",NA,NA,"NY00561613","NY00561613_01",NA,NA,NA,"Rio Coitinho, Guarapuava","17667","1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86347' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","561608","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","M. L. Kawasaki","G. G. Hatschbach","1968","03","14","Brazil","Paraná","Balsa Nova","-49.769797","-25.530491",NA,NA,"NY00561608","NY00561608_01",NA,NA,NA,"Tamanduá","18705",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86338' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
