"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","geoFlag","recordedBy","recordNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","typeStatus"
"1","2021-01-28 13:24:37-03","PUCRS","MPUC","6220","S","Plantae","Magnoliopsida","Laurales","Monimiaceae","Mollinedia","eugeniifolia","Mollinedia eugeniifolia","Perkins","M. Sobral","2012","01","01","2000","02","27","South America","Brasil","RS","São Francisco de Paula",".","-50.5835990905762","-29.4480991363525","76715","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-10-14 10:03:13-03","FURB","FURB","19984","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","eugeniifolia","Mollinedia eugeniifolia","Perkins","Peixoto, AL","2011","02","21","2010","02","01",NA,"Brasil","Santa Catarina","Angelina","Rancho das Tábuas.","-49.0494444","-27.6302778",NA,NA,NA,"Stival-Santos, A.; Legal, E. & Silveira, S.","1635","-49.0494444","-27.6302778","590","590","Florística IFFSC 314 Habitat: Ecótono Floresta O. Densa e F.O. Mista; Estágio Avançado; interior do fragmento Habito: Fruto verde;","FURB02359","FURB02359",NA,NA
"3","2020-06-29 09:31:13-03","UFRRJ","RBR","26060","S","Plantae",NA,NA,"Monimiaceae","Mollinedia","eugeniifolia","Mollinedia eugeniifolia","Perkins",NA,NA,NA,NA,"1994","11","26",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","REBIO do Tinguá, Estrada do Ouro, Linha 8. Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561","25743",NA,"auto","H.C. Rodrigues","s.n.",NA,NA,NA,NA,NA,"RBR00026060",NA,NA,NA
"4","2021-02-11 17:20:28-03","UFPR","UPCB","34422","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","aff. eugeniifolia","Mollinedia aff. eugeniifolia","Perkins","Lirio, E. J.","2017",NA,NA,"1997","09","18",NA,"Brasil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596","41937",NA,"auto","Fernandes, H.M.","32",NA,NA,NA,NA,"Arvoreta de 2m, flores esverdeadas. Borda da mata nebular, 1200m..",NA,NA,NA,NA
"5","2021-02-11 17:20:28-03","UFPR","UPCB","34583","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","aff. eugeniifolia","Mollinedia aff. eugeniifolia","Perkins","Lirio, E. J.","2017",NA,NA,"1998","09","11",NA,"Brasil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596","41937",NA,"auto","Santos, E.P.","527",NA,NA,NA,NA,"Arvoreta de ± 2 m. Interior de mata nebular, 1100 m de altitude..",NA,NA,NA,NA
"6","2020-05-30 04:37:00-03","MO","MOBOT","2480426","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","eugeniifolia","Mollinedia eugeniifolia","Perkins",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil","Santa Catarina",NA,"Bom Retiro","-49.46666","-27.8",NA,NA,NA,"Ernst Üle","Üle 1188a",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-13 11:26:21-03","USP","SPF","170447","PreservedSpecimen","Plantae",NA,NA,"Monimiaceae","Mollinedia","eugeniifolia","Mollinedia eugeniifolia","Perkins","Lírio, EJ","2016","12",NA,"1995","09","15",NA,"Brasil","Paraná","Guaratuba","Serra do Araçatuba","-48.5746994018555","-25.8827991485596","41937",NA,"auto","Silva, JM","1532",NA,NA,"1000","1000",NA,"SPF00170447",NA,NA,NA
"8","2019-09-04 19:22:36-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Monimiaceae","Mollinedia","eugeniifolia","Mollinedia eugeniifolia",NA,NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"E. H. G. Ule","1188a",NA,NA,NA,NA,NA,NA,NA,"Spermatophyta","Type [status unknown]"
"9","2020-11-12 17:00:48-03","UEL","FUEL","44186","PreservedSpecimen","Plantae",NA,"Laurales","Monimiaceae","Mollinedia","eugeniifolia","Mollinedia eugeniifolia","Perkins","Dall#?#Agnol, RF","2008","08","21","2008","06","10",NA,"Brasil","Paraná","Mauá da Serra","Estância Manain","-51.160833","-23.949167",NA,NA,NA,"Cotarelli, VM; Francisco, EM","192","-51.160833","-23.949167","989","989",NA,NA,NA,"Tracheophyta",NA
"10","2021-02-08 12:43:39-03","UFRGS","ICN","191382","S","Plantae",NA,NA,"Monimiaceae","Mollinedia","cf. eugeniifolia","Mollinedia cf. eugeniifolia","Perkins","Molz, M",NA,NA,NA,"2012","10","05","América do Sul","Brasil","RS","Itati","Reserva Biológica Estadual Mata Paludosa.","-50.118056","-29.513056",NA,NA,NA,"Molz, M","s.n.","-50.118056","-29.513056",NA,NA,"Coordenadas em UTM; Arvoreta, 3,5m altura.",NA,NA,"Dicotyledon",NA
