"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","monthIdentified","class","dayIdentified","relatedCatalogItem","fieldNumber","typeStatus","individualCount","infraspecificEpithet","sex"
"1","2020-09-23 10:40:56-03","E","E","310840","PreservedSpecimen","Plantae","Lentibulariaceae","Genlisea","aurea","Genlisea aurea","Laessoe, T. & Silva, T.","1992","03","23","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:316650","<a href=http://data.rbge.org.uk/herb/E00310840 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00310840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","929725","PreservedSpecimen","Plantae","Lentibulariaceae","Genlisea","aurea","Genlisea aurea","A. M. Giulietti","1991","07","27","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997368' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929725","Magnoliophyta","Lamiales","A.St.-Hil.","P. Taylor","CFSC12538","Santana do Riacho","Parque Nacional da Serra do Cipó, Serra das Bandeirinhas.","-43.7142","-19.1692","1400","1500","NY00929725_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","400634","PreservedSpecimen","Plantae","Lentibulariaceae","Genlisea","aurea","Genlisea aurea","E. P. dos Santos","1996","11","08","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141711' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400634","Magnoliophyta","Lamiales","A.St.-Hil.","A. C. Cervi","233","Palmeira","Recanto dos Papagaios","-49.75","-25.43",NA,NA,"NY00400634_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","632284","PreservedSpecimen","Plantae","Lentibulariaceae","Genlisea","aurea","Genlisea aurea","W. Ganev","1992","04","04","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632284","Magnoliophyta","Lamiales","A.St.-Hil.","P. G. Taylor","48","Abaíra","Distrito de Catolés: caminho Guarda Mor-Cristais, Serra da Brenha","-41.88","-13.3","1800","1800","NY00632284_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","880035","PreservedSpecimen","Plantae","Lentibulariaceae","Genlisea","aurea","Genlisea aurea","R. Kummrow","1974","10","23","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2528571' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880035","Magnoliophyta","Lamiales","A.St.-Hil.",NA,"686","Curitiba","Tatuquara","-49.2731","-25.4281",NA,NA,"NY00880035_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","632285","PreservedSpecimen","Plantae","Lentibulariaceae","Genlisea","aurea","Genlisea aurea","R. M. Harley","1992","03","23","South America","Brazil","Bahia","sheet",NA,"Harley is not on the label, but we can assume he is the collector <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141710' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632285","Magnoliophyta","Lamiales","A.St.-Hil.","P. G. Taylor","H52794","Abaíra","Campo da Mutuca","-41.85","-13.37","1400","1600","NY00632285_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","880034","PreservedSpecimen","Plantae","Lentibulariaceae","Genlisea","aurea","Genlisea aurea","G. Gardner","1836",NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2528568' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880034","Magnoliophyta","Lamiales","A.St.-Hil.",NA,"5053",NA,NA,NA,NA,NA,NA,"NY00880034_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","400633","PreservedSpecimen","Plantae","Lentibulariaceae","Genlisea","aurea","Genlisea aurea","G. G. Hatschbach","1976","11","08","South America","Brazil","Paraná","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400633","Magnoliophyta","Lamiales","A.St.-Hil.","G. G. Hatschbach","39183","Balsa Nova","Campina da Cascavel","-49.6356","-25.5842",NA,NA,"NY00400633_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","821551","PreservedSpecimen","Plantae","Lentibulariaceae","Genlisea","aurea","Genlisea aurea","F. França","1995","07","09","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=898350' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821551","Magnoliophyta","Lamiales","A.St.-Hil.","P. G. Taylor","1315","Abaíra","Caminho Boa Vista para Bicota","-41.6633","-13.2497","1200","1600","NY00821551_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","400659","PreservedSpecimen","Plantae","Lentibulariaceae","Genlisea","aurea","Genlisea aurea","W. W. Thomas","1985","11","23","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141707' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400659","Magnoliophyta","Lamiales","A.St.-Hil.","P. G. Taylor","4862","Diamantina","Near Sopa on rd. to Sao Joao da Chapada, 5 km NW of Jct. with rd. from Curvelo to Diamantina","-43.7","-18.2","1250","1250","NY00400659_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
