"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","maximumElevationInMeters","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","typeStatus","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","04207893","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","angustifolia","Utricularia angustifolia","Benj.","O. Huber","9415","1984","04","27","South America","Venezuela","Bolívar","Roscio","cumbre del Yuruaní-tepui, al NNW del Cerro Kukenán. Vegetación-arbustiva sobre planicies de arenisca den el sector centro-este del teupi","-60.85","5.32","2300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4565923' target='other'> <mi>dwc_moreinfo</mi></a>","NY04207893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01173256","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","hispida","Utricularia hispida","Lam.","J. M. Pires","52029",NA,NA,NA,"South America","Brazil","Amapá",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387623' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173256","P. G. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3857387","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","hispida","Utricularia hispida","Lam.","B. Maguire","46183A","1961","09","16","South America","Guyana",NA,NA,"Ando Savanna, Sukabi River, affl. Ireng River",NA,NA,"732","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4134319' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","493997","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","hispida","Utricularia hispida","Lam.","S. A. Mori","25291","2001","05","04","South America","French Guiana",NA,NA,"Mataroni River, Savanne de Virginie. An inselberg.","-52.17","4.17",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=693696' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493997","C. M. Panfet-Valdés",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3857352","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","hispida","Utricularia hispida","Lam.","B. Maguire","23685a","1944","06","03","South America","Suriname",NA,NA,"Zanderil II",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4134284' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3857388","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","hispida","Utricularia hispida","Lam.","J. A. Steyermark","88309","1961","01","10","South America","Venezuela","Bolívar",NA,"Water of morichal in savanna northwest of camp. Vicinity of camp, 5 kms. from Hato de Nuria, E. of Miamo. Altiplanicie de Nuria",NA,NA,"400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4134320' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3857368","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","hispida","Utricularia hispida","Lam.","B. Maguire","24201","1944","08","03","South America","Suriname",NA,NA,"Tafelberg (Table Mountain), Savanna I",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4134300' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3857363","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","hispida","Utricularia hispida","Lam.","J. A. Steyermark","59174","1944","10","02","South America","Venezuela","Bolívar","Gran Sabana","between Kun and waterfall at Rué-merú 9tributary of Río Kukenán), south of Mount Roraima",NA,NA,"1065","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4134295' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01173257","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","hispida","Utricularia hispida","Lam.","J. M. Pires","50963",NA,NA,NA,"South America","Brazil","Amapá",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387625' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173257","P. G. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3857362","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","hispida","Utricularia hispida","Lam.","G. H. H. Tate","267","1928","10","19","South America","Venezuela",NA,NA,"East swamp. Esmeralda",NA,NA,"99","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4134294' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
