"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","previousCatalogNumber","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00697260","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","warmingii","Solanum warmingii","Hiern","S. D. Knapp","H. S. Irwin","2229","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km. E. of Ponte Nova","-42.9086","-20.4164","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=832449' target='other'> <mi>dwc_moreinfo</mi></a>","NY00697260","NY00697260_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00697261","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","warmingii","Solanum warmingii","Hiern","S. D. Knapp","H. S. Irwin","2229","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km. E. of Ponte Nova","-42.9086","-20.4164","sheet","[See duplicate for all label data.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=832452' target='other'> <mi>dwc_moreinfo</mi></a>","NY00697261","NY00697261_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00697262","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","warmingii","Solanum warmingii","Hiern","S. D. Knapp","Y. E. J. Mexia","4429a","1930","03","05","South America","Brazil","Minas Gerais","Viçosa","Agricultural College lands. Hill northwest of main buildings","-42.868031","-20.7613428","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=832453' target='other'> <mi>dwc_moreinfo</mi></a>","NY00697262","NY00697262_01","670","670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00697258","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","warmingii","Solanum warmingii","Hiern","C. V. Morton","L. O. Williams","6754","1945","04","29","South America","Brazil","Minas Gerais","Nova Lima","Ribeirão da Mutuca. Serra do Curral","-43.8467","-19.9858","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=832443' target='other'> <mi>dwc_moreinfo</mi></a>","NY00697258","NY00697258_01","1200","1350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01806344","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","warmingii","Solanum warmingii","Hiern","S. D. Knapp","L.A. Gomes","712","2012","09","14","South America","Brazil","Sergipe",NA,"Santa Luzia do Itanhy, Mata do Crasto: Borda de mata.","-37.4289","-11.3761","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2194379' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806344","NY01806344_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","172252","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","warmingii","Solanum warmingii","Hiern",NA,"J. E. B. Warming","s.n.","1874","12","01","South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512689' target='other'> <mi>dwc_moreinfo</mi></a>","NY00172252","NY00172252_01",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00697259","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","warmingii","Solanum warmingii","Hiern","S. D. Knapp","Y. E. J. Mexia","5392","1930","12","09","South America","Brazil","Minas Gerais","Viçosa","Fazenda da Bom Jardim; road to São Domingo","-42.8817","-20.7542","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=832447' target='other'> <mi>dwc_moreinfo</mi></a>","NY00697259","NY00697259_01","740","740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00697257","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","warmingii","Solanum warmingii","Hiern","S. D. Knapp","Y. E. J. Mexia","5368a","1930","11","27","South America","Brazil","Minas Gerais","Viçosa","Fazenda de Aguada; Cabeçeira do matto","-42.8817","-20.7542","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=832430' target='other'> <mi>dwc_moreinfo</mi></a>","NY00697257","NY00697257_01","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00828974","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","warmingii","Solanum warmingii","Hiern","S. D. Knapp","G. G. Hatschbach","48592","1984","12","04","South America","Brazil","Minas Gerais","Manhuaçu","Rod. BR-262.","-42.0333","-20.2583","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938788' target='other'> <mi>dwc_moreinfo</mi></a>","NY00828974","NY00828974_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00697256","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","warmingii","Solanum warmingii","Hiern","M. H. Nee","G. G. Hatschbach","47677","1984","04","06","South America","Brazil","Minas Gerais",NA,"Rod. BR-262; 5 km L de Realeza",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=832429' target='other'> <mi>dwc_moreinfo</mi></a>","NY00697256","NY00697256_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","2240741","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","warmingii","Solanum warmingii","Hiern",NA,"L. L. Giacomin","1972","2013","11","02","South America","Brazil","Bahia","Jussari","margens da rod BA-667 que liga a BRA-101 a Jussari, ca. 2 km da BR, margens de estrada pavimentada, anexo a plantação de cacau (cabruca).","-39.4539","-15.1964","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2667525' target='other'> <mi>dwc_moreinfo</mi></a>","NY02240741","NY02240741_01","168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
