"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","minimumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","infraspecificEpithet","monthIdentified","dayIdentified","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01310788","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","neuwiedii","Oxalis neuwiedii","Zucc.","O. Kosovsky","S. A. Mori","10535","1978","09","15","South America","Brazil","Bahia","Mucuri","Próx. à ponte sobre o Rio Mucuri na Rod. BR 101. Folha SE - 24 (18-40d).","-39.8934603","-18.0984986","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=490944' target='other'> <mi>dwc_moreinfo</mi></a>","NY01310788","NY01310788_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","470456","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","neuwiedii","Oxalis neuwiedii","Zucc.","A. Lourteig","R. M. Harley","17217-A","1974","03","21","South America","Brazil","Bahia","Porto Seguro","Fonte dos Protomartires do Brasil, Porto Seguro.","-39.08","-16.43","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554917' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470456","NY00470456_01","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","470501","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","neuwiedii","Oxalis neuwiedii","Zucc.","A. Lourteig","R. S. Pinheiro","405","1967","11","10","South America","Brazil","Bahia","Itapebi","Rod. Itaimbé-Itapebi","-39.5339","-15.9508","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554916' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470501","NY00470501_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01481930","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","neuwiedii","Oxalis neuwiedii","Zucc.","O. Kosovsky","S. A. Mori","10298","1978","07","19","South America","Brazil","Bahia","Almadina","Fazenda Beija-Flor, ca. 3 km ao S de Almadina. Regiao de Mata Higrofila Sul Baiana. Folha SD-24 (15-40b)","-39.63","-14.7","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=490938' target='other'> <mi>dwc_moreinfo</mi></a>","NY01481930","NY01481930_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02890635","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","neuwiedii","Oxalis neuwiedii","Zucc.","O. Kosovsky","G. S. Silva","232b","2012","07","16","South America","Brazil","Bahia","Jequié","Oriente Novo","-40.1592","-14.2178","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2503834' target='other'> <mi>dwc_moreinfo</mi></a>","NY02890635","NY02890635_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01310791","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","neuwiedii","Oxalis neuwiedii","Zucc.","O. Kosovsky","S. A. Mori","11602","1979","03","17","South America","Brazil","Bahia","Ibicaraí","Rod. BR-415, a 2 km W de Ibicaraí","-39.58","-14.86","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=490939' target='other'> <mi>dwc_moreinfo</mi></a>","NY01310791","NY01310791_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","470499","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","neuwiedii","Oxalis neuwiedii","Zucc.","A. Lourteig","R. P. Belém","1107","1965","05","24","South America","Brazil","Bahia","Ilhéus","Centro de Pesquisa do Cacau (CEPEC)","-39.2273659","-14.771874","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554915' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470499","NY00470499_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01310790","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","neuwiedii","Oxalis neuwiedii","Zucc.","O. Kosovsky","S. A. Mori","10817","1978","10","18","South America","Brazil","Bahia","Santa Cruz Cabrália","Arredores da Est. Ecológica do Pau-brasil (Ca. 17 km a W de Porto Seguro), estrada velha de Sta. Cruz de Cabrália, 4-6 km a E da sede da Estaçao; Folha SE-24 (16-39c)","-39.1441852","-16.3681257","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619178' target='other'> <mi>dwc_moreinfo</mi></a>","NY01310790","NY01310790_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01197957","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","neuwiedii","Oxalis neuwiedii","Zucc.","O. Kosovsky","J. L. Paixão","385","2005","03","24","South America","Brazil","Bahia","Pau Brasil","Ramal sentido Vadiação, ca. 4 km. a direita, FAz. Camacã a ca. 12 km.","-39.6975","-15.5808","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408303' target='other'> <mi>dwc_moreinfo</mi></a>","NY01197957","NY01197957_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02694707","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","neuwiedii","Oxalis neuwiedii","Zucc.","J. L. da Costa Lima","L. Nusbaumer","4278","2014","10","31","South America","Brazil","Alagoas","Quebrangulo","Reserva Biológica da Pedra Talhada. localité de Quebrangulo","-36.419439","-9.252571","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952111' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694707","NY02694707_01",NA,"570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
